date,revenue_per_employee_annual
"Dec. 31, 2019",682018.2
"Dec. 31, 2018",703016.1
"Dec. 31, 2017",735841.7
"Dec. 31, 2016",735960.7
"Dec. 31, 2015",779001.0
"Dec. 31, 2014",568118.1
"Dec. 31, 2013",444365.5
"Dec. 31, 2012",464708.8
"Dec. 31, 2011",610316.5
"Dec. 31, 2010",631836.2
"Dec. 31, 2009",663114.9
"Dec. 31, 2008",790180.5
"Dec. 31, 2007",799411.9
"Dec. 31, 2006",1.033M
"Dec. 31, 2005",915560.3
"Dec. 31, 2004",680401.8
"Dec. 31, 2003",583576.6
"Dec. 31, 2002",628015.4
"Dec. 31, 2001",818268.5
"Dec. 31, 2000",982302.3
"Dec. 31, 1999",3.032M
"Dec. 31, 1998",1.067M
"Dec. 31, 1997",399386.6
"Dec. 31, 1996",400169.4
"Dec. 31, 1995",531690.1
"Dec. 31, 1994",463259.7
"Dec. 31, 1993",434010.8
"Dec. 31, 1992",323152.7
"Dec. 31, 1991",286987.3
"Dec. 31, 1990",345743.7
