date,operating_earning_yield
"March 19, 2020",7.45%
"March 18, 2020",6.76%
"March 17, 2020",6.70%
"March 16, 2020",7.99%
"March 13, 2020",7.70%
"March 12, 2020",8.19%
"March 11, 2020",7.22%
"March 10, 2020",6.88%
"March 9, 2020",6.87%
"March 6, 2020",6.59%
"March 5, 2020",6.75%
"March 4, 2020",6.68%
"March 3, 2020",7.03%
"March 2, 2020",6.99%
"Feb. 28, 2020",7.35%
"Feb. 27, 2020",7.14%
"Feb. 26, 2020",7.01%
"Feb. 25, 2020",7.07%
"Feb. 24, 2020",6.87%
"Feb. 21, 2020",6.77%
"Feb. 20, 2020",6.72%
"Feb. 19, 2020",6.64%
"Feb. 18, 2020",6.65%
"Feb. 14, 2020",6.67%
"Feb. 13, 2020",6.71%
"Feb. 12, 2020",6.77%
"Feb. 11, 2020",6.77%
"Feb. 10, 2020",6.75%
"Feb. 7, 2020",6.78%
"Feb. 6, 2020",6.76%
"Feb. 5, 2020",6.78%
"Feb. 4, 2020",6.83%
"Feb. 3, 2020",6.78%
"Jan. 31, 2020",6.82%
"Jan. 30, 2020",6.84%
"Jan. 29, 2020",6.88%
"Jan. 28, 2020",6.94%
"Jan. 27, 2020",6.99%
"Jan. 24, 2020",6.99%
"Jan. 23, 2020",6.95%
"Jan. 22, 2020",6.98%
"Jan. 21, 2020",6.99%
"Jan. 17, 2020",7.03%
"Jan. 16, 2020",7.13%
"Jan. 15, 2020",7.22%
"Jan. 14, 2020",7.29%
"Jan. 13, 2020",7.28%
"Jan. 10, 2020",7.34%
"Jan. 9, 2020",7.39%
"Jan. 8, 2020",7.40%
"Jan. 7, 2020",7.32%
"Jan. 6, 2020",7.27%
"Jan. 3, 2020",7.28%
"Jan. 2, 2020",7.30%
"Dec. 31, 2019",7.21%
"Dec. 30, 2019",7.43%
"Dec. 27, 2019",7.45%
"Dec. 26, 2019",7.46%
"Dec. 24, 2019",7.46%
"Dec. 23, 2019",7.46%
"Dec. 20, 2019",7.36%
"Dec. 19, 2019",7.25%
"Dec. 18, 2019",7.23%
"Dec. 17, 2019",7.26%
"Dec. 16, 2019",7.32%
"Dec. 13, 2019",7.46%
"Dec. 12, 2019",7.49%
"Dec. 11, 2019",7.46%
"Dec. 10, 2019",7.54%
"Dec. 9, 2019",7.57%
"Dec. 6, 2019",7.52%
"Dec. 5, 2019",7.54%
"Dec. 4, 2019",7.54%
"Dec. 3, 2019",7.60%
"Dec. 2, 2019",7.62%
"Nov. 29, 2019",7.53%
"Nov. 27, 2019",7.53%
"Nov. 26, 2019",7.59%
"Nov. 25, 2019",7.61%
"Nov. 22, 2019",7.67%
"Nov. 21, 2019",7.63%
"Nov. 20, 2019",7.59%
"Nov. 19, 2019",7.57%
"Nov. 18, 2019",7.57%
"Nov. 15, 2019",7.58%
"Nov. 14, 2019",7.57%
"Nov. 13, 2019",7.57%
"Nov. 12, 2019",7.69%
"Nov. 11, 2019",7.70%
"Nov. 8, 2019",7.61%
"Nov. 7, 2019",7.62%
"Nov. 6, 2019",7.52%
"Nov. 5, 2019",7.50%
"Nov. 4, 2019",7.44%
"Nov. 1, 2019",7.36%
"Oct. 31, 2019",7.41%
"Oct. 30, 2019",7.35%
"Oct. 29, 2019",7.41%
"Oct. 28, 2019",7.47%
"Oct. 25, 2019",7.45%
"Oct. 24, 2019",7.44%
"Oct. 23, 2019",7.41%
"Oct. 22, 2019",7.44%
"Oct. 21, 2019",7.40%
"Oct. 18, 2019",7.42%
"Oct. 17, 2019",7.42%
"Oct. 16, 2019",7.52%
"Oct. 15, 2019",7.54%
"Oct. 14, 2019",7.43%
"Oct. 11, 2019",7.36%
"Oct. 10, 2019",7.39%
"Oct. 9, 2019",7.41%
"Oct. 8, 2019",7.39%
"Oct. 7, 2019",7.34%
"Oct. 4, 2019",7.31%
"Oct. 3, 2019",7.49%
"Oct. 2, 2019",7.44%
"Oct. 1, 2019",7.33%
"Sept. 30, 2019",7.35%
"Sept. 27, 2019",7.53%
"Sept. 26, 2019",7.48%
"Sept. 25, 2019",7.59%
"Sept. 24, 2019",7.62%
"Sept. 23, 2019",7.67%
"Sept. 20, 2019",7.67%
"Sept. 19, 2019",7.72%
"Sept. 18, 2019",7.72%
"Sept. 17, 2019",7.75%
"Sept. 16, 2019",7.67%
"Sept. 13, 2019",7.64%
"Sept. 12, 2019",7.62%
"Sept. 11, 2019",7.64%
"Sept. 10, 2019",7.79%
"Sept. 9, 2019",7.77%
"Sept. 6, 2019",7.78%
"Sept. 5, 2019",7.73%
"Sept. 4, 2019",7.63%
"Sept. 3, 2019",7.70%
"Aug. 30, 2019",7.83%
"Aug. 29, 2019",7.84%
"Aug. 28, 2019",7.90%
"Aug. 27, 2019",7.86%
"Aug. 26, 2019",7.84%
"Aug. 23, 2019",7.97%
"Aug. 22, 2019",7.82%
"Aug. 21, 2019",7.80%
"Aug. 20, 2019",7.92%
"Aug. 19, 2019",7.92%
"Aug. 16, 2019",7.90%
"Aug. 15, 2019",8.01%
"Aug. 14, 2019",8.04%
"Aug. 13, 2019",7.94%
"Aug. 12, 2019",7.97%
"Aug. 9, 2019",7.96%
"Aug. 8, 2019",7.94%
"Aug. 7, 2019",8.04%
"Aug. 6, 2019",8.14%
"Aug. 5, 2019",8.13%
"Aug. 2, 2019",8.07%
"Aug. 1, 2019",7.96%
"July 31, 2019",7.98%
"July 30, 2019",7.98%
"July 29, 2019",8.04%
"July 26, 2019",8.03%
"July 25, 2019",8.08%
"July 24, 2019",8.05%
