date,gross_profit_margin
"Dec. 31, 2019",47.20%
"Sept. 30, 2019",51.22%
"June 30, 2019",49.65%
"March 31, 2019",45.75%
"Dec. 31, 2018",47.89%
"Sept. 30, 2018",47.75%
"June 30, 2018",48.88%
"March 31, 2018",44.09%
"Dec. 31, 2017",50.89%
"Sept. 30, 2017",51.75%
"June 30, 2017",51.22%
"March 31, 2017",48.13%
"Dec. 31, 2016",50.72%
"Sept. 30, 2016",51.44%
"June 30, 2016",48.96%
"March 31, 2016",47.70%
"Dec. 31, 2015",47.43%
"Sept. 30, 2015",46.72%
"June 30, 2015",44.87%
"March 31, 2015",40.50%
"Dec. 31, 2014",43.59%
"Sept. 30, 2014",43.95%
"June 30, 2014",40.54%
"March 31, 2014",41.94%
"Dec. 31, 2013",42.29%
"Sept. 30, 2013",45.44%
"June 30, 2013",48.32%
"March 31, 2013",45.17%
"Dec. 31, 2012",44.19%
"Sept. 30, 2012",46.37%
"June 30, 2012",34.18%
"March 31, 2012",40.22%
"Dec. 31, 2011",-28.09%
"Sept. 30, 2011",60.40%
"June 30, 2011",60.62%
"March 31, 2011",61.62%
"Dec. 31, 2010",-24.27%
"Sept. 30, 2010",60.26%
"June 30, 2010",41.62%
"March 31, 2010",54.95%
"Dec. 31, 2009",54.73%
"Sept. 30, 2009",53.17%
"June 30, 2009",52.34%
"March 31, 2009",47.35%
"Dec. 31, 2008",32.56%
"Sept. 30, 2008",31.43%
"June 30, 2008",32.18%
"March 31, 2008",27.02%
"Dec. 31, 2007",-22.01%
"Sept. 30, 2007",39.27%
"June 30, 2007",42.19%
"March 31, 2007",37.16%
"Dec. 31, 2006",36.95%
"Sept. 30, 2006",34.32%
"June 30, 2006",33.20%
"March 31, 2006",28.42%
"Dec. 31, 2005",6.58%
"Sept. 30, 2005",33.16%
"June 30, 2005",36.02%
"March 31, 2005",25.25%
"Dec. 31, 2004",26.26%
"Sept. 30, 2004",31.85%
"June 30, 2004",40.16%
"March 31, 2004",36.02%
"Dec. 31, 2003",36.04%
"Sept. 30, 2003",36.98%
"June 30, 2003",42.33%
"March 31, 2003",39.08%
"Dec. 31, 2002",37.63%
"Sept. 30, 2002",41.41%
"June 30, 2002",30.77%
"March 31, 2002",43.43%
"Dec. 31, 2001",41.87%
"Sept. 30, 2001",35.64%
"June 30, 2001",36.22%
"March 31, 2001",35.19%
"Dec. 31, 2000",46.53%
"Sept. 30, 2000",41.92%
"June 30, 2000",42.32%
"March 31, 2000",44.41%
"Dec. 31, 1999",52.32%
"Sept. 30, 1999",52.21%
"June 30, 1999",63.66%
"March 31, 1999",63.54%
"Dec. 31, 1998",
"Sept. 30, 1998",
"June 30, 1998",65.01%
"March 31, 1998",
"Dec. 31, 1997",
"Sept. 30, 1997",
"June 30, 1997",69.35%
"March 31, 1997",
"Dec. 31, 1996",65.81%
"Sept. 30, 1996",67.76%
"June 30, 1996",77.10%
"March 31, 1996",69.68%
"Dec. 31, 1995",76.72%
"Sept. 30, 1995",75.34%
"June 30, 1995",76.16%
"March 31, 1995",74.85%
"Dec. 31, 1994",77.30%
"Sept. 30, 1994",76.11%
"June 30, 1994",78.68%
"March 31, 1994",76.65%
