date,assets
"Dec. 31, 2019",41.12B
"Sept. 30, 2019",39.73B
"June 30, 2019",39.00B
"March 31, 2019",38.94B
"Dec. 31, 2018",38.24B
"Sept. 30, 2018",37.52B
"June 30, 2018",37.24B
"March 31, 2018",37.04B
"Dec. 31, 2017",36.22B
"Sept. 30, 2017",33.16B
"June 30, 2017",32.66B
"March 31, 2017",32.36B
"Dec. 31, 2016",32.05B
"Sept. 30, 2016",31.08B
"June 30, 2016",30.88B
"March 31, 2016",30.71B
"Dec. 31, 2015",30.58B
"Sept. 30, 2015",30.05B
"June 30, 2015",29.88B
"March 31, 2015",29.95B
"Dec. 31, 2014",29.74B
"Sept. 30, 2014",27.98B
"June 30, 2014",27.79B
"March 31, 2014",28.10B
"Dec. 31, 2013",27.80B
"Sept. 30, 2013",28.44B
"June 30, 2013",28.20B
"March 31, 2013",28.33B
"Dec. 31, 2012",28.30B
"Sept. 30, 2012",27.76B
"June 30, 2012",27.51B
"March 31, 2012",15.98B
"Dec. 31, 2011",15.65B
"Sept. 30, 2011",14.73B
"June 30, 2011",14.44B
"March 31, 2011",14.42B
"Dec. 31, 2010",14.47B
"Sept. 30, 2010",14.30B
"June 30, 2010",14.23B
"March 31, 2010",14.11B
"Dec. 31, 2009",14.06B
"Sept. 30, 2009",14.01B
"June 30, 2009",14.13B
"March 31, 2009",14.27B
"Dec. 31, 2008",13.99B
"Sept. 30, 2008",12.66B
"June 30, 2008",12.71B
"March 31, 2008",12.34B
"Dec. 31, 2007",11.58B
"Sept. 30, 2007",11.34B
"June 30, 2007",11.13B
"March 31, 2007",11.04B
"Dec. 31, 2006",11.30B
"Sept. 30, 2006",11.49B
"June 30, 2006",11.46B
"March 31, 2006",12.13B
"Dec. 31, 2005",12.57B
"Sept. 30, 2005",12.93B
"June 30, 2005",11.95B
"March 31, 2005",12.08B
"Dec. 31, 2004",11.66B
"Sept. 30, 2004",11.54B
"June 30, 2004",11.51B
"March 31, 2004",11.54B
"Dec. 31, 2003",11.22B
"Sept. 30, 2003",10.60B
"June 30, 2003",10.42B
"March 31, 2003",10.27B
"Dec. 31, 2002",10.76B
"Sept. 30, 2002",10.32B
"June 30, 2002",10.31B
"March 31, 2002",10.15B
"Dec. 31, 2001",10.33B
"Sept. 30, 2001",10.29B
"June 30, 2001",10.16B
"March 31, 2001",11.25B
"Dec. 31, 2000",10.22B
"Sept. 30, 2000",10.57B
"June 30, 2000",10.76B
"March 31, 2000",10.74B
"Dec. 31, 1999",9.688B
"Sept. 30, 1999",10.26B
"June 30, 1999",10.35B
"March 31, 1999",10.38B
"Dec. 31, 1998",10.39B
"Sept. 30, 1998",10.56B
"June 30, 1998",9.958B
"March 31, 1998",10.27B
"Dec. 31, 1997",10.41B
"Sept. 30, 1997",10.61B
"June 30, 1997",10.45B
"March 31, 1997",10.67B
"Dec. 31, 1996",10.74B
"Sept. 30, 1996",10.39B
"June 30, 1996",10.54B
"March 31, 1996",10.50B
"Dec. 31, 1995",10.56B
"Sept. 30, 1995",10.51B
"June 30, 1995",10.52B
"March 31, 1995",10.54B
"Dec. 31, 1994",10.58B
"Sept. 30, 1994",10.51B
"June 30, 1994",10.58B
"March 31, 1994",10.65B
