date,return_on_assets
"Dec. 31, 2019",2.31%
"Sept. 30, 2019",2.30%
"June 30, 2019",2.25%
"March 31, 2019",2.84%
"Dec. 31, 2018",2.77%
"Sept. 30, 2018",2.87%
"June 30, 2018",2.86%
"March 31, 2018",2.91%
"Dec. 31, 2017",2.97%
"Sept. 30, 2017",3.04%
"June 30, 2017",3.10%
"March 31, 2017",3.05%
"Dec. 31, 2016",3.03%
"Sept. 30, 2016",2.92%
"June 30, 2016",2.85%
"March 31, 2016",2.88%
"Dec. 31, 2015",2.92%
"Sept. 30, 2015",3.11%
"June 30, 2015",3.15%
"March 31, 2015",2.91%
"Dec. 31, 2014",2.90%
"Sept. 30, 2014",2.77%
"June 30, 2014",2.67%
"March 31, 2014",2.82%
"Dec. 31, 2013",2.79%
"Sept. 30, 2013",2.78%
"June 30, 2013",2.79%
"March 31, 2013",2.56%
"Dec. 31, 2012",2.28%
"Sept. 30, 2012",2.29%
"June 30, 2012",1.96%
"March 31, 2012",2.52%
"Dec. 31, 2011",2.68%
"Sept. 30, 2011",2.84%
"June 30, 2011",2.93%
"March 31, 2011",2.91%
"Dec. 31, 2010",2.73%
"Sept. 30, 2010",2.43%
"June 30, 2010",2.18%
"March 31, 2010",2.26%
"Dec. 31, 2009",2.34%
"Sept. 30, 2009",2.34%
"June 30, 2009",2.44%
"March 31, 2009",2.32%
"Dec. 31, 2008",2.10%
"Sept. 30, 2008",2.16%
"June 30, 2008",2.02%
"March 31, 2008",2.01%
"Dec. 31, 2007",2.21%
"Sept. 30, 2007",4.66%
"June 30, 2007",5.21%
"March 31, 2007",4.89%
"Dec. 31, 2006",4.04%
"Sept. 30, 2006",0.95%
"June 30, 2006",-0.74%
"March 31, 2006",-1.14%
"Dec. 31, 2005",-2.03%
"Sept. 30, 2005",-1.67%
"June 30, 2005",-0.98%
"March 31, 2005",-0.54%
"Dec. 31, 2004",1.06%
"Sept. 30, 2004",0.70%
"June 30, 2004",1.14%
"March 31, 2004",1.20%
"Dec. 31, 2003",1.14%
"Sept. 30, 2003",1.79%
"June 30, 2003",1.89%
"March 31, 2003",1.92%
"Dec. 31, 2002",1.52%
"Sept. 30, 2002",1.47%
"June 30, 2002",1.34%
"March 31, 2002",1.47%
"Dec. 31, 2001",2.38%
"Sept. 30, 2001",0.18%
"June 30, 2001",0.49%
"March 31, 2001",0.20%
"Dec. 31, 2000",-0.14%
"Sept. 30, 2000",1.47%
"June 30, 2000",1.18%
"March 31, 2000",1.09%
"Dec. 31, 1999",0.56%
"Sept. 30, 1999",-0.37%
"June 30, 1999",-0.76%
"March 31, 1999",-0.69%
"Dec. 31, 1998",-1.10%
"Sept. 30, 1998",-0.14%
"June 30, 1998",-0.61%
"March 31, 1998",-1.27%
"Dec. 31, 1997",-1.08%
"Sept. 30, 1997",-1.66%
"June 30, 1997",-1.08%
"March 31, 1997",-0.35%
"Dec. 31, 1996",0.34%
"Sept. 30, 1996",1.68%
"June 30, 1996",2.51%
"March 31, 1996",2.81%
"Dec. 31, 1995",3.05%
"Sept. 30, 1995",3.08%
"June 30, 1995",2.87%
"March 31, 1995",3.06%
"Dec. 31, 1994",3.12%
"Sept. 30, 1994",3.03%
