date,cash_investing_ttm
"Dec. 31, 2019",-3.274B
"Sept. 30, 2019",-2.608B
"June 30, 2019",-2.884B
"March 31, 2019",-2.880B
"Dec. 31, 2018",-2.437B
"Sept. 30, 2018",-1.616B
"June 30, 2018",-4.036B
"March 31, 2018",-3.176B
"Dec. 31, 2017",-3.231B
"Sept. 30, 2017",-2.442B
"June 30, 2017",-1.627B
"March 31, 2017",-2.262B
"Dec. 31, 2016",-2.152B
"Sept. 30, 2016",-749.54M
"June 30, 2016",-697.45M
"March 31, 2016",-606.51M
"Dec. 31, 2015",-546.44M
"Sept. 30, 2015",-1.627B
"June 30, 2015",-1.586B
"March 31, 2015",-1.605B
"Dec. 31, 2014",-1.592B
"Sept. 30, 2014",-1.505B
"June 30, 2014",-1.445B
"March 31, 2014",-1.345B
"Dec. 31, 2013",-1.441B
"Sept. 30, 2013",-1.466B
"June 30, 2013",-1.496B
"March 31, 2013",-1.612B
"Dec. 31, 2012",-1.468B
"Sept. 30, 2012",-1.370B
"June 30, 2012",-1.281B
"March 31, 2012",-1.084B
"Dec. 31, 2011",-1.019B
"Sept. 30, 2011",-978.06M
"June 30, 2011",-937.81M
"March 31, 2011",-991.45M
"Dec. 31, 2010",-957.97M
"Sept. 30, 2010",-960.41M
"June 30, 2010",-930.61M
"March 31, 2010",-896.79M
"Dec. 31, 2009",-902.48M
"Sept. 30, 2009",-934.58M
"June 30, 2009",-1.058B
"March 31, 2009",-1.185B
"Dec. 31, 2008",-1.253B
"Sept. 30, 2008",-1.273B
"June 30, 2008",-1.197B
"March 31, 2008",-1.166B
"Dec. 31, 2007",-1.067B
"Sept. 30, 2007",38.91M
"June 30, 2007",28.08M
"March 31, 2007",148.15M
"Dec. 31, 2006",117.06M
"Sept. 30, 2006",-863.93M
"June 30, 2006",-793.14M
"March 31, 2006",-736.18M
"Dec. 31, 2005",-699.54M
"Sept. 30, 2005",-719.21M
"June 30, 2005",-651.17M
"March 31, 2005",-700.97M
"Dec. 31, 2004",-669.99M
"Sept. 30, 2004",-649.65M
"June 30, 2004",-671.62M
"March 31, 2004",-644.78M
"Dec. 31, 2003",-592.47M
"Sept. 30, 2003",-194.41M
"June 30, 2003",-112.10M
"March 31, 2003",-83.04M
"Dec. 31, 2002",-134.33M
"Sept. 30, 2002",-348.59M
"June 30, 2002",-550.24M
"March 31, 2002",-740.03M
"Dec. 31, 2001",-768.77M
"Sept. 30, 2001",-905.66M
"June 30, 2001",-740.48M
"March 31, 2001",-551.25M
"Dec. 31, 2000",-742.40M
"Sept. 30, 2000",-185.18M
"June 30, 2000",-85.95M
"March 31, 2000",-97.30M
"Dec. 31, 1999",151.20M
"Sept. 30, 1999",-358.10M
"June 30, 1999",-443.63M
"March 31, 1999",-342.60M
"Dec. 31, 1998",-320.70M
"Sept. 30, 1998",-256.50M
"June 30, 1998",-250.20M
"March 31, 1998",-314.70M
"Dec. 31, 1997",-329.60M
"Sept. 30, 1997",-393.40M
"June 30, 1997",-391.50M
"March 31, 1997",-355.20M
"Dec. 31, 1996",-328.10M
"Sept. 30, 1996",-326.60M
"June 30, 1996",-316.80M
"March 31, 1996",-343.80M
"Dec. 31, 1995",-341.10M
"Sept. 30, 1995",-351.00M
"June 30, 1995",-354.20M
"March 31, 1995",-337.40M
"Dec. 31, 1994",-321.80M
