date,revenues_ttm
"Dec. 31, 2019",8.526B
"Sept. 30, 2019",8.511B
"June 30, 2019",8.607B
"March 31, 2019",8.576B
"Dec. 31, 2018",8.448B
"Sept. 30, 2018",8.309B
"June 30, 2018",8.026B
"March 31, 2018",7.935B
"Dec. 31, 2017",7.752B
"Sept. 30, 2017",7.633B
"June 30, 2017",7.684B
"March 31, 2017",7.689B
"Dec. 31, 2016",7.639B
"Sept. 30, 2016",7.554B
"June 30, 2016",7.447B
"March 31, 2016",7.497B
"Dec. 31, 2015",7.955B
"Sept. 30, 2015",8.145B
"June 30, 2015",8.104B
"March 31, 2015",7.965B
"Dec. 31, 2014",7.742B
"Sept. 30, 2014",7.638B
"June 30, 2014",7.639B
"March 31, 2014",7.597B
"Dec. 31, 2013",7.301B
"Sept. 30, 2013",7.207B
"June 30, 2013",7.176B
"March 31, 2013",7.169B
"Dec. 31, 2012",6.274B
"Sept. 30, 2012",5.658B
"June 30, 2012",4.911B
"March 31, 2012",4.330B
"Dec. 31, 2011",4.466B
"Sept. 30, 2011",4.602B
"June 30, 2011",4.730B
"March 31, 2011",4.794B
"Dec. 31, 2010",4.898B
"Sept. 30, 2010",5.010B
"June 30, 2010",5.072B
"March 31, 2010",5.185B
"Dec. 31, 2009",5.439B
"Sept. 30, 2009",5.572B
"June 30, 2009",5.773B
"March 31, 2009",5.874B
"Dec. 31, 2008",5.800B
"Sept. 30, 2008",5.627B
"June 30, 2008",5.571B
"March 31, 2008",5.638B
"Dec. 31, 2007",5.821B
"Sept. 30, 2007",6.023B
"June 30, 2007",6.165B
"March 31, 2007",6.434B
"Dec. 31, 2006",6.878B
"Sept. 30, 2006",7.228B
"June 30, 2006",7.390B
"March 31, 2006",7.261B
"Dec. 31, 2005",7.346B
"Sept. 30, 2005",7.153B
"June 30, 2005",7.022B
"March 31, 2005",7.015B
"Dec. 31, 2004",6.621B
"Sept. 30, 2004",6.502B
"June 30, 2004",6.518B
"March 31, 2004",6.323B
"Dec. 31, 2003",6.069B
"Sept. 30, 2003",6.021B
"June 30, 2003",5.742B
"March 31, 2003",6.085B
"Dec. 31, 2002",5.786B
"Sept. 30, 2002",5.617B
"June 30, 2002",5.787B
"March 31, 2002",5.697B
"Dec. 31, 2001",6.213B
"Sept. 30, 2001",6.412B
"June 30, 2001",6.463B
"March 31, 2001",6.295B
"Dec. 31, 2000",5.877B
"Sept. 30, 2000",5.528B
"June 30, 2000",5.187B
"March 31, 2000",4.810B
"Dec. 31, 1999",4.471B
"Sept. 30, 1999",4.282B
"June 30, 1999",4.016B
"March 31, 1999",3.852B
"Dec. 31, 1998",3.768B
"Sept. 30, 1998",3.787B
"June 30, 1998",3.790B
"March 31, 1998",3.818B
"Dec. 31, 1997",3.835B
"Sept. 30, 1997",3.792B
"June 30, 1997",3.771B
"March 31, 1997",3.739B
"Dec. 31, 1996",3.792B
"Sept. 30, 1996",3.836B
"June 30, 1996",3.866B
"March 31, 1996",3.834B
"Dec. 31, 1995",3.751B
"Sept. 30, 1995",3.668B
"June 30, 1995",3.607B
"March 31, 1995",3.621B
"Dec. 31, 1994",3.643B
"Sept. 30, 1994",3.646B
"June 30, 1994",3.638B
"March 31, 1994",3.637B
"Dec. 31, 1993",3.629B
"Sept. 30, 1993",3.595B
"June 30, 1993",3.547B
"March 31, 1993",3.412B
"Dec. 31, 1992",3.217B
"Sept. 30, 1992",3.072B
"June 30, 1992",2.897B
"March 31, 1992",2.815B
"Dec. 31, 1991",2.754B
"Sept. 30, 1991",2.922B
"June 30, 1991",2.830B
"March 31, 1991",2.720B
"Dec. 31, 1990",2.616B
"Sept. 30, 1990",2.299B
"June 30, 1990",2.261B
"March 31, 1990",2.244B
"Dec. 31, 1989",2.206B
"Sept. 30, 1989",2.160B
"June 30, 1989",2.142B
"March 31, 1989",2.101B
"Dec. 31, 1988",2.079B
"Sept. 30, 1988",1.898B
"June 30, 1988",1.853B
"March 31, 1988",1.875B
"Dec. 31, 1987",1.878B
"Sept. 30, 1987",2.044B
"June 30, 1987",2.017B
"March 31, 1987",2.022B
"Dec. 31, 1986",2.032B
"Sept. 30, 1986",2.053B
"June 30, 1986",2.058B
"March 31, 1986",2.04B
"Dec. 31, 1985",2.081B
"Sept. 30, 1985",2.076B
"June 30, 1985",2.100B
"March 31, 1985",2.103B
"Dec. 31, 1984",2.095B
