date,kz_index
"Dec. 31, 2019",1.167
"Dec. 31, 2018",1.004
"Dec. 31, 2017",0.9314
"Dec. 31, 2016",
"Dec. 31, 2015",1.296
"Dec. 31, 2014",0.7409
"Dec. 31, 2013",0.6234
"Dec. 31, 2012",0.2801
"Dec. 31, 2011",
"Dec. 31, 2010",
"Dec. 31, 2009",
"Dec. 31, 2008",
"Dec. 31, 2007",
"Dec. 31, 2006",
"Dec. 31, 2005",1.356
"Dec. 31, 2004",1.225
"Dec. 31, 2003",1.160
"Dec. 31, 2002",
"Dec. 31, 2001",0.93
"Dec. 31, 2000",1.323
"Dec. 31, 1999",1.688
"Dec. 31, 1998",
"Dec. 31, 1997",1.569
"Dec. 31, 1996",0.6404
"Dec. 31, 1995",0.3514
