date,net_income_annual_cs_rev
"Dec. 31, 2019",10.66%
"Dec. 31, 2018",12.23%
"Dec. 31, 2017",12.75%
"Dec. 31, 2016",12.34%
"Dec. 31, 2015",11.04%
"Dec. 31, 2014",10.59%
"Dec. 31, 2013",10.77%
"Dec. 31, 2012",8.38%
"Dec. 31, 2011",8.84%
"Dec. 31, 2010",7.92%
"Dec. 31, 2009",6.07%
"Dec. 31, 2008",4.59%
"Dec. 31, 2007",4.23%
"Dec. 31, 2006",6.92%
"Dec. 31, 2005",-3.37%
"Dec. 31, 2004",1.87%
"Dec. 31, 2003",2.01%
"Dec. 31, 2002",3.01%
"Dec. 31, 2001",4.20%
"Dec. 31, 2000",-0.25%
"Dec. 31, 1999",1.27%
"Dec. 31, 1998",-3.19%
"Dec. 31, 1997",-2.75%
"Dec. 31, 1996",0.94%
"Dec. 31, 1995",8.58%
"Dec. 31, 1994",9.06%
"Dec. 31, 1993",6.88%
"Dec. 31, 1992",9.42%
"Dec. 31, 1991",8.60%
"Dec. 31, 1990",9.78%
"Dec. 31, 1989",9.48%
"Dec. 31, 1988",13.11%
"Dec. 31, 1987",13.48%
"Dec. 31, 1986",14.81%
"Dec. 31, 1985",15.99%
"Dec. 31, 1984",13.79%
