date,total_employee_number
"Dec. 31, 2019",8234
"Dec. 31, 2018",7998
"Dec. 31, 2017",8084
"Dec. 31, 2016",7762
"Dec. 31, 2015",7943
"Dec. 31, 2014",8248
"Dec. 31, 2013",8697
"Dec. 31, 2012",8842
"Dec. 31, 2011",6063
"Dec. 31, 2010",6182
"Dec. 31, 2009",6078
"Dec. 31, 2008",6189
"Dec. 31, 2007",5869
"Dec. 31, 2006",5869
"Dec. 31, 2005",6879
"Dec. 31, 2004",7079
"Dec. 31, 2003",6757
"Dec. 31, 2002",6561
"Dec. 31, 2001",7520
"Dec. 31, 2000",9260
"Dec. 31, 1999",9099
"Dec. 31, 1998",9077
"Dec. 31, 1997",9015
"Dec. 31, 1996",9051
"Dec. 31, 1995",9051
"Dec. 31, 1994",9697
"Dec. 31, 1993",9697
"Dec. 31, 1992",10140
"Dec. 31, 1991",7900
"Dec. 31, 1990",8200
