date,tangible_common_equity_ratio
"Dec. 31, 2019",22.35%
"Sept. 30, 2019",21.80%
"June 30, 2019",21.78%
"March 31, 2019",20.89%
"Dec. 31, 2018",20.88%
"Sept. 30, 2018",21.10%
"June 30, 2018",20.86%
"March 31, 2018",20.72%
"Dec. 31, 2017",20.94%
"Sept. 30, 2017",25.23%
"June 30, 2017",25.28%
"March 31, 2017",25.26%
"Dec. 31, 2016",25.21%
"Sept. 30, 2016",25.82%
"June 30, 2016",25.55%
"March 31, 2016",25.44%
"Dec. 31, 2015",25.25%
"Sept. 30, 2015",25.54%
"June 30, 2015",25.29%
"March 31, 2015",24.94%
"Dec. 31, 2014",24.63%
"Sept. 30, 2014",26.04%
"June 30, 2014",25.69%
"March 31, 2014",25.24%
"Dec. 31, 2013",25.10%
"Sept. 30, 2013",24.06%
"June 30, 2013",23.86%
"March 31, 2013",23.48%
"Dec. 31, 2012",23.07%
"Sept. 30, 2012",23.34%
"June 30, 2012",23.13%
"March 31, 2012",24.10%
"Dec. 31, 2011",24.25%
"Sept. 30, 2011",25.40%
"June 30, 2011",25.63%
"March 31, 2011",25.46%
"Dec. 31, 2010",24.84%
"Sept. 30, 2010",24.52%
"June 30, 2010",24.18%
"March 31, 2010",24.15%
"Dec. 31, 2009",23.89%
"Sept. 30, 2009",23.66%
"June 30, 2009",23.22%
"March 31, 2009",22.65%
"Dec. 31, 2008",19.95%
"Sept. 30, 2008",22.05%
"June 30, 2008",21.35%
"March 31, 2008",21.89%
"Dec. 31, 2007",23.25%
"Sept. 30, 2007",23.40%
"June 30, 2007",23.39%
"March 31, 2007",23.53%
"Dec. 31, 2006",22.79%
"Sept. 30, 2006",19.51%
"June 30, 2006",18.50%
"March 31, 2006",17.65%
"Dec. 31, 2005",17.44%
"Sept. 30, 2005",13.77%
"June 30, 2005",15.54%
"March 31, 2005",9.05%
"Dec. 31, 2004",17.44%
"Sept. 30, 2004",17.66%
"June 30, 2004",17.74%
"March 31, 2004",17.78%
"Dec. 31, 2003",17.67%
"Sept. 30, 2003",18.63%
"June 30, 2003",18.56%
"March 31, 2003",18.98%
"Dec. 31, 2002",17.90%
"Sept. 30, 2002",18.50%
"June 30, 2002",18.15%
"March 31, 2002",18.38%
"Dec. 31, 2001",17.85%
"Sept. 30, 2001",18.16%
"June 30, 2001",18.27%
"March 31, 2001",18.19%
"Dec. 31, 2000",19.15%
"Sept. 30, 2000",20.31%
"June 30, 2000",19.46%
"March 31, 2000",19.42%
"Dec. 31, 1999",21.31%
"Sept. 30, 1999",20.40%
"June 30, 1999",20.04%
"March 31, 1999",19.92%
"Dec. 31, 1998",19.71%
"Sept. 30, 1998",20.61%
"June 30, 1998",21.77%
"March 31, 1998",21.01%
"Dec. 31, 1997",20.43%
"Sept. 30, 1997",20.37%
"June 30, 1997",21.14%
"March 31, 1997",21.24%
"Dec. 31, 1996",21.20%
"Sept. 30, 1996",22.91%
"June 30, 1996",22.84%
"March 31, 1996",23.32%
"Dec. 31, 1995",22.95%
"Sept. 30, 1995",22.84%
"June 30, 1995",22.35%
"March 31, 1995",22.26%
"Dec. 31, 1994",21.82%
"Sept. 30, 1994",0.00%
"June 30, 1994",21.56%
"March 31, 1994",21.31%
