date,capex_ttm
"Dec. 31, 2019",2.911B
"Sept. 30, 2019",2.543B
"June 30, 2019",2.696B
"March 31, 2019",2.637B
"Dec. 31, 2018",2.570B
"Sept. 30, 2018",942.03M
"June 30, 2018",3.261B
"March 31, 2018",2.432B
"Dec. 31, 2017",2.348B
"Sept. 30, 2017",2.260B
"June 30, 2017",1.446B
"March 31, 2017",2.069B
"Dec. 31, 2016",1.977B
"Sept. 30, 2016",785.90M
"June 30, 2016",732.81M
"March 31, 2016",672.90M
"Dec. 31, 2015",604.02M
"Sept. 30, 2015",1.664B
"June 30, 2015",1.620B
"March 31, 2015",1.618B
"Dec. 31, 2014",1.604B
"Sept. 30, 2014",1.501B
"June 30, 2014",1.481B
"March 31, 2014",1.417B
"Dec. 31, 2013",1.457B
"Sept. 30, 2013",1.464B
"June 30, 2013",1.482B
"March 31, 2013",1.557B
"Dec. 31, 2012",1.472B
"Sept. 30, 2012",1.409B
"June 30, 2012",1.299B
"March 31, 2012",1.144B
"Dec. 31, 2011",1.077B
"Sept. 30, 2011",1.026B
"June 30, 2011",980.59M
"March 31, 2011",988.67M
"Dec. 31, 2010",954.47M
"Sept. 30, 2010",951.28M
"June 30, 2010",929.66M
"March 31, 2010",901.74M
"Dec. 31, 2009",908.15M
"Sept. 30, 2009",938.02M
"June 30, 2009",1.051B
"March 31, 2009",1.176B
"Dec. 31, 2008",1.255B
"Sept. 30, 2008",1.316B
"June 30, 2008",1.249B
"March 31, 2008",1.175B
"Dec. 31, 2007",1.115B
"Sept. 30, 2007",1.022B
"June 30, 2007",982.62M
"March 31, 2007",896.06M
"Dec. 31, 2006",872.18M
"Sept. 30, 2006",854.12M
"June 30, 2006",823.99M
"March 31, 2006",812.36M
"Dec. 31, 2005",775.36M
"Sept. 30, 2005",715.29M
"June 30, 2005",673.15M
"March 31, 2005",662.03M
"Dec. 31, 2004",643.82M
"Sept. 30, 2004",631.81M
"June 30, 2004",639.86M
"March 31, 2004",620.43M
"Dec. 31, 2003",563.62M
"Sept. 30, 2003",539.54M
"June 30, 2003",499.00M
"March 31, 2003",479.42M
"Dec. 31, 2002",484.97M
"Sept. 30, 2002",451.86M
"June 30, 2002",439.76M
"March 31, 2002",438.80M
"Dec. 31, 2001",442.59M
"Sept. 30, 2001",475.08M
"June 30, 2001",463.22M
"March 31, 2001",447.12M
"Dec. 31, 2000",414.02M
"Sept. 30, 2000",360.59M
"June 30, 2000",330.64M
"March 31, 2000",311.26M
"Dec. 31, 1999",329.60M
"Sept. 30, 1999",298.50M
"June 30, 1999",303.99M
"March 31, 1999",262.90M
"Dec. 31, 1998",234.00M
"Sept. 30, 1998",221.40M
"June 30, 1998",216.90M
"March 31, 1998",239.30M
"Dec. 31, 1997",240.30M
"Sept. 30, 1997",254.60M
"June 30, 1997",248.90M
"March 31, 1997",237.60M
"Dec. 31, 1996",237.40M
"Sept. 30, 1996",232.40M
"June 30, 1996",234.50M
"March 31, 1996",252.00M
"Dec. 31, 1995",249.70M
"Sept. 30, 1995",292.00M
"June 30, 1995",286.70M
"March 31, 1995",282.80M
"Dec. 31, 1994",288.20M
"Sept. 30, 1994",176.70M
"June 30, 1994",123.70M
"March 31, 1994",61.40M
