date,revenue_per_employee_annual
"Dec. 31, 2019",1.051M
"Dec. 31, 2018",1.051M
"Dec. 31, 2017",978411.2
"Dec. 31, 2016",972823.9
"Dec. 31, 2015",982620.0
"Dec. 31, 2014",913768.1
"Dec. 31, 2013",832567.4
"Dec. 31, 2012",841838.3
"Dec. 31, 2011",729391.6
"Dec. 31, 2010",799048.5
"Dec. 31, 2009",886839.5
"Dec. 31, 2008",962032.7
"Dec. 31, 2007",992030.3
"Dec. 31, 2006",1.079M
"Dec. 31, 2005",1.053M
"Dec. 31, 2004",945654.5
"Dec. 31, 2003",911421.5
"Dec. 31, 2002",743839.2
"Dec. 31, 2001",711349.2
"Dec. 31, 2000",640189.6
"Dec. 31, 1999",492000.4
"Dec. 31, 1998",416504.5
"Dec. 31, 1997",424532.3
"Dec. 31, 1996",418970.3
"Dec. 31, 1995",400106.7
"Dec. 31, 1994",375652.3
"Dec. 31, 1993",365892.0
"Dec. 31, 1992",356640.8
"Dec. 31, 1991",342087.0
