date,days_payables_outstanding
"Dec. 31, 2019",83.54
"Sept. 30, 2019",75.07
"June 30, 2019",103.03
"March 31, 2019",71.90
"Dec. 31, 2018",94.15
"Sept. 30, 2018",82.07
"June 30, 2018",106.42
"March 31, 2018",71.50
"Dec. 31, 2017",109.05
"Sept. 30, 2017",71.41
"June 30, 2017",77.53
"March 31, 2017",66.12
"Dec. 31, 2016",88.42
"Sept. 30, 2016",72.88
"June 30, 2016",84.55
"March 31, 2016",66.34
"Dec. 31, 2015",78.18
"Sept. 30, 2015",59.83
"June 30, 2015",67.55
"March 31, 2015",56.41
"Dec. 31, 2014",62.57
"Sept. 30, 2014",47.98
"June 30, 2014",55.28
"March 31, 2014",52.86
"Dec. 31, 2013",57.73
"Sept. 30, 2013",46.89
"June 30, 2013",59.96
"March 31, 2013",59.86
"Dec. 31, 2012",63.42
"Sept. 30, 2012",52.02
"June 30, 2012",41.47
"March 31, 2012",76.07
"Dec. 31, 2011",36.70
"Sept. 30, 2011",86.46
"June 30, 2011",75.20
"March 31, 2011",81.19
"Dec. 31, 2010",24.34
"Sept. 30, 2010",68.12
"June 30, 2010",54.82
"March 31, 2010",69.14
"Dec. 31, 2009",66.97
"Sept. 30, 2009",61.19
"June 30, 2009",68.20
"March 31, 2009",67.44
"Dec. 31, 2008",51.81
"Sept. 30, 2008",43.84
"June 30, 2008",53.67
"March 31, 2008",50.78
"Dec. 31, 2007",32.86
"Sept. 30, 2007",49.85
"June 30, 2007",54.07
"March 31, 2007",47.29
"Dec. 31, 2006",53.12
"Sept. 30, 2006",46.14
"June 30, 2006",50.47
"March 31, 2006",51.79
"Dec. 31, 2005",49.68
"Sept. 30, 2005",64.48
"June 30, 2005",75.75
"March 31, 2005",47.63
"Dec. 31, 2004",58.81
"Sept. 30, 2004",63.48
"June 30, 2004",84.21
"March 31, 2004",62.51
"Dec. 31, 2003",71.83
"Sept. 30, 2003",61.40
"June 30, 2003",78.44
"March 31, 2003",69.84
"Dec. 31, 2002",68.11
"Sept. 30, 2002",69.17
"June 30, 2002",45.10
"March 31, 2002",69.72
"Dec. 31, 2001",74.68
"Sept. 30, 2001",61.09
"June 30, 2001",59.99
"March 31, 2001",49.57
"Dec. 31, 2000",58.70
"Sept. 30, 2000",51.11
"June 30, 2000",55.26
"March 31, 2000",46.51
"Dec. 31, 1999",60.36
"Sept. 30, 1999",62.12
"June 30, 1999",97.04
"March 31, 1999",79.54
"Dec. 31, 1998",
"Sept. 30, 1998",
"June 30, 1998",87.04
"March 31, 1998",
"Dec. 31, 1997",
"Sept. 30, 1997",
"June 30, 1997",111.49
"March 31, 1997",
"Dec. 31, 1996",110.63
"Sept. 30, 1996",92.74
"June 30, 1996",124.72
"March 31, 1996",82.93
"Dec. 31, 1995",112.54
"Sept. 30, 1995",84.93
"June 30, 1995",100.29
"March 31, 1995",93.67
"Dec. 31, 1994",0.00
"Sept. 30, 1994",0.00
"June 30, 1994",103.58
