date,revenues_per_share
"Dec. 31, 2019",6.269
"Sept. 30, 2019",6.674
"June 30, 2019",5.882
"March 31, 2019",7.589
"Dec. 31, 2018",6.397
"Sept. 30, 2018",7.144
"June 30, 2018",5.832
"March 31, 2018",7.195
"Dec. 31, 2017",5.959
"Sept. 30, 2017",6.254
"June 30, 2017",5.544
"March 31, 2017",6.617
"Dec. 31, 2016",5.582
"Sept. 30, 2016",6.403
"June 30, 2016",5.549
"March 31, 2016",6.454
"Dec. 31, 2015",5.309
"Sept. 30, 2015",6.071
"June 30, 2015",5.704
"March 31, 2015",7.892
"Dec. 31, 2014",5.914
"Sept. 30, 2014",5.960
"June 30, 2014",5.290
"March 31, 2014",7.228
"Dec. 31, 2013",5.614
"Sept. 30, 2013",5.985
"June 30, 2013",5.177
"March 31, 2013",6.313
"Dec. 31, 2012",5.330
"Sept. 30, 2012",5.894
"June 30, 2012",5.396
"March 31, 2012",6.162
"Dec. 31, 2011",5.991
"Sept. 30, 2011",6.269
"June 30, 2011",5.897
"March 31, 2011",6.960
"Dec. 31, 2010",6.792
"Sept. 30, 2010",7.024
"June 30, 2010",6.289
"March 31, 2010",7.587
"Dec. 31, 2009",7.415
"Sept. 30, 2009",7.422
"June 30, 2009",6.970
"March 31, 2009",9.780
"Dec. 31, 2008",9.265
"Sept. 30, 2008",9.654
"June 30, 2008",8.502
"March 31, 2008",9.761
"Dec. 31, 2007",8.194
"Sept. 30, 2007",9.336
"June 30, 2007",8.969
"March 31, 2007",10.99
"Dec. 31, 2006",9.558
"Sept. 30, 2006",10.32
"June 30, 2006",10.79
"March 31, 2006",13.99
"Dec. 31, 2005",13.26
"Sept. 30, 2005",13.50
"June 30, 2005",11.83
"March 31, 2005",17.27
"Dec. 31, 2004",12.67
"Sept. 30, 2004",12.66
"June 30, 2004",11.89
"March 31, 2004",14.35
"Dec. 31, 2003",11.86
"Sept. 30, 2003",12.88
"June 30, 2003",10.48
"March 31, 2003",12.46
"Dec. 31, 2002",11.45
"Sept. 30, 2002",10.51
"June 30, 2002",12.87
"March 31, 2002",9.899
"Dec. 31, 2001",9.890
"Sept. 30, 2001",11.43
"June 30, 2001",11.80
"March 31, 2001",12.48
"Dec. 31, 2000",10.30
"Sept. 30, 2000",10.86
"June 30, 2000",9.274
"March 31, 2000",10.19
"Dec. 31, 1999",8.562
"Sept. 30, 1999",9.542
"June 30, 1999",7.859
"March 31, 1999",7.896
"Dec. 31, 1998",7.977
"Sept. 30, 1998",6.286
"June 30, 1998",6.943
"March 31, 1998",7.500
"Dec. 31, 1997",7.153
"Sept. 30, 1997",4.536
"June 30, 1997",7.013
"March 31, 1997",7.169
"Dec. 31, 1996",7.305
"Sept. 30, 1996",8.686
"June 30, 1996",6.765
"March 31, 1996",8.006
"Dec. 31, 1995",7.655
"Sept. 30, 1995",7.815
"June 30, 1995",6.754
"March 31, 1995",7.553
"Dec. 31, 1994",7.207
"Sept. 30, 1994",7.378
"June 30, 1994",6.854
"March 31, 1994",7.758
"Dec. 31, 1993",9.808
"Sept. 30, 1993",6.813
"June 30, 1993",6.568
"March 31, 1993",7.180
"Dec. 31, 1992",4.681
"Sept. 30, 1992",6.443
"June 30, 1992",6.498
"March 31, 1992",7.258
"Dec. 31, 1991",6.061
"Sept. 30, 1991",6.194
"June 30, 1991",5.757
"March 31, 1991",6.422
"Dec. 31, 1990",8.131
"Sept. 30, 1990",6.701
"June 30, 1990",6.693
"March 31, 1990",6.665
"Dec. 31, 1989",5.283
"Sept. 30, 1989",5.175
"June 30, 1989",4.695
"March 31, 1989",5.150
"Dec. 31, 1988",4.858
"Sept. 30, 1988",5.005
"June 30, 1988",4.324
"March 31, 1988",4.946
"Dec. 31, 1987",3.192
"Sept. 30, 1987",4.593
"June 30, 1987",4.525
"March 31, 1987",4.972
"Dec. 31, 1986",4.723
"Sept. 30, 1986",4.343
"June 30, 1986",4.594
"March 31, 1986",5.129
"Dec. 31, 1985",4.978
"Sept. 30, 1985",4.480
"June 30, 1985",4.524
"March 31, 1985",5.653
"Dec. 31, 1984",5.063
"Sept. 30, 1984",4.870
"June 30, 1984",4.691
"March 31, 1984",5.842
