date,return_on_equity
"Dec. 31, 2019",7.60%
"Sept. 30, 2019",7.60%
"June 30, 2019",7.45%
"March 31, 2019",9.41%
"Dec. 31, 2018",9.15%
"Sept. 30, 2018",9.29%
"June 30, 2018",9.11%
"March 31, 2018",9.08%
"Dec. 31, 2017",9.07%
"Sept. 30, 2017",9.07%
"June 30, 2017",9.19%
"March 31, 2017",9.02%
"Dec. 31, 2016",8.95%
"Sept. 30, 2016",8.57%
"June 30, 2016",8.36%
"March 31, 2016",8.46%
"Dec. 31, 2015",8.63%
"Sept. 30, 2015",9.10%
"June 30, 2015",9.19%
"March 31, 2015",8.46%
"Dec. 31, 2014",8.37%
"Sept. 30, 2014",7.99%
"June 30, 2014",7.81%
"March 31, 2014",8.34%
"Dec. 31, 2013",8.34%
"Sept. 30, 2013",8.39%
"June 30, 2013",8.45%
"March 31, 2013",8.01%
"Dec. 31, 2012",7.39%
"Sept. 30, 2012",7.67%
"June 30, 2012",6.93%
"March 31, 2012",9.57%
"Dec. 31, 2011",10.08%
"Sept. 30, 2011",10.64%
"June 30, 2011",11.09%
"March 31, 2011",11.12%
"Dec. 31, 2010",10.54%
"Sept. 30, 2010",9.48%
"June 30, 2010",8.60%
"March 31, 2010",9.00%
"Dec. 31, 2009",9.66%
"Sept. 30, 2009",9.76%
"June 30, 2009",10.38%
"March 31, 2009",9.95%
"Dec. 31, 2008",8.99%
"Sept. 30, 2008",8.92%
"June 30, 2008",8.26%
"March 31, 2008",8.05%
"Dec. 31, 2007",8.76%
"Sept. 30, 2007",19.04%
"June 30, 2007",22.15%
"March 31, 2007",21.89%
"Dec. 31, 2006",19.15%
"Sept. 30, 2006",4.95%
"June 30, 2006",-4.00%
"March 31, 2006",-6.31%
"Dec. 31, 2005",-11.24%
"Sept. 30, 2005",-9.22%
"June 30, 2005",-5.12%
"March 31, 2005",-2.75%
"Dec. 31, 2004",5.29%
"Sept. 30, 2004",3.44%
"June 30, 2004",5.55%
"March 31, 2004",5.72%
"Dec. 31, 2003",5.46%
"Sept. 30, 2003",8.47%
"June 30, 2003",8.98%
"March 31, 2003",9.13%
"Dec. 31, 2002",7.30%
"Sept. 30, 2002",7.06%
"June 30, 2002",6.43%
"March 31, 2002",7.08%
"Dec. 31, 2001",11.38%
"Sept. 30, 2001",0.85%
"June 30, 2001",2.26%
"March 31, 2001",0.90%
"Dec. 31, 2000",-0.63%
"Sept. 30, 2000",6.77%
"June 30, 2000",5.55%
"March 31, 2000",5.24%
"Dec. 31, 1999",2.75%
"Sept. 30, 1999",-1.82%
"June 30, 1999",-3.70%
"March 31, 1999",-3.35%
"Dec. 31, 1998",-5.31%
"Sept. 30, 1998",-0.68%
"June 30, 1998",-2.92%
"March 31, 1998",-6.08%
"Dec. 31, 1997",-5.16%
"Sept. 30, 1997",-7.76%
"June 30, 1997",-4.93%
"March 31, 1997",-1.59%
"Dec. 31, 1996",1.49%
"Sept. 30, 1996",7.30%
"June 30, 1996",10.99%
"March 31, 1996",12.33%
"Dec. 31, 1995",13.60%
"Sept. 30, 1995",17.26%
"June 30, 1995",16.29%
"March 31, 1995",17.59%
"Dec. 31, 1994",19.24%
"Sept. 30, 1994",21.12%
