date,accruals
"Dec. 31, 2019",-1.557B
"Sept. 30, 2019",1.041B
"June 30, 2019",-465.13M
"March 31, 2019",-119.32M
"Dec. 31, 2018",-1.382B
"Sept. 30, 2018",769.85M
"June 30, 2018",-277.65M
"March 31, 2018",91.83M
"Dec. 31, 2017",-282.94M
"Sept. 30, 2017",-999.94M
"June 30, 2017",460.57M
"March 31, 2017",-185.89M
"Dec. 31, 2016",-328.70M
"Sept. 30, 2016",-406.61M
"June 30, 2016",-274.82M
"March 31, 2016",-255.81M
"Dec. 31, 2015",833.07M
"Sept. 30, 2015",-250.12M
"June 30, 2015",-166.23M
"March 31, 2015",-238.29M
"Dec. 31, 2014",-26.35M
"Sept. 30, 2014",-272.74M
"June 30, 2014",-275.50M
"March 31, 2014",-257.84M
"Dec. 31, 2013",-309.17M
"Sept. 30, 2013",-198.44M
"June 30, 2013",-124.86M
"March 31, 2013",-245.05M
"Dec. 31, 2012",-190.51M
"Sept. 30, 2012",-267.97M
"June 30, 2012",-267.25M
"March 31, 2012",90.45M
"Dec. 31, 2011",31.36M
"Sept. 30, 2011",-111.79M
"June 30, 2011",-236.65M
"March 31, 2011",-258.61M
"Dec. 31, 2010",-120.55M
"Sept. 30, 2010",-209.34M
"June 30, 2010",-236.13M
"March 31, 2010",-139.49M
"Dec. 31, 2009",-143.27M
"Sept. 30, 2009",-188.00M
"June 30, 2009",-285.53M
"March 31, 2009",-42.28M
"Dec. 31, 2008",-151.24M
"Sept. 30, 2008",-71.78M
"June 30, 2008",-126.23M
"March 31, 2008",-39.33M
"Dec. 31, 2007",-107.57M
"Sept. 30, 2007",-55.53M
"June 30, 2007",-179.17M
"March 31, 2007",343.10M
"Dec. 31, 2006",321.58M
"Sept. 30, 2006",-54.28M
"June 30, 2006",-146.79M
"March 31, 2006",-51.44M
"Dec. 31, 2005",-100.63M
"Sept. 30, 2005",-168.93M
"June 30, 2005",-114.14M
"March 31, 2005",-305.44M
"Dec. 31, 2004",-54.04M
"Sept. 30, 2004",58.84M
"June 30, 2004",-141.25M
"March 31, 2004",-258.46M
"Dec. 31, 2003",-141.17M
"Sept. 30, 2003",-208.47M
"June 30, 2003",-57.65M
"March 31, 2003",-64.15M
"Dec. 31, 2002",-65.23M
"Sept. 30, 2002",-69.91M
"June 30, 2002",-96.00M
"March 31, 2002",-200.95M
"Dec. 31, 2001",144.81M
"Sept. 30, 2001",-219.50M
"June 30, 2001",63.69M
"March 31, 2001",-117.41M
"Dec. 31, 2000",-340.14M
"Sept. 30, 2000",-80.93M
"June 30, 2000",-136.98M
"March 31, 2000",-34.76M
"Dec. 31, 1999",-14.50M
"Sept. 30, 1999",-103.44M
"June 30, 1999",-153.66M
"March 31, 1999",-285.50M
"Dec. 31, 1998",-221.30M
"Sept. 30, 1998",-173.50M
"June 30, 1998",-91.00M
"March 31, 1998",-316.30M
"Dec. 31, 1997",-94.70M
"Sept. 30, 1997",-188.40M
"June 30, 1997",-161.80M
"March 31, 1997",-46.30M
"Dec. 31, 1996",-214.70M
"Sept. 30, 1996",-155.10M
"June 30, 1996",-183.20M
"March 31, 1996",-226.90M
"Dec. 31, 1995",-94.20M
"Sept. 30, 1995",-195.40M
"June 30, 1995",-110.50M
"March 31, 1995",-161.40M
"Dec. 31, 1994",-171.30M
"Sept. 30, 1994",-198.00M
"June 30, 1994",-67.60M
"March 31, 1994",-154.10M
