date,cash_operations_ttm
"Dec. 31, 2019",2.010B
"Sept. 30, 2019",1.816B
"June 30, 2019",2.057B
"March 31, 2019",2.081B
"Dec. 31, 2018",1.831B
"Sept. 30, 2018",738.02M
"June 30, 2018",2.479B
"March 31, 2018",1.729B
"Dec. 31, 2017",1.996B
"Sept. 30, 2017",2.034B
"June 30, 2017",1.445B
"March 31, 2017",2.154B
"Dec. 31, 2016",2.208B
"Sept. 30, 2016",999.10M
"June 30, 2016",813.21M
"March 31, 2016",708.48M
"Dec. 31, 2015",700.05M
"Sept. 30, 2015",1.599B
"June 30, 2015",1.621B
"March 31, 2015",1.650B
"Dec. 31, 2014",1.652B
"Sept. 30, 2014",1.891B
"June 30, 2014",1.791B
"March 31, 2014",1.684B
"Dec. 31, 2013",1.664B
"Sept. 30, 2013",1.542B
"June 30, 2013",1.610B
"March 31, 2013",1.626B
"Dec. 31, 2012",1.161B
"Sept. 30, 2012",877.94M
"June 30, 2012",604.09M
"March 31, 2012",606.44M
"Dec. 31, 2011",970.39M
"Sept. 30, 2011",1.138B
"June 30, 2011",1.246B
"March 31, 2011",1.241B
"Dec. 31, 2010",1.093B
"Sept. 30, 2010",1.072B
"June 30, 2010",1.015B
"March 31, 2010",1.075B
"Dec. 31, 2009",989.12M
"Sept. 30, 2009",989.83M
"June 30, 2009",881.51M
"March 31, 2009",697.20M
"Dec. 31, 2008",654.98M
"Sept. 30, 2008",606.56M
"June 30, 2008",567.74M
"March 31, 2008",612.77M
"Dec. 31, 2007",248.44M
"Sept. 30, 2007",94.96M
"June 30, 2007",156.43M
"March 31, 2007",97.74M
"Dec. 31, 2006",407.07M
"Sept. 30, 2006",468.71M
"June 30, 2006",377.42M
"March 31, 2006",294.82M
"Dec. 31, 2005",441.20M
"Sept. 30, 2005",441.24M
"June 30, 2005",300.06M
"March 31, 2005",378.88M
"Dec. 31, 2004",517.07M
"Sept. 30, 2004",561.24M
"June 30, 2004",875.69M
"March 31, 2004",794.96M
"Dec. 31, 2003",593.41M
"Sept. 30, 2003",583.40M
"June 30, 2003",454.18M
"March 31, 2003",494.51M
"Dec. 31, 2002",589.75M
"Sept. 30, 2002",373.38M
"June 30, 2002",508.64M
"March 31, 2002",365.44M
"Dec. 31, 2001",376.74M
"Sept. 30, 2001",632.42M
"June 30, 2001",526.50M
"March 31, 2001",696.55M
"Dec. 31, 2000",578.38M
"Sept. 30, 2000",420.53M
"June 30, 2000",411.64M
"March 31, 2000",418.41M
"Dec. 31, 1999",614.20M
"Sept. 30, 1999",725.90M
"June 30, 1999",755.96M
"March 31, 1999",700.20M
"Dec. 31, 1998",688.70M
"Sept. 30, 1998",660.90M
"June 30, 1998",627.20M
"March 31, 1998",628.40M
"Dec. 31, 1997",377.20M
"Sept. 30, 1997",436.00M
"June 30, 1997",464.10M
"March 31, 1997",561.90M
"Dec. 31, 1996",815.50M
"Sept. 30, 1996",835.50M
"June 30, 1996",964.20M
"March 31, 1996",922.30M
"Dec. 31, 1995",883.30M
"Sept. 30, 1995",963.30M
"June 30, 1995",943.80M
"March 31, 1995",922.10M
"Dec. 31, 1994",920.90M
