date,shareholders_equity
"Dec. 31, 2019",12.63B
"Sept. 30, 2019",12.12B
"June 30, 2019",11.95B
"March 31, 2019",11.64B
"Dec. 31, 2018",11.49B
"Sept. 30, 2018",11.41B
"June 30, 2018",11.27B
"March 31, 2018",11.18B
"Dec. 31, 2017",11.09B
"Sept. 30, 2017",11.00B
"June 30, 2017",10.89B
"March 31, 2017",10.80B
"Dec. 31, 2016",10.71B
"Sept. 30, 2016",10.64B
"June 30, 2016",10.51B
"March 31, 2016",10.44B
"Dec. 31, 2015",10.35B
"Sept. 30, 2015",10.29B
"June 30, 2015",10.19B
"March 31, 2015",10.11B
"Dec. 31, 2014",9.977B
"Sept. 30, 2014",9.891B
"June 30, 2014",9.754B
"March 31, 2014",9.724B
"Dec. 31, 2013",9.612B
"Sept. 30, 2013",9.517B
"June 30, 2013",9.407B
"March 31, 2013",9.345B
"Dec. 31, 2012",9.237B
"Sept. 30, 2012",9.177B
"June 30, 2012",9.068B
"March 31, 2012",4.068B
"Dec. 31, 2011",4.013B
"Sept. 30, 2011",3.956B
"June 30, 2011",3.915B
"March 31, 2011",4.002B
"Dec. 31, 2010",3.811B
"Sept. 30, 2010",3.723B
"June 30, 2010",3.659B
"March 31, 2010",3.625B
"Dec. 31, 2009",3.578B
"Sept. 30, 2009",3.533B
"June 30, 2009",3.502B
"March 31, 2009",3.456B
"Dec. 31, 2008",3.020B
"Sept. 30, 2008",3.132B
"June 30, 2008",3.056B
"March 31, 2008",3.043B
"Dec. 31, 2007",3.030B
"Sept. 30, 2007",2.990B
"June 30, 2007",2.939B
"March 31, 2007",2.933B
"Dec. 31, 2006",2.914B
"Sept. 30, 2006",2.589B
"June 30, 2006",2.470B
"March 31, 2006",2.494B
"Dec. 31, 2005",2.545B
"Sept. 30, 2005",2.148B
"June 30, 2005",2.219B
"March 31, 2005",2.288B
"Dec. 31, 2004",2.413B
"Sept. 30, 2004",2.435B
"June 30, 2004",2.440B
"March 31, 2004",2.450B
"Dec. 31, 2003",2.380B
"Sept. 30, 2003",2.370B
"June 30, 2003",2.331B
"March 31, 2003",2.346B
"Dec. 31, 2002",2.327B
"Sept. 30, 2002",2.305B
"June 30, 2002",2.260B
"March 31, 2002",2.255B
"Dec. 31, 2001",2.234B
"Sept. 30, 2001",2.250B
"June 30, 2001",2.239B
"March 31, 2001",2.435B
"Dec. 31, 2000",2.370B
"Sept. 30, 2000",2.565B
"June 30, 2000",2.517B
"March 31, 2000",2.620B
"Dec. 31, 1999",2.341B
"Sept. 30, 1999",2.368B
"June 30, 1999",2.351B
"March 31, 1999",2.371B
"Dec. 31, 1998",2.351B
"Sept. 30, 1998",2.508B
"June 30, 1998",2.501B
"March 31, 1998",2.516B
"Dec. 31, 1997",2.509B
"Sept. 30, 1997",2.543B
"June 30, 1997",2.595B
"March 31, 1997",2.677B
"Dec. 31, 1996",2.689B
"Sept. 30, 1996",2.827B
"June 30, 1996",2.854B
"March 31, 1996",2.919B
"Dec. 31, 1995",2.896B
"Sept. 30, 1995",2.872B
"June 30, 1995",2.827B
"March 31, 1995",2.823B
"Dec. 31, 1994",2.919B
"Sept. 30, 1994",0.00
"June 30, 1994",2.899B
"March 31, 1994",2.888B
