date,cash_on_hand
"Dec. 31, 2019",15.43M
"Sept. 30, 2019",22.69M
"June 30, 2019",20.58M
"March 31, 2019",35.14M
"Dec. 31, 2018",108.07M
"Sept. 30, 2018",59.09M
"June 30, 2018",64.15M
"March 31, 2018",303.81M
"Dec. 31, 2017",38.16M
"Sept. 30, 2017",125.76M
"June 30, 2017",24.64M
"March 31, 2017",45.76M
"Dec. 31, 2016",30.25M
"Sept. 30, 2016",40.06M
"June 30, 2016",38.73M
"March 31, 2016",50.97M
"Dec. 31, 2015",23.95M
"Sept. 30, 2015",155.48M
"June 30, 2015",161.30M
"March 31, 2015",71.03M
"Dec. 31, 2014",38.70M
"Sept. 30, 2014",156.43M
"June 30, 2014",150.08M
"March 31, 2014",89.15M
"Dec. 31, 2013",43.36M
"Sept. 30, 2013",57.94M
"June 30, 2013",36.06M
"March 31, 2013",159.93M
"Dec. 31, 2012",45.75M
"Sept. 30, 2012",155.07M
"June 30, 2012",107.71M
"March 31, 2012",346.08M
"Dec. 31, 2011",77.53M
"Sept. 30, 2011",91.25M
"June 30, 2011",89.79M
"March 31, 2011",94.70M
"Dec. 31, 2010",101.70M
"Sept. 30, 2010",121.15M
"June 30, 2010",190.35M
"March 31, 2010",111.97M
"Dec. 31, 2009",93.19M
"Sept. 30, 2009",332.13M
"June 30, 2009",561.13M
"March 31, 2009",502.35M
"Dec. 31, 2008",199.64M
"Sept. 30, 2008",82.82M
"June 30, 2008",12.13M
"March 31, 2008",24.97M
"Dec. 31, 2007",499.62M
"Sept. 30, 2007",207.65M
"June 30, 2007",138.82M
"March 31, 2007",214.73M
"Dec. 31, 2006",481.91M
"Sept. 30, 2006",50.46M
"June 30, 2006",48.74M
"March 31, 2006",36.27M
"Dec. 31, 2005",45.78M
"Sept. 30, 2005",86.19M
"June 30, 2005",55.48M
"March 31, 2005",74.02M
"Dec. 31, 2004",46.99M
"Sept. 30, 2004",97.85M
"June 30, 2004",75.26M
"March 31, 2004",76.05M
"Dec. 31, 2003",43.37M
"Sept. 30, 2003",118.14M
"June 30, 2003",57.03M
"March 31, 2003",98.96M
"Dec. 31, 2002",54.68M
"Sept. 30, 2002",70.73M
"June 30, 2002",94.02M
"March 31, 2002",106.81M
"Dec. 31, 2001",96.66M
"Sept. 30, 2001",130.91M
"June 30, 2001",197.65M
"March 31, 2001",1.472B
"Dec. 31, 2000",200.02M
"Sept. 30, 2000",237.97M
"June 30, 2000",301.64M
"March 31, 2000",369.74M
"Dec. 31, 1999",255.20M
"Sept. 30, 1999",335.40M
"June 30, 1999",220.30M
"March 31, 1999",335.70M
"Dec. 31, 1998",136.20M
"Sept. 30, 1998",160.90M
"June 30, 1998",131.10M
"March 31, 1998",268.70M
"Dec. 31, 1997",143.40M
"Sept. 30, 1997",213.10M
"June 30, 1997",137.60M
"March 31, 1997",261.40M
"Dec. 31, 1996",194.20M
"Sept. 30, 1996",238.90M
"June 30, 1996",275.80M
"March 31, 1996",130.00M
"Dec. 31, 1995",29.00M
"Sept. 30, 1995",51.20M
"June 30, 1995",31.30M
"March 31, 1995",24.70M
"Dec. 31, 1994",34.60M
"Sept. 30, 1994",21.70M
"June 30, 1994",30.50M
"March 31, 1994",34.30M
