date,cash_dividend_payout_ratio
"Dec. 31, 2019",-72.93%
"Sept. 30, 2019",-101.0%
"June 30, 2019",-99.52%
"March 31, 2019",-115.2%
"Dec. 31, 2018",-85.70%
"Sept. 30, 2018",-146.0%
"June 30, 2018",-102.2%
"March 31, 2018",-86.04%
"Dec. 31, 2017",-167.5%
"Sept. 30, 2017",-253.5%
"June 30, 2017",-7.04K%
"March 31, 2017",743.8%
"Dec. 31, 2016",252.2%
"Sept. 30, 2016",123.7%
"June 30, 2016",322.0%
"March 31, 2016",725.7%
"Dec. 31, 2015",250.0%
"Sept. 30, 2015",-719.6%
"June 30, 2015",-7.18K%
"March 31, 2015",1.99K%
"Dec. 31, 2014",1.17K%
"Sept. 30, 2014",124.7%
"June 30, 2014",154.4%
"March 31, 2014",178.8%
"Dec. 31, 2013",232.5%
"Sept. 30, 2013",639.9%
"June 30, 2013",372.8%
"March 31, 2013",719.0%
"Dec. 31, 2012",-117.9%
"Sept. 30, 2012",-58.74%
"June 30, 2012",-36.69%
"March 31, 2012",-36.45%
"Dec. 31, 2011",-173.9%
"Sept. 30, 2011",179.0%
"June 30, 2011",72.07%
"March 31, 2011",74.72%
"Dec. 31, 2010",135.3%
"Sept. 30, 2010",154.3%
"June 30, 2010",218.9%
"March 31, 2010",101.6%
"Dec. 31, 2009",215.3%
"Sept. 30, 2009",332.7%
"June 30, 2009",-83.00%
"March 31, 2009",-27.86%
"Dec. 31, 2008",-21.30%
"Sept. 30, 2008",-17.80%
"June 30, 2008",-18.29%
"March 31, 2008",-21.82%
"Dec. 31, 2007",-13.96%
"Sept. 30, 2007",-12.83%
"June 30, 2007",-14.19%
"March 31, 2007",-14.37%
"Dec. 31, 2006",-24.24%
"Sept. 30, 2006",-27.59%
"June 30, 2006",-22.38%
"March 31, 2006",-18.12%
"Dec. 31, 2005",-26.20%
"Sept. 30, 2005",-33.32%
"June 30, 2005",-23.85%
"March 31, 2005",-30.93%
"Dec. 31, 2004",-67.64%
"Sept. 30, 2004",-113.0%
"June 30, 2004",33.65%
"March 31, 2004",45.24%
"Dec. 31, 2003",264.0%
"Sept. 30, 2003",175.9%
"June 30, 2003",-169.2%
"March 31, 2003",494.5%
"Dec. 31, 2002",70.01%
"Sept. 30, 2002",-91.54%
"June 30, 2002",77.91%
"March 31, 2002",-93.57%
"Dec. 31, 2001",-103.5%
"Sept. 30, 2001",43.07%
"June 30, 2001",132.5%
"March 31, 2001",27.88%
"Dec. 31, 2000",43.51%
"Sept. 30, 2000",121.6%
"June 30, 2000",75.83%
"March 31, 2000",45.89%
"Dec. 31, 1999",12.65%
"Sept. 30, 1999",5.52%
"June 30, 1999",5.35%
"March 31, 1999",5.72%
"Dec. 31, 1998",5.81%
"Sept. 30, 1998",6.26%
"June 30, 1998",6.97%
"March 31, 1998",7.63%
"Dec. 31, 1997",45.58%
"Sept. 30, 1997",52.81%
"June 30, 1997",60.04%
"March 31, 1997",57.23%
"Dec. 31, 1996",36.34%
"Sept. 30, 1996",38.75%
"June 30, 1996",35.23%
"March 31, 1996",38.25%
"Dec. 31, 1995",41.19%
"Sept. 30, 1995",39.09%
"June 30, 1995",40.19%
"March 31, 1995",41.62%
"Dec. 31, 1994",41.46%
