date,three_year_return
"March 19, 2020",30.75%
"March 18, 2020",46.36%
"March 17, 2020",47.99%
"March 16, 2020",31.84%
"March 13, 2020",52.53%
"March 12, 2020",43.16%
"March 11, 2020",52.12%
"March 10, 2020",57.93%
"March 9, 2020",61.31%
"March 6, 2020",65.14%
"March 5, 2020",67.19%
"March 4, 2020",69.08%
"March 3, 2020",58.54%
"March 2, 2020",59.79%
"Feb. 28, 2020",47.39%
"Feb. 27, 2020",52.45%
"Feb. 26, 2020",58.33%
"Feb. 25, 2020",58.19%
"Feb. 24, 2020",61.29%
"Feb. 21, 2020",68.82%
"Feb. 20, 2020",70.35%
"Feb. 19, 2020",67.94%
"Feb. 18, 2020",68.85%
"Feb. 14, 2020",67.40%
"Feb. 13, 2020",63.71%
"Feb. 12, 2020",61.75%
"Feb. 11, 2020",61.61%
"Feb. 10, 2020",61.95%
"Feb. 7, 2020",62.39%
"Feb. 6, 2020",63.20%
"Feb. 5, 2020",62.40%
"Feb. 4, 2020",62.60%
"Feb. 3, 2020",65.85%
"Jan. 31, 2020",67.10%
"Jan. 30, 2020",71.25%
"Jan. 29, 2020",70.30%
"Jan. 28, 2020",69.20%
"Jan. 27, 2020",68.42%
"Jan. 24, 2020",68.30%
"Jan. 23, 2020",66.68%
"Jan. 22, 2020",63.55%
"Jan. 21, 2020",63.27%
"Jan. 17, 2020",59.24%
"Jan. 16, 2020",59.13%
"Jan. 15, 2020",58.33%
"Jan. 14, 2020",55.67%
"Jan. 13, 2020",54.40%
"Jan. 10, 2020",55.51%
"Jan. 9, 2020",52.83%
"Jan. 8, 2020",49.75%
"Jan. 7, 2020",49.62%
"Jan. 6, 2020",50.76%
"Jan. 3, 2020",50.44%
"Jan. 2, 2020",50.70%
"Dec. 31, 2019",54.03%
"Dec. 30, 2019",52.83%
"Dec. 27, 2019",52.26%
"Dec. 26, 2019",52.00%
"Dec. 24, 2019",51.39%
"Dec. 23, 2019",50.97%
"Dec. 20, 2019",53.08%
"Dec. 19, 2019",52.13%
"Dec. 18, 2019",53.18%
"Dec. 17, 2019",51.73%
"Dec. 16, 2019",50.36%
"Dec. 13, 2019",49.11%
"Dec. 12, 2019",48.92%
"Dec. 11, 2019",51.32%
"Dec. 10, 2019",50.63%
"Dec. 9, 2019",50.15%
"Dec. 6, 2019",56.12%
"Dec. 5, 2019",58.21%
"Dec. 4, 2019",60.64%
"Dec. 3, 2019",58.73%
"Dec. 2, 2019",58.71%
"Nov. 29, 2019",53.75%
"Nov. 27, 2019",57.63%
"Nov. 26, 2019",57.29%
"Nov. 25, 2019",56.21%
"Nov. 22, 2019",56.78%
"Nov. 21, 2019",57.51%
"Nov. 20, 2019",59.20%
"Nov. 19, 2019",58.63%
"Nov. 18, 2019",58.53%
"Nov. 15, 2019",55.01%
"Nov. 14, 2019",56.32%
"Nov. 13, 2019",55.75%
"Nov. 12, 2019",52.44%
"Nov. 11, 2019",52.63%
"Nov. 8, 2019",44.30%
"Nov. 7, 2019",46.23%
"Nov. 6, 2019",53.05%
"Nov. 5, 2019",52.46%
"Nov. 4, 2019",53.10%
"Nov. 1, 2019",53.09%
"Oct. 31, 2019",52.09%
"Oct. 30, 2019",53.58%
"Oct. 29, 2019",52.95%
"Oct. 28, 2019",54.70%
"Oct. 25, 2019",57.11%
"Oct. 24, 2019",59.25%
"Oct. 23, 2019",59.37%
"Oct. 22, 2019",59.00%
"Oct. 21, 2019",59.52%
"Oct. 18, 2019",58.14%
"Oct. 17, 2019",58.36%
"Oct. 16, 2019",59.04%
"Oct. 15, 2019",58.12%
"Oct. 14, 2019",59.38%
"Oct. 11, 2019",64.62%
"Oct. 10, 2019",62.13%
"Oct. 9, 2019",64.17%
"Oct. 8, 2019",61.80%
"Oct. 7, 2019",62.80%
"Oct. 4, 2019",62.73%
"Oct. 3, 2019",58.12%
"Oct. 2, 2019",55.81%
"Oct. 1, 2019",57.55%
"Sept. 30, 2019",57.75%
"Sept. 27, 2019",54.02%
"Sept. 26, 2019",51.33%
"Sept. 25, 2019",50.52%
"Sept. 24, 2019",50.56%
"Sept. 23, 2019",48.48%
"Sept. 20, 2019",52.97%
"Sept. 19, 2019",52.46%
"Sept. 18, 2019",53.88%
"Sept. 17, 2019",53.47%
"Sept. 16, 2019",52.16%
"Sept. 13, 2019",53.67%
"Sept. 12, 2019",52.57%
"Sept. 11, 2019",54.31%
"Sept. 10, 2019",53.75%
"Sept. 9, 2019",53.62%
"Sept. 6, 2019",49.84%
"Sept. 5, 2019",50.87%
"Sept. 4, 2019",51.72%
"Sept. 3, 2019",49.84%
"Aug. 30, 2019",49.11%
"Aug. 29, 2019",47.89%
"Aug. 28, 2019",48.36%
"Aug. 27, 2019",48.85%
"Aug. 26, 2019",47.71%
"Aug. 23, 2019",43.22%
"Aug. 22, 2019",43.39%
