date,cash_financing_ttm
"Dec. 31, 2019",1.172B
"Sept. 30, 2019",851.12M
"June 30, 2019",871.92M
"March 31, 2019",544.49M
"Dec. 31, 2018",729.94M
"Sept. 30, 2018",827.43M
"June 30, 2018",1.572B
"March 31, 2018",1.683B
"Dec. 31, 2017",1.213B
"Sept. 30, 2017",496.17M
"June 30, 2017",205.76M
"March 31, 2017",139.17M
"Dec. 31, 2016",-17.94M
"Sept. 30, 2016",-239.12M
"June 30, 2016",-107.34M
"March 31, 2016",-115.86M
"Dec. 31, 2015",-162.21M
"Sept. 30, 2015",21.89M
"June 30, 2015",-32.05M
"March 31, 2015",-62.68M
"Dec. 31, 2014",-64.84M
"Sept. 30, 2014",-401.36M
"June 30, 2014",-348.30M
"March 31, 2014",-310.40M
"Dec. 31, 2013",-224.70M
"Sept. 30, 2013",-92.13M
"June 30, 2013",-106.28M
"March 31, 2013",-235.75M
"Dec. 31, 2012",345.88M
"Sept. 30, 2012",548.85M
"June 30, 2012",689.91M
"March 31, 2012",745.70M
"Dec. 31, 2011",31.36M
"Sept. 30, 2011",-184.66M
"June 30, 2011",-382.24M
"March 31, 2011",-263.72M
"Dec. 31, 2010",-139.05M
"Sept. 30, 2010",-319.02M
"June 30, 2010",-476.32M
"March 31, 2010",-564.89M
"Dec. 31, 2009",-149.50M
"Sept. 30, 2009",110.91M
"June 30, 2009",645.54M
"March 31, 2009",879.20M
"Dec. 31, 2008",673.09M
"Sept. 30, 2008",542.00M
"June 30, 2008",502.78M
"March 31, 2008",363.84M
"Dec. 31, 2007",352.22M
"Sept. 30, 2007",23.33M
"June 30, 2007",-94.42M
"March 31, 2007",-67.43M
"Dec. 31, 2006",-88.01M
"Sept. 30, 2006",359.48M
"June 30, 2006",408.98M
"March 31, 2006",403.60M
"Dec. 31, 2005",257.13M
"Sept. 30, 2005",266.31M
"June 30, 2005",357.91M
"March 31, 2005",252.21M
"Dec. 31, 2004",156.54M
"Sept. 30, 2004",72.47M
"June 30, 2004",-208.07M
"March 31, 2004",-82.96M
"Dec. 31, 2003",-7.908M
"Sept. 30, 2003",-326.28M
"June 30, 2003",-363.77M
"March 31, 2003",-421.96M
"Dec. 31, 2002",-482.09M
"Sept. 30, 2002",-84.97M
"June 30, 2002",-62.03M
"March 31, 2002",-991.06M
"Dec. 31, 2001",288.67M
"Sept. 30, 2001",166.18M
"June 30, 2001",109.99M
"March 31, 2001",957.41M
"Dec. 31, 2000",108.88M
"Sept. 30, 2000",-332.73M
"June 30, 2000",-244.38M
"March 31, 2000",-286.92M
"Dec. 31, 1999",-646.40M
"Sept. 30, 1999",-193.40M
"June 30, 1999",-223.16M
"March 31, 1999",-290.70M
"Dec. 31, 1998",-375.30M
"Sept. 30, 1998",-456.70M
"June 30, 1998",-383.60M
"March 31, 1998",-306.70M
"Dec. 31, 1997",-98.50M
"Sept. 30, 1997",-68.40M
"June 30, 1997",-210.70M
"March 31, 1997",-75.10M
"Dec. 31, 1996",-322.20M
"Sept. 30, 1996",-319.30M
"June 30, 1996",-401.10M
"March 31, 1996",-471.40M
"Dec. 31, 1995",-545.90M
"Sept. 30, 1995",-582.90M
"June 30, 1995",-588.80M
"March 31, 1995",-594.40M
"Dec. 31, 1994",-596.60M
