date,ncavps
"Dec. 31, 2019",-79.06
"Sept. 30, 2019",-78.41
"June 30, 2019",-76.98
"March 31, 2019",-78.79
"Dec. 31, 2018",-77.20
"Sept. 30, 2018",-75.59
"June 30, 2018",-74.77
"March 31, 2018",-72.85
"Dec. 31, 2017",-71.47
"Sept. 30, 2017",-62.36
"June 30, 2017",-61.35
"March 31, 2017",-60.08
"Dec. 31, 2016",-59.53
"Sept. 30, 2016",-56.84
"June 30, 2016",-56.61
"March 31, 2016",-55.75
"Dec. 31, 2015",-55.52
"Sept. 30, 2015",-54.81
"June 30, 2015",-54.37
"March 31, 2015",-53.70
"Dec. 31, 2014",-53.85
"Sept. 30, 2014",-50.50
"June 30, 2014",-50.50
"March 31, 2014",-50.68
"Dec. 31, 2013",-51.06
"Sept. 30, 2013",-53.70
"June 30, 2013",-53.19
"March 31, 2013",-53.48
"Dec. 31, 2012",-53.62
"Sept. 30, 2012",-52.38
"June 30, 2012",-52.54
"March 31, 2012",-58.49
"Dec. 31, 2011",-57.99
"Sept. 30, 2011",-53.42
"June 30, 2011",-51.96
"March 31, 2011",-50.97
"Dec. 31, 2010",-51.87
"Sept. 30, 2010",-52.97
"June 30, 2010",-53.13
"March 31, 2010",-51.83
"Dec. 31, 2009",-52.45
"Sept. 30, 2009",-50.60
"June 30, 2009",-50.70
"March 31, 2009",-57.46
"Dec. 31, 2008",-59.98
"Sept. 30, 2008",-52.44
"June 30, 2008",-53.11
"March 31, 2008",-51.48
"Dec. 31, 2007",-46.85
"Sept. 30, 2007",-44.73
"June 30, 2007",-44.42
"March 31, 2007",-42.99
"Dec. 31, 2006",-43.17
"Sept. 30, 2006",-43.60
"June 30, 2006",-43.37
"March 31, 2006",-45.36
"Dec. 31, 2005",-49.91
"Sept. 30, 2005",-61.78
"June 30, 2005",-61.15
"March 31, 2005",-60.40
"Dec. 31, 2004",-58.73
"Sept. 30, 2004",-56.89
"June 30, 2004",-56.29
"March 31, 2004",-55.85
"Dec. 31, 2003",-57.08
"Sept. 30, 2003",-52.61
"June 30, 2003",-52.48
"March 31, 2003",-50.28
"Dec. 31, 2002",-53.75
"Sept. 30, 2002",-51.05
"June 30, 2002",-51.40
"March 31, 2002",-51.01
"Dec. 31, 2001",-50.89
"Sept. 30, 2001",-50.97
"June 30, 2001",-48.80
"March 31, 2001",-42.34
"Dec. 31, 2000",-45.87
"Sept. 30, 2000",-45.55
"June 30, 2000",-46.69
"March 31, 2000",-46.41
"Dec. 31, 1999",-45.05
"Sept. 30, 1999",-48.28
"June 30, 1999",-49.81
"March 31, 1999",-49.93
"Dec. 31, 1998",-51.17
"Sept. 30, 1998",-51.75
"June 30, 1998",-48.03
"March 31, 1998",-48.92
"Dec. 31, 1997",-50.23
"Sept. 30, 1997",-51.18
"June 30, 1997",-49.99
"March 31, 1997",-49.88
"Dec. 31, 1996",-53.61
"Sept. 30, 1996",-50.30
"June 30, 1996",-50.99
"March 31, 1996",-50.95
"Dec. 31, 1995",-52.33
"Sept. 30, 1995",-52.55
"June 30, 1995",-50.96
"March 31, 1995",-54.77
"Dec. 31, 1994",-55.11
"Sept. 30, 1994",-78.07
"June 30, 1994",-51.40
"March 31, 1994",-55.97
