date,graham_number
"Dec. 31, 2019",49.20
"Sept. 30, 2019",48.40
"June 30, 2019",47.46
"March 31, 2019",52.73
"Dec. 31, 2018",51.49
"Sept. 30, 2018",51.47
"June 30, 2018",50.45
"March 31, 2018",49.93
"Dec. 31, 2017",49.44
"Sept. 30, 2017",49.01
"June 30, 2017",48.84
"March 31, 2017",48.02
"Dec. 31, 2016",47.45
"Sept. 30, 2016",46.05
"June 30, 2016",45.03
"March 31, 2016",44.96
"Dec. 31, 2015",45.02
"Sept. 30, 2015",45.86
"June 30, 2015",45.62
"March 31, 2015",43.41
"Dec. 31, 2014",42.66
"Sept. 30, 2014",41.41
"June 30, 2014",40.47
"March 31, 2014",41.62
"Dec. 31, 2013",41.24
"Sept. 30, 2013",40.99
"June 30, 2013",40.76
"March 31, 2013",37.29
"Dec. 31, 2012",35.65
"Sept. 30, 2012",36.27
"June 30, 2012",34.68
"March 31, 2012",33.22
"Dec. 31, 2011",33.64
"Sept. 30, 2011",34.18
"June 30, 2011",34.43
"March 31, 2011",34.09
"Dec. 31, 2010",32.70
"Sept. 30, 2010",30.44
"June 30, 2010",28.60
"March 31, 2010",28.97
"Dec. 31, 2009",29.67
"Sept. 30, 2009",29.34
"June 30, 2009",29.99
"March 31, 2009",30.79
"Dec. 31, 2008",27.07
"Sept. 30, 2008",27.15
"June 30, 2008",25.59
"March 31, 2008",25.04
"Dec. 31, 2007",25.93
"Sept. 30, 2007",37.50
"June 30, 2007",39.32
"March 31, 2007",38.43
"Dec. 31, 2006",35.23
"Sept. 30, 2006",16.02
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",19.20
"Sept. 30, 2004",15.27
"June 30, 2004",19.61
"March 31, 2004",19.90
"Dec. 31, 2003",19.03
"Sept. 30, 2003",23.86
"June 30, 2003",24.23
"March 31, 2003",24.42
"Dec. 31, 2002",21.33
"Sept. 30, 2002",20.15
"June 30, 2002",18.80
"March 31, 2002",20.04
"Dec. 31, 2001",25.08
"Sept. 30, 2001",6.222
"June 30, 2001",10.30
"March 31, 2001",3.140
"Dec. 31, 2000",
"Sept. 30, 2000",19.05
"June 30, 2000",16.67
"March 31, 2000",15.79
"Dec. 31, 1999",9.450
"Sept. 30, 1999",
"June 30, 1999",
"March 31, 1999",
"Dec. 31, 1998",
"Sept. 30, 1998",
"June 30, 1998",
"March 31, 1998",
"Dec. 31, 1997",
"Sept. 30, 1997",
"June 30, 1997",
"March 31, 1997",
"Dec. 31, 1996",1.997
"Sept. 30, 1996",21.54
"June 30, 1996",27.69
"March 31, 1996",29.81
"Dec. 31, 1995",31.01
"Sept. 30, 1995",31.07
"June 30, 1995",28.57
"March 31, 1995",30.60
"Dec. 31, 1994",30.92
"Sept. 30, 1994",0.00
"June 30, 1994",29.52
"March 31, 1994",28.14
