date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",24.87
"Sept. 30, 2019",23.77
"June 30, 2019",23.26
"March 31, 2019",22.72
"Dec. 31, 2018",22.28
"Sept. 30, 2018",22.03
"June 30, 2018",21.60
"March 31, 2018",21.32
"Dec. 31, 2017",21.01
"Sept. 30, 2017",23.60
"June 30, 2017",23.25
"March 31, 2017",22.99
"Dec. 31, 2016",22.70
"Sept. 30, 2016",22.44
"June 30, 2016",22.04
"March 31, 2016",21.81
"Dec. 31, 2015",21.54
"Sept. 30, 2015",21.36
"June 30, 2015",21.02
"March 31, 2015",20.76
"Dec. 31, 2014",20.37
"Sept. 30, 2014",20.12
"June 30, 2014",19.72
"March 31, 2014",19.65
"Dec. 31, 2013",19.32
"Sept. 30, 2013",19.05
"June 30, 2013",18.71
"March 31, 2013",18.52
"Dec. 31, 2012",18.21
"Sept. 30, 2012",18.03
"June 30, 2012",17.69
"March 31, 2012",21.30
"Dec. 31, 2011",21.03
"Sept. 30, 2011",20.75
"June 30, 2011",20.51
"March 31, 2011",20.36
"Dec. 31, 2010",19.97
"Sept. 30, 2010",19.49
"June 30, 2010",19.14
"March 31, 2010",18.97
"Dec. 31, 2009",18.74
"Sept. 30, 2009",18.50
"June 30, 2009",18.34
"March 31, 2009",20.33
"Dec. 31, 2008",17.54
"Sept. 30, 2008",17.54
"June 30, 2008",17.05
"March 31, 2008",16.98
"Dec. 31, 2007",16.93
"Sept. 30, 2007",16.69
"June 30, 2007",16.37
"March 31, 2007",16.37
"Dec. 31, 2006",16.28
"Sept. 30, 2006",14.20
"June 30, 2006",13.44
"March 31, 2006",13.62
"Dec. 31, 2005",13.98
"Sept. 30, 2005",13.39
"June 30, 2005",13.97
"March 31, 2005",7.625
"Dec. 31, 2004",15.43
"Sept. 30, 2004",15.42
"June 30, 2004",15.48
"March 31, 2004",15.56
"Dec. 31, 2003",15.04
"Sept. 30, 2003",15.01
"June 30, 2003",14.74
"March 31, 2003",14.89
"Dec. 31, 2002",14.51
"Sept. 30, 2002",14.28
"June 30, 2002",13.96
"March 31, 2002",13.93
"Dec. 31, 2001",13.71
"Sept. 30, 2001",13.61
"June 30, 2001",13.42
"March 31, 2001",13.78
"Dec. 31, 2000",13.17
"Sept. 30, 2000",14.47
"June 30, 2000",14.15
"March 31, 2000",14.10
"Dec. 31, 1999",15.02
"Sept. 30, 1999",15.27
"June 30, 1999",15.12
"March 31, 1999",15.09
"Dec. 31, 1998",14.96
"Sept. 30, 1998",15.89
"June 30, 1998",15.84
"March 31, 1998",15.77
"Dec. 31, 1997",15.64
"Sept. 30, 1997",15.89
"June 30, 1997",16.24
"March 31, 1997",16.66
"Dec. 31, 1996",17.73
"Sept. 30, 1996",18.57
"June 30, 1996",18.82
"March 31, 1996",19.17
"Dec. 31, 1995",19.08
"Sept. 30, 1995",18.98
"June 30, 1995",17.52
"March 31, 1995",18.75
"Dec. 31, 1994",18.48
"Sept. 30, 1994",0.00
"June 30, 1994",16.99
"March 31, 1994",18.23
