date,return_on_invested_capital
"Dec. 31, 2019",3.34%
"Sept. 30, 2019",3.34%
"June 30, 2019",3.28%
"March 31, 2019",4.14%
"Dec. 31, 2018",4.06%
"Sept. 30, 2018",4.21%
"June 30, 2018",4.21%
"March 31, 2018",4.29%
"Dec. 31, 2017",4.39%
"Sept. 30, 2017",4.50%
"June 30, 2017",4.59%
"March 31, 2017",4.52%
"Dec. 31, 2016",4.50%
"Sept. 30, 2016",4.33%
"June 30, 2016",4.22%
"March 31, 2016",4.28%
"Dec. 31, 2015",4.36%
"Sept. 30, 2015",4.62%
"June 30, 2015",4.66%
"March 31, 2015",4.30%
"Dec. 31, 2014",4.25%
"Sept. 30, 2014",4.05%
"June 30, 2014",3.95%
"March 31, 2014",4.20%
"Dec. 31, 2013",4.20%
"Sept. 30, 2013",4.22%
"June 30, 2013",4.24%
"March 31, 2013",3.92%
"Dec. 31, 2012",3.54%
"Sept. 30, 2012",3.58%
"June 30, 2012",3.12%
"March 31, 2012",4.10%
"Dec. 31, 2011",4.37%
"Sept. 30, 2011",4.60%
"June 30, 2011",4.74%
"March 31, 2011",4.69%
"Dec. 31, 2010",4.39%
"Sept. 30, 2010",3.89%
"June 30, 2010",3.51%
"March 31, 2010",4.01%
"Dec. 31, 2009",4.26%
"Sept. 30, 2009",4.27%
"June 30, 2009",4.57%
"March 31, 2009",4.40%
"Dec. 31, 2008",3.54%
"Sept. 30, 2008",3.60%
"June 30, 2008",3.43%
"March 31, 2008",3.42%
"Dec. 31, 2007",3.82%
"Sept. 30, 2007",8.52%
"June 30, 2007",9.88%
"March 31, 2007",9.68%
"Dec. 31, 2006",8.38%
"Sept. 30, 2006",2.06%
"June 30, 2006",-1.64%
"March 31, 2006",-2.55%
"Dec. 31, 2005",-4.52%
"Sept. 30, 2005",-3.70%
"June 30, 2005",-2.14%
"March 31, 2005",-1.19%
"Dec. 31, 2004",2.35%
"Sept. 30, 2004",1.55%
"June 30, 2004",2.52%
"March 31, 2004",2.60%
"Dec. 31, 2003",2.49%
"Sept. 30, 2003",3.85%
"June 30, 2003",4.06%
"March 31, 2003",4.12%
"Dec. 31, 2002",3.25%
"Sept. 30, 2002",3.13%
"June 30, 2002",2.87%
"March 31, 2002",3.05%
"Dec. 31, 2001",4.67%
"Sept. 30, 2001",0.34%
"June 30, 2001",0.86%
"March 31, 2001",0.33%
"Dec. 31, 2000",-0.23%
"Sept. 30, 2000",2.43%
"June 30, 2000",1.95%
"March 31, 2000",1.81%
"Dec. 31, 1999",0.93%
"Sept. 30, 1999",-0.61%
"June 30, 1999",-1.24%
"March 31, 1999",-1.11%
"Dec. 31, 1998",-1.74%
"Sept. 30, 1998",-0.22%
"June 30, 1998",-0.95%
"March 31, 1998",-1.96%
"Dec. 31, 1997",-1.68%
"Sept. 30, 1997",-2.56%
"June 30, 1997",-1.65%
"March 31, 1997",-0.54%
"Dec. 31, 1996",0.51%
"Sept. 30, 1996",2.50%
"June 30, 1996",3.72%
"March 31, 1996",4.14%
"Dec. 31, 1995",4.48%
"Sept. 30, 1995",5.64%
"June 30, 1995",5.19%
"March 31, 1995",5.50%
"Dec. 31, 1994",5.94%
"Sept. 30, 1994",6.43%
