date,shares_outstanding
"Feb. 19, 2020",330.00M
"Feb. 5, 2020",330.00M
"Jan. 31, 2020",329.95M
"Dec. 31, 2019",329.88M
"Oct. 31, 2019",323.76M
"Sept. 30, 2019",323.73M
"July 31, 2019",323.60M
"June 30, 2019",323.57M
"June 4, 2019",323.28M
"May 1, 2019",317.30M
"April 30, 2019",317.46M
"March 31, 2019",317.35M
"March 5, 2019",317.30M
"Feb. 20, 2019",316.89M
"Feb. 6, 2019",316.89M
"Jan. 31, 2019",316.98M
"Dec. 31, 2018",316.89M
"Nov. 1, 2018",316.89M
"Oct. 31, 2018",316.89M
"Sept. 30, 2018",316.89M
"July 31, 2018",316.89M
"June 30, 2018",316.89M
"May 2, 2018",316.89M
"April 30, 2018",316.89M
"March 31, 2018",316.89M
"March 6, 2018",316.89M
"Feb. 7, 2018",316.89M
"Jan. 31, 2018",316.89M
"Dec. 31, 2017",316.89M
"Oct. 31, 2017",316.89M
"Sept. 30, 2017",316.89M
"July 31, 2017",316.89M
"June 30, 2017",316.89M
"April 30, 2017",316.89M
"March 31, 2017",316.89M
"March 6, 2017",316.89M
"Feb. 21, 2017",316.89M
"Feb. 2, 2017",316.89M
"Jan. 31, 2017",316.89M
"Dec. 31, 2016",316.89M
"Oct. 31, 2016",316.89M
"Sept. 30, 2016",317.21M
"July 31, 2016",317.21M
"June 30, 2016",317.21M
"April 30, 2016",317.21M
"March 31, 2016",317.21M
"March 7, 2016",317.21M
"Jan. 31, 2016",317.19M
"Dec. 31, 2015",317.19M
"Oct. 31, 2015",317.19M
"Sept. 30, 2015",317.19M
"July 31, 2015",317.17M
"June 30, 2015",317.16M
"April 30, 2015",317.65M
"March 31, 2015",317.47M
"March 2, 2015",317.40M
"Jan. 31, 2015",317.20M
"Dec. 31, 2014",316.98M
"Oct. 31, 2014",316.80M
"Sept. 30, 2014",316.62M
"July 31, 2014",316.39M
"June 30, 2014",316.22M
"April 30, 2014",315.99M
"March 31, 2014",315.82M
"March 3, 2014",315.63M
"Jan. 31, 2014",315.43M
"Dec. 31, 2013",315.27M
"Oct. 31, 2013",315.09M
"Sept. 30, 2013",314.88M
"July 31, 2013",314.75M
"June 30, 2013",314.72M
"April 30, 2013",314.62M
"March 31, 2013",314.60M
"March 4, 2013",314.54M
"Jan. 31, 2013",314.34M
"Dec. 31, 2012",314.05M
"Oct. 31, 2012",313.94M
"Sept. 30, 2012",313.90M
"Sept. 4, 2012",313.84M
"July 31, 2012",313.80M
"June 30, 2012",313.78M
"April 30, 2012",313.60M
"March 31, 2012",177.53M
"Jan. 31, 2012",177.20M
"Dec. 31, 2011",177.16M
"Oct. 31, 2011",177.03M
"Sept. 30, 2011",176.77M
"July 30, 2011",176.89M
"June 30, 2011",176.83M
"April 30, 2011",176.78M
"March 31, 2011",176.75M
"March 15, 2011",176.70M
"Jan. 31, 2011",176.50M
"Dec. 31, 2010",176.45M
"Oct. 31, 2010",176.32M
"Sept. 30, 2010",176.28M
"July 30, 2010",176.15M
"June 30, 2010",176.10M
"April 30, 2010",176.00M
"March 31, 2010",175.97M
"March 15, 2010",175.96M
"Jan. 31, 2010",175.69M
"Dec. 31, 2009",175.62M
"Oct. 31, 2009",175.46M
"Sept. 30, 2009",175.44M
"July 31, 2009",188.22M
"June 30, 2009",175.24M
"April 30, 2009",175.13M
"Dec. 31, 2008",155.83M
"Oct. 31, 2008",155.70M
"July 31, 2008",155.56M
"June 30, 2008",155.52M
"April 30, 2008",155.44M
"March 31, 2008",155.39M
"Feb. 29, 2008",154.86M
"Dec. 31, 2007",155.08M
"Sept. 30, 2007",155.00M
"June 30, 2007",154.90M
"March 31, 2007",154.55M
"Jan. 31, 2007",154.29M
"Dec. 31, 2006",154.23M
"Oct. 31, 2006",154.02M
"Sept. 30, 2006",153.97M
"July 31, 2006",153.80M
"June 30, 2006",153.72M
"April 30, 2006",153.56M
"March 31, 2006",153.53M
"Feb. 28, 2006",153.43M
"Dec. 31, 2005",153.23M
"Oct. 31, 2005",136.54M
"Sept. 30, 2005",130.04M
"July 31, 2005",129.90M
"June 30, 2005",129.70M
"April 30, 2005",129.40M
"March 31, 2005",129.37M
"Dec. 31, 2004",128.10M
"Oct. 31, 2004",128.38M
"Sept. 30, 2004",128.35M
"July 31, 2004",128.23M
"June 30, 2004",128.10M
"April 30, 2004",127.98M
"March 31, 2004",127.94M
"Dec. 31, 2003",127.70M
"Oct. 31, 2003",127.37M
"Sept. 30, 2003",127.25M
"July 31, 2003",127.10M
"June 30, 2003",126.93M
"April 30, 2003",126.64M
"March 31, 2003",126.59M
"Feb. 28, 2003",127.04M
"Dec. 31, 2002",128.51M
"Oct. 31, 2002",128.51M
"Sept. 30, 2002",129.26M
"July 31, 2002",129.35M
"June 30, 2002",129.77M
"April 30, 2002",129.56M
"March 31, 2002",129.48M
"Feb. 28, 2002",133.75M
"Dec. 31, 2001",130.13M
"Oct. 31, 2001",132.04M
"Sept. 30, 2001",132.97M
"July 31, 2001",133.89M
"June 30, 2001",133.86M
"April 30, 2001",133.90M
"March 31, 2001",143.98M
"Feb. 28, 2001",148.78M
"Dec. 31, 2000",143.82M
"Oct. 31, 2000",143.63M
"Sept. 30, 2000",143.59M
"June 30, 2000",143.46M
"March 31, 2000",143.15M
"Feb. 29, 2000",137.38M
"Feb. 26, 1999",137.12M
"Feb. 27, 1998",136.86M
"Feb. 28, 1997",136.05M
"Dec. 31, 1996",128.44M
"Sept. 30, 1996",128.20M
"June 30, 1996",127.94M
"March 31, 1996",127.68M
"Dec. 31, 1995",127.05M
"Sept. 30, 1995",126.47M
"June 30, 1995",134.21M
"March 31, 1995",125.17M
"Dec. 31, 1994",124.96M
"Sept. 30, 1994",124.83M
"June 30, 1994",134.21M
"March 31, 1994",124.47M
"Dec. 31, 1993",134.21M
"Sept. 30, 1993",134.18M
"June 30, 1993",134.01M
"March 31, 1993",133.96M
"Dec. 31, 1992",133.86M
"Sept. 30, 1992",133.84M
"June 30, 1992",133.28M
"March 31, 1992",122.95M
"Dec. 31, 1991",119.25M
"Sept. 30, 1991",111.13M
"June 30, 1991",110.60M
"March 31, 1991",110.09M
"Dec. 31, 1990",109.62M
"Sept. 30, 1990",109.13M
"June 30, 1990",108.67M
"March 31, 1990",108.67M
"Dec. 31, 1989",108.67M
"Sept. 30, 1989",108.67M
"June 30, 1989",108.67M
"March 31, 1989",108.67M
"Dec. 31, 1988",108.67M
"Sept. 30, 1988",108.67M
"June 30, 1988",108.67M
"March 31, 1988",108.67M
"Dec. 31, 1987",108.67M
"Sept. 30, 1987",108.67M
"June 30, 1987",108.67M
"March 31, 1987",108.67M
"Dec. 31, 1986",108.67M
"Sept. 30, 1986",108.63M
"June 30, 1986",108.23M
"March 31, 1986",107.21M
"Dec. 31, 1985",107.28M
"Sept. 30, 1985",106.51M
"June 30, 1985",105.88M
"March 31, 1985",104.53M
"Dec. 31, 1984",104.53M
"Sept. 30, 1984",102.78M
"June 30, 1984",102.78M
"March 31, 1984",99.88M
