date,one_year_return
"March 19, 2020",9.76%
"March 18, 2020",21.04%
"March 17, 2020",21.58%
"March 16, 2020",7.60%
"March 13, 2020",25.40%
"March 12, 2020",17.17%
"March 11, 2020",24.91%
"March 10, 2020",30.80%
"March 9, 2020",32.84%
"March 6, 2020",39.51%
"March 5, 2020",42.06%
"March 4, 2020",42.87%
"March 3, 2020",32.49%
"March 2, 2020",34.24%
"Feb. 28, 2020",23.85%
"Feb. 27, 2020",28.51%
"Feb. 26, 2020",34.17%
"Feb. 25, 2020",34.61%
"Feb. 24, 2020",35.43%
"Feb. 21, 2020",36.06%
"Feb. 20, 2020",36.12%
"Feb. 19, 2020",33.95%
"Feb. 18, 2020",35.06%
"Feb. 14, 2020",33.61%
"Feb. 13, 2020",32.00%
"Feb. 12, 2020",29.85%
"Feb. 11, 2020",29.98%
"Feb. 10, 2020",30.44%
"Feb. 7, 2020",29.36%
"Feb. 6, 2020",31.66%
"Feb. 5, 2020",30.56%
"Feb. 4, 2020",31.27%
"Feb. 3, 2020",33.66%
"Jan. 31, 2020",33.18%
"Jan. 30, 2020",37.93%
"Jan. 29, 2020",37.18%
"Jan. 28, 2020",36.78%
"Jan. 27, 2020",35.81%
"Jan. 24, 2020",34.11%
"Jan. 23, 2020",33.59%
"Jan. 22, 2020",33.28%
"Jan. 21, 2020",32.70%
"Jan. 17, 2020",31.88%
"Jan. 16, 2020",31.65%
"Jan. 15, 2020",31.49%
"Jan. 14, 2020",30.91%
"Jan. 13, 2020",29.03%
"Jan. 10, 2020",27.80%
"Jan. 9, 2020",28.80%
"Jan. 8, 2020",27.11%
"Jan. 7, 2020",29.33%
"Jan. 6, 2020",29.99%
"Jan. 3, 2020",30.59%
"Jan. 2, 2020",31.09%
"Dec. 31, 2019",30.80%
"Dec. 30, 2019",30.52%
"Dec. 27, 2019",30.16%
"Dec. 26, 2019",31.23%
"Dec. 24, 2019",32.47%
"Dec. 23, 2019",25.97%
"Dec. 20, 2019",25.93%
"Dec. 19, 2019",24.51%
"Dec. 18, 2019",24.65%
"Dec. 17, 2019",23.12%
"Dec. 16, 2019",17.60%
"Dec. 13, 2019",15.82%
"Dec. 12, 2019",16.41%
"Dec. 11, 2019",15.93%
"Dec. 10, 2019",16.28%
"Dec. 9, 2019",16.21%
"Dec. 6, 2019",17.44%
"Dec. 5, 2019",19.16%
"Dec. 4, 2019",20.41%
"Dec. 3, 2019",19.33%
"Dec. 2, 2019",20.02%
"Nov. 29, 2019",23.21%
"Nov. 27, 2019",22.91%
"Nov. 26, 2019",23.83%
"Nov. 25, 2019",22.94%
"Nov. 22, 2019",23.80%
"Nov. 21, 2019",23.79%
"Nov. 20, 2019",21.97%
"Nov. 19, 2019",21.99%
"Nov. 18, 2019",22.54%
"Nov. 15, 2019",22.76%
"Nov. 14, 2019",23.49%
"Nov. 13, 2019",23.02%
"Nov. 12, 2019",20.94%
"Nov. 11, 2019",21.72%
"Nov. 8, 2019",23.04%
"Nov. 7, 2019",23.31%
"Nov. 6, 2019",28.23%
"Nov. 5, 2019",28.86%
"Nov. 4, 2019",30.92%
"Nov. 1, 2019",32.06%
"Oct. 31, 2019",32.37%
"Oct. 30, 2019",30.00%
"Oct. 29, 2019",29.67%
"Oct. 28, 2019",33.58%
"Oct. 25, 2019",33.99%
"Oct. 24, 2019",32.88%
"Oct. 23, 2019",35.96%
"Oct. 22, 2019",35.85%
"Oct. 21, 2019",36.02%
"Oct. 18, 2019",37.66%
"Oct. 17, 2019",36.21%
"Oct. 16, 2019",36.51%
"Oct. 15, 2019",37.02%
"Oct. 14, 2019",37.78%
"Oct. 11, 2019",38.73%
"Oct. 10, 2019",35.69%
"Oct. 9, 2019",35.87%
"Oct. 8, 2019",35.05%
"Oct. 7, 2019",36.81%
"Oct. 4, 2019",39.11%
"Oct. 3, 2019",38.58%
"Oct. 2, 2019",35.81%
"Oct. 1, 2019",38.75%
"Sept. 30, 2019",39.11%
"Sept. 27, 2019",40.92%
"Sept. 26, 2019",41.63%
"Sept. 25, 2019",39.49%
"Sept. 24, 2019",37.70%
"Sept. 23, 2019",34.31%
"Sept. 20, 2019",34.79%
"Sept. 19, 2019",34.18%
"Sept. 18, 2019",31.00%
"Sept. 17, 2019",30.39%
"Sept. 16, 2019",29.77%
"Sept. 13, 2019",29.51%
"Sept. 12, 2019",31.09%
"Sept. 11, 2019",29.87%
"Sept. 10, 2019",29.34%
"Sept. 9, 2019",30.23%
"Sept. 6, 2019",29.66%
"Sept. 5, 2019",29.43%
"Sept. 4, 2019",32.15%
"Sept. 3, 2019",30.50%
"Aug. 30, 2019",27.92%
"Aug. 29, 2019",29.32%
"Aug. 28, 2019",29.84%
"Aug. 27, 2019",29.50%
"Aug. 26, 2019",27.37%
"Aug. 23, 2019",26.81%
"Aug. 22, 2019",27.92%
"Aug. 21, 2019",26.67%
"Aug. 20, 2019",25.32%
"Aug. 19, 2019",24.87%
"Aug. 16, 2019",24.85%
"Aug. 15, 2019",26.42%
"Aug. 14, 2019",24.85%
"Aug. 13, 2019",26.17%
"Aug. 12, 2019",26.77%
"Aug. 9, 2019",28.28%
"Aug. 8, 2019",28.65%
"Aug. 7, 2019",27.71%
"Aug. 6, 2019",26.76%
"Aug. 5, 2019",25.64%
"Aug. 2, 2019",27.83%
"Aug. 1, 2019",28.12%
"July 31, 2019",24.93%
"July 30, 2019",28.06%
"July 29, 2019",27.85%
"July 26, 2019",26.31%
"July 25, 2019",28.41%
"July 24, 2019",29.92%
"July 23, 2019",31.29%
"July 22, 2019",30.91%
"July 19, 2019",29.77%
"July 18, 2019",33.97%
"July 17, 2019",31.41%
"July 16, 2019",30.57%
"July 15, 2019",31.47%
"July 12, 2019",31.11%
"July 11, 2019",31.75%
"July 10, 2019",32.27%
"July 9, 2019",31.65%
"July 8, 2019",27.74%
"July 5, 2019",28.92%
"July 3, 2019",29.57%
"July 2, 2019",29.89%
"July 1, 2019",29.09%
"June 28, 2019",29.99%
"June 27, 2019",30.04%
"June 26, 2019",30.96%
"June 25, 2019",34.28%
"June 24, 2019",38.12%
"June 21, 2019",38.96%
"June 20, 2019",38.92%
"June 19, 2019",38.40%
"June 18, 2019",38.48%
"June 17, 2019",40.03%
"June 14, 2019",43.38%
"June 13, 2019",43.50%
"June 12, 2019",42.53%
"June 11, 2019",42.77%
"June 10, 2019",41.93%
"June 7, 2019",42.35%
"June 6, 2019",43.27%
"June 5, 2019",38.79%
"June 4, 2019",34.04%
"June 3, 2019",34.10%
"May 31, 2019",29.36%
"May 30, 2019",28.05%
"May 29, 2019",28.30%
"May 28, 2019",31.76%
"May 24, 2019",32.23%
"May 23, 2019",32.37%
"May 22, 2019",27.62%
"May 21, 2019",28.31%
"May 20, 2019",28.45%
"May 17, 2019",28.77%
"May 16, 2019",27.32%
"May 15, 2019",26.50%
"May 14, 2019",26.18%
"May 13, 2019",25.76%
"May 10, 2019",23.83%
"May 9, 2019",23.60%
"May 8, 2019",22.82%
"May 7, 2019",21.76%
"May 6, 2019",21.73%
"May 3, 2019",22.44%
"May 2, 2019",19.82%
"May 1, 2019",19.05%
"April 30, 2019",18.94%
"April 29, 2019",16.43%
"April 26, 2019",18.33%
"April 25, 2019",19.32%
"April 24, 2019",19.21%
"April 23, 2019",18.90%
"April 22, 2019",18.19%
"April 18, 2019",16.79%
"April 17, 2019",16.55%
"April 16, 2019",17.54%
"April 15, 2019",19.91%
"April 12, 2019",20.53%
"April 11, 2019",18.84%
"April 10, 2019",18.55%
"April 9, 2019",18.54%
"April 8, 2019",18.39%
"April 5, 2019",18.45%
"April 4, 2019",18.19%
"April 3, 2019",18.90%
"April 2, 2019",20.56%
"April 1, 2019",19.96%
"March 29, 2019",20.42%
"March 28, 2019",20.30%
"March 27, 2019",21.57%
"March 26, 2019",25.07%
"March 25, 2019",26.38%
"March 22, 2019",24.66%
"March 21, 2019",23.32%
"March 20, 2019",21.76%
"March 19, 2019",20.95%
"March 18, 2019",22.31%
"March 15, 2019",24.57%
"March 14, 2019",24.01%
"March 13, 2019",24.56%
"March 12, 2019",23.57%
"March 11, 2019",22.78%
"March 8, 2019",22.53%
"March 7, 2019",23.27%
"March 6, 2019",21.86%
"March 5, 2019",18.83%
"March 4, 2019",20.79%
"March 1, 2019",23.32%
"Feb. 28, 2019",22.47%
"Feb. 27, 2019",21.38%
"Feb. 26, 2019",18.43%
"Feb. 25, 2019",16.65%
"Feb. 22, 2019",22.30%
"Feb. 21, 2019",22.96%
"Feb. 20, 2019",20.80%
"Feb. 19, 2019",19.08%
