date,long_term_debt
"Dec. 31, 2019",14.31B
"Sept. 30, 2019",13.98B
"June 30, 2019",13.60B
"March 31, 2019",12.85B
"Dec. 31, 2018",12.83B
"Sept. 30, 2018",12.73B
"June 30, 2018",12.61B
"March 31, 2018",12.02B
"Dec. 31, 2017",11.78B
"Sept. 30, 2017",10.47B
"June 30, 2017",8.899B
"March 31, 2017",9.268B
"Dec. 31, 2016",8.829B
"Sept. 30, 2016",9.235B
"June 30, 2016",9.436B
"March 31, 2016",9.145B
"Dec. 31, 2015",8.806B
"Sept. 30, 2015",8.757B
"June 30, 2015",8.690B
"March 31, 2015",8.602B
"Dec. 31, 2014",8.568B
"Sept. 30, 2014",8.167B
"June 30, 2014",8.147B
"March 31, 2014",8.318B
"Dec. 31, 2013",7.777B
"Sept. 30, 2013",7.444B
"June 30, 2013",7.651B
"March 31, 2013",7.031B
"Dec. 31, 2012",7.282B
"Sept. 30, 2012",6.834B
"June 30, 2012",7.097B
"March 31, 2012",5.071B
"Dec. 31, 2011",4.727B
"Sept. 30, 2011",4.745B
"June 30, 2011",4.503B
"March 31, 2011",4.631B
"Dec. 31, 2010",4.814B
"Sept. 30, 2010",4.883B
"June 30, 2010",4.950B
"March 31, 2010",4.965B
"Dec. 31, 2009",4.935B
"Sept. 30, 2009",4.848B
"June 30, 2009",4.343B
"March 31, 2009",624.06M
"Dec. 31, 2008",4.103B
"Sept. 30, 2008",4.031B
"June 30, 2008",4.090B
"March 31, 2008",3.494B
"Dec. 31, 2007",4.401B
"Sept. 30, 2007",3.474B
"June 30, 2007",3.153B
"March 31, 2007",3.264B
"Dec. 31, 2006",2.960B
"Sept. 30, 2006",2.957B
"June 30, 2006",2.945B
"March 31, 2006",2.700B
"Dec. 31, 2005",3.027B
"Sept. 30, 2005",2.998B
"June 30, 2005",2.994B
"March 31, 2005",2.783B
"Dec. 31, 2004",2.790B
"Sept. 30, 2004",2.840B
"June 30, 2004",2.511B
"March 31, 2004",2.565B
"Dec. 31, 2003",2.481B
"Sept. 30, 2003",2.505B
"June 30, 2003",2.465B
"March 31, 2003",2.324B
"Dec. 31, 2002",2.287B
"Sept. 30, 2002",2.272B
"June 30, 2002",2.274B
"March 31, 2002",2.023B
"Dec. 31, 2001",2.293B
"Sept. 30, 2001",1.931B
"June 30, 2001",1.930B
"March 31, 2001",2.148B
"Dec. 31, 2000",2.030B
"Sept. 30, 2000",2.043B
"June 30, 2000",2.211B
"March 31, 2000",2.444B
"Dec. 31, 1999",2.372B
"Sept. 30, 1999",2.947B
"June 30, 1999",3.151B
"March 31, 1999",3.218B
"Dec. 31, 1998",3.282B
"Sept. 30, 1998",3.292B
"June 30, 1998",3.365B
"March 31, 1998",3.462B
"Dec. 31, 1997",3.646B
"Sept. 30, 1997",3.654B
"June 30, 1997",3.592B
"March 31, 1997",3.574B
"Dec. 31, 1996",3.614B
"Sept. 30, 1996",3.688B
"June 30, 1996",3.686B
"March 31, 1996",3.701B
"Dec. 31, 1995",3.705B
"Sept. 30, 1995",3.696B
"June 30, 1995",3.693B
"March 31, 1995",3.914B
"Dec. 31, 1994",3.942B
"Sept. 30, 1994",
"June 30, 1994",3.911B
"March 31, 1994",3.970B
