date,operating_margin_ttm
"Dec. 31, 2019",21.46%
"Sept. 30, 2019",21.09%
"June 30, 2019",20.35%
"March 31, 2019",20.43%
"Dec. 31, 2018",20.12%
"Sept. 30, 2018",20.99%
"June 30, 2018",22.09%
"March 31, 2018",23.06%
"Dec. 31, 2017",24.36%
"Sept. 30, 2017",24.42%
"June 30, 2017",24.45%
"March 31, 2017",24.11%
"Dec. 31, 2016",24.10%
"Sept. 30, 2016",23.93%
"June 30, 2016",23.72%
"March 31, 2016",23.41%
"Dec. 31, 2015",22.18%
"Sept. 30, 2015",22.21%
"June 30, 2015",21.97%
"March 31, 2015",20.88%
"Dec. 31, 2014",21.09%
"Sept. 30, 2014",20.47%
"June 30, 2014",19.92%
"March 31, 2014",20.88%
"Dec. 31, 2013",21.53%
"Sept. 30, 2013",21.96%
"June 30, 2013",22.84%
"March 31, 2013",20.66%
"Dec. 31, 2012",20.09%
"Sept. 30, 2012",20.22%
"June 30, 2012",18.16%
"March 31, 2012",20.08%
"Dec. 31, 2011",19.35%
"Sept. 30, 2011",22.54%
"June 30, 2011",21.84%
"March 31, 2011",21.56%
"Dec. 31, 2010",21.08%
"Sept. 30, 2010",15.91%
"June 30, 2010",14.98%
"March 31, 2010",14.67%
"Dec. 31, 2009",13.81%
"Sept. 30, 2009",13.11%
"June 30, 2009",12.42%
"March 31, 2009",11.51%
"Dec. 31, 2008",10.19%
"Sept. 30, 2008",10.00%
"June 30, 2008",9.64%
"March 31, 2008",9.16%
"Dec. 31, 2007",9.27%
"Sept. 30, 2007",7.89%
"June 30, 2007",6.94%
"March 31, 2007",5.97%
"Dec. 31, 2006",3.43%
"Sept. 30, 2006",1.84%
"June 30, 2006",-0.39%
"March 31, 2006",-1.63%
"Dec. 31, 2005",-3.43%
"Sept. 30, 2005",-3.40%
"June 30, 2005",-1.77%
"March 31, 2005",-0.17%
"Dec. 31, 2004",4.34%
"Sept. 30, 2004",5.15%
"June 30, 2004",6.58%
"March 31, 2004",6.90%
"Dec. 31, 2003",7.04%
"Sept. 30, 2003",8.77%
"June 30, 2003",9.03%
"March 31, 2003",8.36%
"Dec. 31, 2002",7.94%
"Sept. 30, 2002",-3.25%
"June 30, 2002",-3.24%
"March 31, 2002",-2.46%
"Dec. 31, 2001",1.03%
"Sept. 30, 2001",11.64%
"June 30, 2001",12.54%
"March 31, 2001",12.95%
"Dec. 31, 2000",11.82%
"Sept. 30, 2000",12.30%
"June 30, 2000",12.91%
"March 31, 2000",12.74%
"Dec. 31, 1999",11.75%
"Sept. 30, 1999",-49.83%
"June 30, 1999",-33.03%
"March 31, 1999",-34.32%
"Dec. 31, 1998",-12.58%
"Sept. 30, 1998",-16.76%
"June 30, 1998",-16.68%
"March 31, 1998",-19.36%
"Dec. 31, 1997",-18.84%
"Sept. 30, 1997",50.09%
"June 30, 1997",26.61%
"March 31, 1997",30.01%
"Dec. 31, 1996",8.96%
"Sept. 30, 1996",15.23%
"June 30, 1996",19.19%
"March 31, 1996",21.12%
"Dec. 31, 1995",22.76%
"Sept. 30, 1995",23.04%
"June 30, 1995",22.69%
"March 31, 1995",22.87%
"Dec. 31, 1994",23.11%
"Sept. 30, 1994",42.45%
"June 30, 1994",61.90%
"March 31, 1994",80.32%
