date,ni_per_employee_annual
"Dec. 31, 2019",112007.5
"Dec. 31, 2018",128466.6
"Dec. 31, 2017",124699.7
"Dec. 31, 2016",120000.3
"Dec. 31, 2015",108515.2
"Dec. 31, 2014",96730.13
"Dec. 31, 2013",89629.63
"Dec. 31, 2012",70572.96
"Dec. 31, 2011",64465.99
"Dec. 31, 2010",63286.95
"Dec. 31, 2009",53808.27
"Dec. 31, 2008",44184.28
"Dec. 31, 2007",41997.44
"Dec. 31, 2006",74699.87
"Dec. 31, 2005",-35525.00
"Dec. 31, 2004",17656.40
"Dec. 31, 2003",18316.56
"Dec. 31, 2002",22394.43
"Dec. 31, 2001",29887.84
"Dec. 31, 2000",-1571.33
"Dec. 31, 1999",6272.01
"Dec. 31, 1998",-13298.70
"Dec. 31, 1997",-11668.33
"Dec. 31, 1996",3933.27
"Dec. 31, 1995",34329.00
"Dec. 31, 1994",34020.83
"Dec. 31, 1993",25185.26
"Dec. 31, 1992",33603.10
"Dec. 31, 1991",29403.73
