date,shares_outstanding
"March 4, 2020",398.58M
"Feb. 19, 2020",398.58M
"Feb. 1, 2020",398.17M
"Dec. 31, 2019",397.92M
"Oct. 23, 2019",407.92M
"Sept. 30, 2019",407.92M
"July 24, 2019",418.39M
"June 30, 2019",418.39M
"April 24, 2019",423.29M
"March 31, 2019",423.37M
"March 5, 2019",423.37M
"Feb. 20, 2019",423.37M
"Feb. 1, 2019",422.93M
"Dec. 31, 2018",422.68M
"Oct. 26, 2018",431.18M
"Oct. 25, 2018",431.18M
"Sept. 30, 2018",434.01M
"July 25, 2018",441.18M
"June 30, 2018",441.18M
"April 25, 2018",451.49M
"March 31, 2018",452.82M
"March 8, 2018",461.14M
"Feb. 16, 2018",460.79M
"Feb. 1, 2018",460.79M
"Dec. 31, 2017",460.61M
"Oct. 23, 2017",462.51M
"Sept. 30, 2017",462.51M
"July 24, 2017",462.49M
"June 30, 2017",462.49M
"April 24, 2017",465.52M
"March 31, 2017",465.52M
"March 13, 2017",465.52M
"Feb. 17, 2017",475.14M
"Feb. 1, 2017",465.24M
"Dec. 31, 2016",465.15M
"Oct. 24, 2016",465.15M
"Sept. 30, 2016",465.15M
"July 25, 2016",465.15M
"June 30, 2016",465.15M
"April 25, 2016",465.00M
"March 31, 2016",465.00M
"March 7, 2016",474.89M
"Feb. 12, 2016",414.06M
"Feb. 1, 2016",414.06M
"Dec. 31, 2015",413.88M
"Oct. 19, 2015",413.87M
"Sept. 30, 2015",413.87M
"July 20, 2015",413.81M
"June 30, 2015",413.81M
"April 20, 2015",413.60M
"March 31, 2015",413.60M
"March 2, 2015",413.60M
"Feb. 13, 2015",413.17M
"Dec. 31, 2014",413.02M
"Oct. 20, 2014",413.02M
"Sept. 30, 2014",413.27M
"July 21, 2014",417.29M
"June 30, 2014",417.29M
"April 21, 2014",417.29M
"March 31, 2014",417.29M
"March 6, 2014",417.29M
"Feb. 14, 2014",422.24M
"Dec. 31, 2013",416.40M
"Oct. 21, 2013",421.96M
"Sept. 30, 2013",421.15M
"July 22, 2013",421.53M
"June 30, 2013",420.71M
"March 31, 2013",421.50M
"March 8, 2013",420.69M
"Feb. 15, 2013",420.86M
"Dec. 31, 2012",420.05M
"Oct. 22, 2012",420.48M
"Sept. 30, 2012",419.68M
"July 23, 2012",419.98M
"June 30, 2012",419.14M
"April 23, 2012",419.66M
"March 31, 2012",418.85M
"March 13, 2012",418.85M
"Feb. 17, 2012",419.65M
"Dec. 31, 2011",417.23M
"Oct. 24, 2011",417.98M
"Sept. 30, 2011",417.16M
"July 25, 2011",417.95M
"June 30, 2011",417.06M
"April 26, 2011",417.87M
"March 31, 2011",417.02M
"March 15, 2011",416.95M
"Feb. 18, 2011",417.11M
"Dec. 31, 2010",416.03M
"Oct. 26, 2010",415.89M
"Sept. 30, 2010",415.86M
"July 26, 2010",416.54M
"June 30, 2010",416.54M
"April 27, 2010",415.64M
"March 31, 2010",415.64M
"March 9, 2010",415.64M
"Feb. 22, 2010",415.29M
"Dec. 31, 2009",414.62M
"Oct. 20, 2009",414.62M
"Sept. 30, 2009",414.62M
"July 24, 2009",414.58M
"June 30, 2009",414.58M
"April 27, 2009",414.55M
"Feb. 19, 2009",413.79M
"Oct. 27, 2008",413.41M
"Sept. 30, 2008",414.22M
"July 24, 2008",413.41M
"June 30, 2008",413.37M
"April 30, 2008",391.80M
"March 31, 2008",391.32M
"Feb. 25, 2008",391.07M
"Sept. 30, 2007",388.39M
"June 30, 2007",388.06M
"March 31, 2007",387.60M
"Jan. 31, 2007",386.64M
"Dec. 31, 2006",384.85M
"Oct. 24, 2006",383.31M
"Sept. 30, 2006",383.27M
"July 21, 2006",386.09M
"June 30, 2006",386.09M
"April 30, 2006",390.76M
"March 31, 2006",390.36M
"Jan. 31, 2006",388.88M
"Dec. 31, 2005",388.55M
"Oct. 24, 2005",391.76M
"Sept. 30, 2005",391.75M
"July 27, 2005",391.56M
"June 30, 2005",391.48M
"April 27, 2005",391.38M
"Jan. 31, 2005",388.98M
"Dec. 31, 2004",397.45M
"Oct. 27, 2004",397.04M
"Sept. 30, 2004",390.40M
"Aug. 5, 2004",396.57M
"June 30, 2004",390.75M
"April 26, 2004",394.71M
"March 31, 2004",393.53M
"Jan. 30, 2004",388.68M
"Dec. 31, 2003",390.46M
"Oct. 28, 2003",389.92M
"Sept. 30, 2003",386.25M
"July 28, 2003",386.07M
"June 30, 2003",386.05M
"April 28, 2003",386.26M
"March 31, 2003",381.97M
"Jan. 31, 2003",385.61M
"Dec. 31, 2002",385.60M
"Oct. 22, 2002",381.55M
"Sept. 30, 2002",385.16M
"July 23, 2002",381.51M
"June 30, 2002",385.14M
"April 24, 2002",383.59M
"March 31, 2002",379.31M
"Jan. 31, 2002",382.86M
"Dec. 31, 2001",382.86M
"Oct. 25, 2001",379.23M
"Sept. 30, 2001",382.86M
"July 24, 2001",355.22M
"June 30, 2001",358.71M
"April 24, 2001",353.09M
"March 31, 2001",356.71M
"Jan. 31, 2001",351.36M
"Dec. 31, 2000",350.30M
"Oct. 20, 2000",348.17M
"Sept. 30, 2000",351.76M
"July 31, 2000",347.35M
