date,kz_index
"Dec. 31, 2018",0.7682
"Dec. 31, 2017",1.728
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",2.597
"Dec. 31, 2013",2.704
"Dec. 31, 2012",2.117
"Dec. 31, 2011",1.758
"Dec. 31, 2010",
"Dec. 31, 2009",
"Dec. 31, 2008",0.9743
"Dec. 31, 2007",
"Dec. 31, 2006",0.749
"Dec. 31, 2005",1.472
"Dec. 31, 2004",1.466
"Dec. 31, 2003",1.580
"Dec. 31, 2002",
"Dec. 31, 2001",1.610
"Dec. 31, 2000",1.998
"Dec. 31, 1999",1.820
"Dec. 31, 1998",1.762
"Dec. 31, 1997",1.325
"Dec. 31, 1996",
"Dec. 31, 1995",
"Dec. 31, 1994",1.049
"Dec. 31, 1993",1.627
"Dec. 31, 1992",1.747
"Dec. 31, 1991",-12.01
