date,cash_on_hand
"Dec. 31, 2019",200.23M
"Sept. 30, 2019",82.32M
"June 30, 2019",241.39M
"March 31, 2019",314.89M
"Dec. 31, 2018",2.287M
"Sept. 30, 2018",316.08M
"June 30, 2018",740.99M
"March 31, 2018",964.93M
"Dec. 31, 2017",480.05M
"Sept. 30, 2017",510.26M
"June 30, 2017",516.53M
"March 31, 2017",537.48M
"Dec. 31, 2016",498.54M
"Sept. 30, 2016",501.19M
"June 30, 2016",517.49M
"March 31, 2016",579.32M
"Dec. 31, 2015",0.514M
"Sept. 30, 2015",8.773M
"June 30, 2015",15.23M
"March 31, 2015",13.95M
"Dec. 31, 2014",20.95M
"Sept. 30, 2014",309.99M
"June 30, 2014",45.61M
"March 31, 2014",25.43M
"Dec. 31, 2013",23.40M
"Sept. 30, 2013",27.93M
"June 30, 2013",47.28M
"March 31, 2013",20.46M
"Dec. 31, 2012",30.74M
"Sept. 30, 2012",37.50M
"June 30, 2012",48.64M
"March 31, 2012",32.33M
"Dec. 31, 2011",29.91M
"Sept. 30, 2011",62.93M
"June 30, 2011",39.31M
"March 31, 2011",24.90M
"Dec. 31, 2010",55.95M
"June 30, 2010",47.68M
"March 31, 2010",28.50M
"Dec. 31, 2009",40.16M
"Sept. 30, 2009",35.67M
"June 30, 2009",29.85M
"March 31, 2009",25.25M
"Dec. 31, 2008",28.10M
"Sept. 30, 2008",47.37M
"June 30, 2008",136.33M
"March 31, 2008",41.99M
"Dec. 31, 2007",18.50M
"Sept. 30, 2007",14.45M
"June 30, 2007",23.59M
"March 31, 2007",57.44M
"Dec. 31, 2006",41.85M
"Sept. 30, 2006",322.12M
"June 30, 2006",16.06M
"March 31, 2006",8.514M
"Dec. 31, 2005",10.63M
"Sept. 30, 2005",3.187M
"June 30, 2005",51.95M
"March 31, 2005",59.58M
"Dec. 31, 2004",10.03M
"Sept. 30, 2004",24.89M
"June 30, 2004",21.43M
"March 31, 2004",51.80M
"Dec. 31, 2003",0.724M
"Sept. 30, 2003",4.346M
"June 30, 2003",3.262M
"March 31, 2003",1.223M
"Dec. 31, 2002",1.602M
"Sept. 30, 2002",4.668M
"June 30, 2002",7.71M
"March 31, 2002",4.976M
"Dec. 31, 2001",5.706M
"Sept. 30, 2001",13.93M
"June 30, 2001",9.361M
"March 31, 2001",5.111M
"Dec. 31, 2000",7.574M
"Sept. 30, 2000",2.022M
"June 30, 2000",1.429M
"March 31, 2000",0.836M
"Dec. 31, 1999",1.70M
"Sept. 30, 1999",1.50M
"June 30, 1999",1.90M
"March 31, 1999",1.70M
"Dec. 31, 1998",2.20M
"Sept. 30, 1998",2.10M
"June 30, 1998",3.90M
"March 31, 1998",3.50M
"Dec. 31, 1997",1.80M
"Sept. 30, 1997",1.80M
"June 30, 1997",0.40M
"March 31, 1997",5.80M
"Dec. 31, 1996",1.40M
"Sept. 30, 1996",1.40M
"June 30, 1996",3.30M
"March 31, 1996",3.80M
"Dec. 31, 1995",3.00M
"Sept. 30, 1995",2.00M
"June 30, 1995",2.30M
"March 31, 1995",3.30M
"Dec. 31, 1994",3.80M
"Sept. 30, 1994",4.30M
"June 30, 1994",3.10M
"March 31, 1994",3.30M
"Dec. 31, 1993",2.90M
"Sept. 30, 1993",3.10M
"June 30, 1993",1.10M
"March 31, 1993",0.70M
"Dec. 31, 1992",1.10M
"Sept. 30, 1992",0.50M
"June 30, 1992",1.20M
"March 31, 1992",0.80M
"Dec. 31, 1991",2.20M
"Sept. 30, 1991",1.70M
"June 30, 1991",0.20M
"March 31, 1991",2.20M
"Dec. 31, 1990",1.50M
"Sept. 30, 1990",2.00M
"June 30, 1990",14.20M
"March 31, 1990",11.60M
"Sept. 30, 1989",0.60M
