date,fulmer_h_score
"Dec. 31, 2019",5.852
"Sept. 30, 2019",5.854
"June 30, 2019",5.931
"March 31, 2019",5.493
"Dec. 31, 2018",4.589
"Sept. 30, 2018",3.662
"June 30, 2018",3.199
"March 31, 2018",3.451
"Dec. 31, 2017",2.876
"Sept. 30, 2017",2.678
"June 30, 2017",2.526
"March 31, 2017",1.471
"Dec. 31, 2016",
"Sept. 30, 2016",
"June 30, 2016",
"March 31, 2016",
"Dec. 31, 2015",-0.5961
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",2.051
"Sept. 30, 2014",4.217
"June 30, 2014",4.296
"March 31, 2014",4.073
"Dec. 31, 2013",3.893
"Sept. 30, 2013",3.531
"June 30, 2013",3.304
"March 31, 2013",2.812
"Dec. 31, 2012",2.622
"Sept. 30, 2012",2.475
"June 30, 2012",2.548
"March 31, 2012",2.589
"Dec. 31, 2011",2.542
"Sept. 30, 2011",2.360
"June 30, 2011",2.235
"March 31, 2011",2.008
"Dec. 31, 2010",2.206
"Sept. 30, 2010",
"June 30, 2010",2.379
"March 31, 2010",2.552
"Dec. 31, 2009",2.795
"Sept. 30, 2009",3.174
"June 30, 2009",3.695
"March 31, 2009",4.035
"Dec. 31, 2008",4.982
"Sept. 30, 2008",4.935
"June 30, 2008",6.348
