date,cash_operations_ttm
"Dec. 31, 2019",1.446B
"Sept. 30, 2019",1.499B
"June 30, 2019",1.470B
"March 31, 2019",1.417B
"Dec. 31, 2018",1.105B
"Sept. 30, 2018",967.96M
"June 30, 2018",914.87M
"March 31, 2018",901.54M
"Dec. 31, 2017",898.16M
"Sept. 30, 2017",858.78M
"June 30, 2017",775.10M
"March 31, 2017",599.71M
"Dec. 31, 2016",397.44M
"Sept. 30, 2016",422.35M
"June 30, 2016",463.30M
"March 31, 2016",549.33M
"Dec. 31, 2015",749.60M
"Sept. 30, 2015",878.14M
"June 30, 2015",1.090B
"March 31, 2015",1.248B
"Dec. 31, 2014",1.236B
"Sept. 30, 2014",1.201B
"June 30, 2014",1.120B
"March 31, 2014",1.067B
"Dec. 31, 2013",1.025B
"Sept. 30, 2013",963.66M
"June 30, 2013",850.92M
"March 31, 2013",733.00M
"Dec. 31, 2012",652.09M
"Sept. 30, 2012",581.58M
"June 30, 2012",572.28M
"March 31, 2012",542.41M
"Dec. 31, 2011",501.84M
"Sept. 30, 2011",492.78M
"June 30, 2011",462.43M
"March 31, 2011",460.03M
"Dec. 31, 2010",484.91M
"Sept. 30, 2010",564.41M
"June 30, 2010",556.84M
"March 31, 2010",577.62M
"Dec. 31, 2009",614.05M
"Sept. 30, 2009",626.85M
"June 30, 2009",658.42M
"March 31, 2009",654.28M
"Dec. 31, 2008",634.45M
"Sept. 30, 2008",558.31M
"June 30, 2008",496.74M
"March 31, 2008",458.98M
"Dec. 31, 2007",462.14M
"Sept. 30, 2007",329.61M
"June 30, 2007",329.55M
"March 31, 2007",337.95M
"Dec. 31, 2006",357.10M
"Sept. 30, 2006",473.50M
"June 30, 2006",445.84M
"March 31, 2006",411.55M
"Dec. 31, 2005",364.56M
"Sept. 30, 2005",304.20M
"June 30, 2005",317.80M
"March 31, 2005",283.47M
"Dec. 31, 2004",273.02M
"Sept. 30, 2004",251.86M
"June 30, 2004",245.14M
"March 31, 2004",279.66M
"Dec. 31, 2003",241.64M
"Sept. 30, 2003",261.61M
"June 30, 2003",220.96M
"March 31, 2003",194.18M
"Dec. 31, 2002",164.18M
"Sept. 30, 2002",143.92M
"June 30, 2002",166.37M
"March 31, 2002",170.39M
"Dec. 31, 2001",250.44M
"Sept. 30, 2001",259.97M
"June 30, 2001",234.90M
"March 31, 2001",193.17M
"Dec. 31, 2000",119.01M
"Sept. 30, 2000",106.63M
"June 30, 2000",111.81M
"March 31, 2000",117.84M
"Dec. 31, 1999",92.50M
"Sept. 30, 1999",83.00M
"June 30, 1999",72.60M
"March 31, 1999",68.30M
"Dec. 31, 1998",87.20M
"Sept. 30, 1998",65.50M
"June 30, 1998",75.30M
"March 31, 1998",76.60M
"Dec. 31, 1997",95.00M
"Sept. 30, 1997",116.20M
"June 30, 1997",105.50M
"March 31, 1997",106.80M
"Dec. 31, 1996",75.50M
"Sept. 30, 1996",63.40M
"June 30, 1996",53.30M
"March 31, 1996",45.60M
"Dec. 31, 1995",41.50M
"Sept. 30, 1995",42.40M
"June 30, 1995",42.10M
"March 31, 1995",52.10M
"Dec. 31, 1994",67.30M
"Sept. 30, 1994",67.40M
"June 30, 1994",71.10M
"March 31, 1994",66.10M
"Dec. 31, 1993",55.50M
"Sept. 30, 1993",44.80M
"June 30, 1993",35.80M
"March 31, 1993",25.30M
"Dec. 31, 1992",27.90M
"Sept. 30, 1992",28.20M
"June 30, 1992",35.00M
"March 31, 1992",30.90M
"Dec. 31, 1991",39.60M
"Sept. 30, 1991",43.80M
