date,shareholders_equity
"Dec. 31, 2019",2.151B
"Sept. 30, 2019",2.214B
"June 30, 2019",2.345B
"March 31, 2019",2.321B
"Dec. 31, 2018",2.088B
"Sept. 30, 2018",2.094B
"June 30, 2018",2.154B
"March 31, 2018",2.407B
"Dec. 31, 2017",2.524B
"Sept. 30, 2017",2.645B
"June 30, 2017",2.642B
"March 31, 2017",2.707B
"Dec. 31, 2016",2.568B
"Sept. 30, 2016",2.863B
"June 30, 2016",2.878B
"March 31, 2016",2.944B
"Dec. 31, 2015",2.009B
"Sept. 30, 2015",2.122B
"June 30, 2015",2.146B
"March 31, 2015",2.176B
"Dec. 31, 2014",2.143B
"Sept. 30, 2014",2.366B
"June 30, 2014",2.402B
"March 31, 2014",2.269B
"Dec. 31, 2013",2.205B
"Sept. 30, 2013",2.329B
"June 30, 2013",2.286B
"March 31, 2013",2.123B
"Dec. 31, 2012",2.131B
"Sept. 30, 2012",2.100B
"June 30, 2012",2.131B
"March 31, 2012",2.125B
"Dec. 31, 2011",2.105B
"Sept. 30, 2011",2.043B
"June 30, 2011",1.966B
"March 31, 2011",1.886B
"Dec. 31, 2010",1.873B
"June 30, 2010",1.846B
"March 31, 2010",1.854B
"Dec. 31, 2009",1.813B
"Sept. 30, 2009",1.824B
"June 30, 2009",1.836B
"March 31, 2009",1.869B
"Dec. 31, 2008",1.791B
"Sept. 30, 2008",1.671B
"June 30, 2008",1.299B
"March 31, 2008",1.064B
"Dec. 31, 2007",1.070B
"Sept. 30, 2007",1.052B
"June 30, 2007",1.019B
"March 31, 2007",965.89M
"Dec. 31, 2006",945.20M
"Sept. 30, 2006",909.78M
"June 30, 2006",712.08M
"March 31, 2006",675.74M
"Dec. 31, 2005",600.21M
"Sept. 30, 2005",502.26M
"June 30, 2005",515.82M
"March 31, 2005",463.04M
"Dec. 31, 2004",455.66M
"Sept. 30, 2004",403.35M
"June 30, 2004",392.02M
"March 31, 2004",375.76M
"Dec. 31, 2003",365.20M
"Sept. 30, 2003",356.05M
"June 30, 2003",315.75M
"March 31, 2003",299.04M
"Dec. 31, 2002",350.66M
"Sept. 30, 2002",354.41M
"June 30, 2002",346.98M
"March 31, 2002",335.69M
"Dec. 31, 2001",346.55M
"Sept. 30, 2001",366.18M
"June 30, 2001",314.08M
"March 31, 2001",283.11M
"Dec. 31, 2000",242.50M
"Sept. 30, 2000",221.07M
"June 30, 2000",214.29M
"March 31, 2000",191.45M
"Dec. 31, 1999",186.60M
"Sept. 30, 1999",182.40M
"June 30, 1999",178.90M
"March 31, 1999",179.00M
"Dec. 31, 1998",182.70M
"Sept. 30, 1998",184.10M
"June 30, 1998",190.80M
"March 31, 1998",187.60M
"Dec. 31, 1997",184.10M
"Sept. 30, 1997",174.40M
"June 30, 1997",171.50M
"March 31, 1997",169.90M
"Dec. 31, 1996",160.70M
"Sept. 30, 1996",155.00M
"June 30, 1996",152.70M
"March 31, 1996",152.70M
"Dec. 31, 1995",147.80M
"Sept. 30, 1995",154.20M
"June 30, 1995",228.20M
"March 31, 1995",234.20M
"Dec. 31, 1994",243.10M
"Sept. 30, 1994",246.40M
"June 30, 1994",251.60M
"March 31, 1994",157.40M
"Dec. 31, 1993",153.50M
"Sept. 30, 1993",154.10M
"June 30, 1993",157.80M
"March 31, 1993",121.40M
"Dec. 31, 1992",118.30M
"Sept. 30, 1992",117.40M
"June 30, 1992",118.00M
"March 31, 1992",121.30M
"Dec. 31, 1991",119.20M
"Sept. 30, 1991",120.30M
"June 30, 1991",122.90M
"March 31, 1991",125.50M
"Dec. 31, 1990",121.90M
"Sept. 30, 1990",114.90M
"June 30, 1990",119.10M
"March 31, 1990",118.30M
"Sept. 30, 1989",185.00M
