date,enterprise_value
"March 19, 2020",7.760B
"March 18, 2020",8.393B
"March 17, 2020",8.629B
"March 16, 2020",7.839B
"March 13, 2020",8.342B
"March 12, 2020",7.413B
"March 11, 2020",7.481B
"March 10, 2020",7.772B
"March 9, 2020",7.752B
"March 6, 2020",7.544B
"March 5, 2020",6.967B
"March 4, 2020",6.975B
"March 3, 2020",6.915B
"March 2, 2020",6.819B
"Feb. 28, 2020",6.572B
"Feb. 27, 2020",6.405B
"Feb. 26, 2020",6.863B
"Feb. 25, 2020",6.839B
"Feb. 24, 2020",7.018B
"Feb. 21, 2020",6.955B
"Feb. 20, 2020",7.138B
"Feb. 19, 2020",7.238B
"Feb. 18, 2020",7.112B
"Feb. 14, 2020",6.913B
"Feb. 13, 2020",7.020B
"Feb. 12, 2020",6.976B
"Feb. 11, 2020",6.897B
"Feb. 10, 2020",6.853B
"Feb. 7, 2020",6.849B
"Feb. 6, 2020",6.901B
"Feb. 5, 2020",6.941B
"Feb. 4, 2020",6.757B
"Feb. 3, 2020",6.658B
"Jan. 31, 2020",6.627B
"Jan. 30, 2020",6.714B
"Jan. 29, 2020",6.718B
"Jan. 28, 2020",6.873B
"Jan. 27, 2020",6.758B
"Jan. 24, 2020",6.845B
"Jan. 23, 2020",7.080B
"Jan. 22, 2020",7.160B
"Jan. 21, 2020",7.196B
"Jan. 17, 2020",7.709B
"Jan. 16, 2020",7.932B
"Jan. 15, 2020",7.920B
"Jan. 14, 2020",7.987B
"Jan. 13, 2020",7.860B
"Jan. 10, 2020",7.980B
"Jan. 9, 2020",7.888B
"Jan. 8, 2020",7.725B
"Jan. 7, 2020",7.991B
"Jan. 6, 2020",7.952B
"Jan. 3, 2020",7.896B
"Jan. 2, 2020",7.876B
"Dec. 31, 2019",7.948B
"Dec. 30, 2019",8.125B
"Dec. 27, 2019",8.162B
"Dec. 26, 2019",8.227B
"Dec. 24, 2019",8.252B
"Dec. 23, 2019",8.313B
"Dec. 20, 2019",8.239B
"Dec. 19, 2019",8.076B
"Dec. 18, 2019",8.011B
"Dec. 17, 2019",7.946B
"Dec. 16, 2019",8.027B
"Dec. 13, 2019",7.705B
"Dec. 12, 2019",7.730B
"Dec. 11, 2019",7.664B
"Dec. 10, 2019",7.742B
"Dec. 9, 2019",7.709B
"Dec. 6, 2019",7.697B
"Dec. 5, 2019",7.648B
"Dec. 4, 2019",7.705B
"Dec. 3, 2019",7.546B
"Dec. 2, 2019",7.664B
"Nov. 29, 2019",7.640B
"Nov. 27, 2019",7.766B
"Nov. 26, 2019",7.668B
"Nov. 25, 2019",7.946B
"Nov. 22, 2019",7.823B
"Nov. 21, 2019",7.685B
"Nov. 20, 2019",7.823B
"Nov. 19, 2019",8.031B
"Nov. 18, 2019",8.142B
"Nov. 15, 2019",8.549B
"Nov. 14, 2019",8.419B
"Nov. 13, 2019",8.439B
"Nov. 12, 2019",8.399B
"Nov. 11, 2019",8.374B
"Nov. 8, 2019",8.631B
"Nov. 7, 2019",8.627B
"Nov. 6, 2019",8.635B
"Nov. 5, 2019",8.525B
"Nov. 4, 2019",8.786B
"Nov. 1, 2019",8.656B
"Oct. 31, 2019",8.741B
"Oct. 30, 2019",8.680B
"Oct. 29, 2019",8.872B
"Oct. 28, 2019",8.525B
"Oct. 25, 2019",8.811B
"Oct. 24, 2019",8.668B
"Oct. 23, 2019",8.692B
"Oct. 22, 2019",8.692B
"Oct. 21, 2019",8.582B
"Oct. 18, 2019",8.460B
"Oct. 17, 2019",8.439B
"Oct. 16, 2019",8.419B
"Oct. 15, 2019",8.476B
"Oct. 14, 2019",8.313B
"Oct. 11, 2019",8.301B
"Oct. 10, 2019",8.280B
"Oct. 9, 2019",8.211B
"Oct. 8, 2019",8.354B
"Oct. 7, 2019",8.549B
"Oct. 4, 2019",8.472B
"Oct. 3, 2019",8.345B
"Oct. 2, 2019",8.125B
"Oct. 1, 2019",8.309B
"Sept. 30, 2019",8.305B
"Sept. 27, 2019",8.313B
"Sept. 26, 2019",8.162B
"Sept. 25, 2019",8.333B
"Sept. 24, 2019",8.484B
"Sept. 23, 2019",8.559B
"Sept. 20, 2019",8.530B
"Sept. 19, 2019",8.580B
"Sept. 18, 2019",8.647B
"Sept. 17, 2019",8.656B
"Sept. 16, 2019",8.572B
"Sept. 13, 2019",8.848B
"Sept. 12, 2019",8.781B
"Sept. 11, 2019",8.932B
"Sept. 10, 2019",8.756B
"Sept. 9, 2019",8.677B
