date,return_on_invested_capital
"Dec. 31, 2019",19.77%
"Sept. 30, 2019",23.48%
"June 30, 2019",24.07%
"March 31, 2019",19.69%
"Dec. 31, 2018",15.18%
"Sept. 30, 2018",6.19%
"June 30, 2018",3.32%
"March 31, 2018",2.73%
"Dec. 31, 2017",2.43%
"Sept. 30, 2017",-3.52%
"June 30, 2017",-4.13%
"March 31, 2017",-6.01%
"Dec. 31, 2016",-9.72%
"Sept. 30, 2016",-5.47%
"June 30, 2016",-5.65%
"March 31, 2016",-4.91%
"Dec. 31, 2015",-2.81%
"Sept. 30, 2015",-5.55%
"June 30, 2015",-2.75%
"March 31, 2015",0.99%
"Dec. 31, 2014",2.85%
"Sept. 30, 2014",11.29%
"June 30, 2014",10.75%
"March 31, 2014",10.11%
"Dec. 31, 2013",8.36%
"Sept. 30, 2013",7.33%
"June 30, 2013",6.48%
"March 31, 2013",4.92%
"Dec. 31, 2012",4.20%
"Sept. 30, 2012",3.73%
"June 30, 2012",3.50%
"March 31, 2012",4.14%
"Dec. 31, 2011",4.04%
"Sept. 30, 2011",4.80%
"June 30, 2011",4.12%
"March 31, 2011",3.07%
"Dec. 31, 2010",3.73%
"Sept. 30, 2010",3.33%
"June 30, 2010",4.64%
"March 31, 2010",4.82%
"Dec. 31, 2009",5.57%
"Sept. 30, 2009",5.91%
"June 30, 2009",7.59%
"March 31, 2009",9.77%
"Dec. 31, 2008",11.04%
"Sept. 30, 2008",12.66%
"June 30, 2008",12.61%
"March 31, 2008",12.32%
"Dec. 31, 2007",12.99%
"Sept. 30, 2007",12.47%
"June 30, 2007",25.84%
"March 31, 2007",27.69%
"Dec. 31, 2006",29.41%
"Sept. 30, 2006",34.31%
"June 30, 2006",21.17%
"March 31, 2006",21.47%
"Dec. 31, 2005",18.71%
"Sept. 30, 2005",16.51%
"June 30, 2005",14.84%
"March 31, 2005",13.10%
"Dec. 31, 2004",13.22%
"Sept. 30, 2004",11.66%
"June 30, 2004",12.61%
"March 31, 2004",12.48%
"Dec. 31, 2003",3.25%
"Sept. 30, 2003",1.49%
"June 30, 2003",-0.94%
"March 31, 2003",-3.11%
"Dec. 31, 2002",2.18%
"Sept. 30, 2002",-1.10%
"June 30, 2002",-0.61%
"March 31, 2002",1.13%
"Dec. 31, 2001",7.93%
"Sept. 30, 2001",14.63%
"June 30, 2001",15.35%
"March 31, 2001",12.13%
"Dec. 31, 2000",5.23%
"Sept. 30, 2000",2.85%
"June 30, 2000",2.48%
"March 31, 2000",3.21%
"Dec. 31, 1999",1.65%
"Sept. 30, 1999",0.60%
"June 30, 1999",-0.64%
"March 31, 1999",-0.22%
"Dec. 31, 1998",1.21%
"Sept. 30, 1998",3.78%
"June 30, 1998",5.20%
"March 31, 1998",5.33%
"Dec. 31, 1997",7.13%
"Sept. 30, 1997",6.40%
"June 30, 1997",6.61%
"March 31, 1997",6.31%
"Dec. 31, 1996",5.17%
"Sept. 30, 1996",2.32%
"June 30, 1996",-16.24%
"March 31, 1996",-16.89%
"Dec. 31, 1995",-19.01%
"Sept. 30, 1995",-17.65%
"June 30, 1995",-3.13%
"March 31, 1995",-2.81%
"Dec. 31, 1994",-0.23%
"Sept. 30, 1994",0.54%
"June 30, 1994",0.68%
"March 31, 1994",1.68%
"Dec. 31, 1993",1.31%
"Sept. 30, 1993",1.56%
"June 30, 1993",2.96%
"March 31, 1993",1.50%
"Dec. 31, 1992",1.02%
"Sept. 30, 1992",0.14%
"June 30, 1992",-0.78%
"March 31, 1992",-0.55%
"Dec. 31, 1991",0.60%
"Sept. 30, 1991",4.76%
"June 30, 1991",5.48%
"March 31, 1991",7.22%
"Dec. 31, 1990",8.51%
"Sept. 30, 1990",7.45%
"June 30, 1990",10.94%
