date,tangible_common_equity_ratio
"Dec. 31, 2019",47.95%
"Sept. 30, 2019",49.83%
"June 30, 2019",51.38%
"March 31, 2019",51.79%
"Dec. 31, 2018",49.73%
"Sept. 30, 2018",50.11%
"June 30, 2018",49.00%
"March 31, 2018",53.03%
"Dec. 31, 2017",53.39%
"Sept. 30, 2017",51.56%
"June 30, 2017",50.62%
"March 31, 2017",51.62%
"Dec. 31, 2016",50.12%
"Sept. 30, 2016",51.76%
"June 30, 2016",51.66%
"March 31, 2016",51.63%
"Dec. 31, 2015",38.25%
"Sept. 30, 2015",38.68%
"June 30, 2015",38.98%
"March 31, 2015",39.47%
"Dec. 31, 2014",39.40%
"Sept. 30, 2014",40.75%
"June 30, 2014",46.11%
"March 31, 2014",44.09%
"Dec. 31, 2013",44.26%
"Sept. 30, 2013",46.28%
"June 30, 2013",45.56%
"March 31, 2013",45.29%
"Dec. 31, 2012",46.17%
"Sept. 30, 2012",46.85%
"June 30, 2012",48.33%
"March 31, 2012",48.26%
"Dec. 31, 2011",48.59%
"Sept. 30, 2011",45.68%
"June 30, 2011",46.26%
"March 31, 2011",46.59%
"Dec. 31, 2010",46.76%
"Sept. 30, 2010",
"June 30, 2010",47.70%
"March 31, 2010",48.64%
"Dec. 31, 2009",49.21%
"Sept. 30, 2009",50.82%
"June 30, 2009",50.68%
"March 31, 2009",49.85%
"Dec. 31, 2008",48.37%
"Sept. 30, 2008",47.23%
"June 30, 2008",47.80%
"March 31, 2008",45.68%
"Dec. 31, 2007",48.46%
"Sept. 30, 2007",50.63%
"June 30, 2007",51.74%
"March 31, 2007",52.40%
"Dec. 31, 2006",51.52%
"Sept. 30, 2006",45.95%
"June 30, 2006",43.74%
"March 31, 2006",44.85%
"Dec. 31, 2005",40.14%
"Sept. 30, 2005",35.47%
"June 30, 2005",40.29%
"March 31, 2005",36.98%
"Dec. 31, 2004",37.63%
"Sept. 30, 2004",34.23%
"June 30, 2004",34.47%
"March 31, 2004",35.27%
"Dec. 31, 2003",34.61%
"Sept. 30, 2003",34.91%
"June 30, 2003",31.35%
"March 31, 2003",29.50%
"Dec. 31, 2002",32.74%
"Sept. 30, 2002",33.73%
"June 30, 2002",32.58%
"March 31, 2002",31.49%
"Dec. 31, 2001",32.42%
"Sept. 30, 2001",33.50%
"June 30, 2001",40.64%
"March 31, 2001",38.00%
"Dec. 31, 2000",32.97%
"Sept. 30, 2000",31.70%
"June 30, 2000",31.74%
"March 31, 2000",29.34%
"Dec. 31, 1999",28.28%
"Sept. 30, 1999",26.24%
"June 30, 1999",26.20%
"March 31, 1999",25.75%
"Dec. 31, 1998",25.93%
"Sept. 30, 1998",30.83%
"June 30, 1998",32.98%
"March 31, 1998",34.18%
"Dec. 31, 1997",33.96%
"Sept. 30, 1997",31.04%
"June 30, 1997",32.13%
"March 31, 1997",31.79%
"Dec. 31, 1996",28.59%
"Sept. 30, 1996",29.37%
"June 30, 1996",29.24%
"March 31, 1996",28.26%
"Dec. 31, 1995",27.94%
"Sept. 30, 1995",30.10%
"June 30, 1995",35.21%
"March 31, 1995",35.21%
"Dec. 31, 1994",35.28%
"Sept. 30, 1994",36.15%
"June 30, 1994",37.54%
"March 31, 1994",35.30%
"Dec. 31, 1993",34.49%
"Sept. 30, 1993",35.57%
"June 30, 1993",42.02%
"March 31, 1993",35.61%
"Dec. 31, 1992",33.93%
"Sept. 30, 1992",35.34%
"June 30, 1992",36.41%
"March 31, 1992",37.67%
"Dec. 31, 1991",35.66%
"Sept. 30, 1991",37.43%
"June 30, 1991",39.24%
"March 31, 1991",39.68%
"Dec. 31, 1990",38.43%
"Sept. 30, 1990",38.03%
"June 30, 1990",40.01%
"March 31, 1990",39.15%
"Dec. 31, 1989",
"Sept. 30, 1989",63.90%
