date,quality_ratio
"Dec. 31, 2019",0.2275
"Sept. 30, 2019",0.2856
"June 30, 2019",0.2932
"March 31, 2019",0.2661
"Dec. 31, 2018",0.2314
"Sept. 30, 2018",0.1535
"June 30, 2018",0.1278
"March 31, 2018",0.1247
"Dec. 31, 2017",0.1172
"Sept. 30, 2017",0.0995
"June 30, 2017",0.0877
"March 31, 2017",0.049
"Dec. 31, 2016",0.0032
"Sept. 30, 2016",-0.0053
"June 30, 2016",-0.0083
"March 31, 2016",0.0014
"Dec. 31, 2015",0.0283
"Sept. 30, 2015",0.0841
"June 30, 2015",0.1227
"March 31, 2015",0.1672
"Dec. 31, 2014",0.191
"Sept. 30, 2014",0.1723
"June 30, 2014",0.1655
"March 31, 2014",0.1595
"Dec. 31, 2013",0.1428
"Sept. 30, 2013",0.1415
"June 30, 2013",0.135
"March 31, 2013",0.1127
"Dec. 31, 2012",0.1041
"Sept. 30, 2012",0.0352
"June 30, 2012",0.0555
"March 31, 2012",0.0815
"Dec. 31, 2011",0.0961
"Sept. 30, 2011",0.0948
"June 30, 2011",0.0922
"March 31, 2011",0.0864
"Dec. 31, 2010",0.0917
"Sept. 30, 2010",0.194
"June 30, 2010",0.1896
"March 31, 2010",0.1912
"Dec. 31, 2009",0.1957
"Sept. 30, 2009",0.1907
"June 30, 2009",0.2091
"March 31, 2009",0.2366
"Dec. 31, 2008",0.2599
"Sept. 30, 2008",0.2663
"June 30, 2008",0.2747
"March 31, 2008",0.2686
"Dec. 31, 2007",0.2685
"Sept. 30, 2007",0.2686
"June 30, 2007",0.2861
"March 31, 2007",0.3061
"Dec. 31, 2006",0.3283
"Sept. 30, 2006",0.3697
"June 30, 2006",0.3901
"March 31, 2006",0.3896
"Dec. 31, 2005",0.3547
"Sept. 30, 2005",0.3285
"June 30, 2005",0.3215
"March 31, 2005",0.3085
"Dec. 31, 2004",0.313
"Sept. 30, 2004",0.2957
"June 30, 2004",0.3016
"March 31, 2004",0.3013
"Dec. 31, 2003",0.3045
"Sept. 30, 2003",0.2935
"June 30, 2003",0.2629
"March 31, 2003",0.2355
"Dec. 31, 2002",0.1924
"Sept. 30, 2002",0.1617
"June 30, 2002",0.1757
"March 31, 2002",0.1936
"Dec. 31, 2001",0.2762
"Sept. 30, 2001",0.3466
"June 30, 2001",0.3613
"March 31, 2001",0.3406
"Dec. 31, 2000",0.2565
"Sept. 30, 2000",0.2358
"June 30, 2000",0.2257
"March 31, 2000",0.2218
"Dec. 31, 1999",0.1996
"Sept. 30, 1999",0.1687
"June 30, 1999",0.1577
"March 31, 1999",0.1656
"Dec. 31, 1998",0.1817
"Sept. 30, 1998",0.2158
"June 30, 1998",0.234
"March 31, 1998",0.2334
"Dec. 31, 1997",0.2572
"Sept. 30, 1997",0.2538
"June 30, 1997",0.248
"March 31, 1997",0.2441
"Dec. 31, 1996",0.2257
"Sept. 30, 1996",0.4174
"June 30, 1996",0.1826
"March 31, 1996",0.1625
"Dec. 31, 1995",0.1393
"Sept. 30, 1995",-0.0418
"June 30, 1995",0.1355
"March 31, 1995",0.15
"Dec. 31, 1994",0.1706
"Sept. 30, 1994",0.1875
"June 30, 1994",0.2168
"March 31, 1994",0.2377
"Dec. 31, 1993",0.2332
"Sept. 30, 1993",0.2527
"June 30, 1993",0.2417
"March 31, 1993",0.2416
"Dec. 31, 1992",0.2357
"Sept. 30, 1992",0.2105
"June 30, 1992",0.2046
"March 31, 1992",0.2003
"Dec. 31, 1991",0.2459
"Sept. 30, 1991",0.299
"June 30, 1991",0.2709
"March 31, 1991",0.2768
"Dec. 31, 1990",0.2484
