date,times_interest_earned
"Dec. 31, 2019",15.95
"Sept. 30, 2019",19.02
"June 30, 2019",19.24
"March 31, 2019",14.06
"Dec. 31, 2018",10.75
"Sept. 30, 2018",6.629
"June 30, 2018",4.991
"March 31, 2018",5.786
"Dec. 31, 2017",5.401
"Sept. 30, 2017",4.498
"June 30, 2017",3.876
"March 31, 2017",1.406
"Dec. 31, 2016",-1.450
"Sept. 30, 2016",-1.903
"June 30, 2016",-1.923
"March 31, 2016",-1.302
"Dec. 31, 2015",0.1618
"Sept. 30, 2015",-4.409
"June 30, 2015",-2.602
"March 31, 2015",-0.0124
"Dec. 31, 2014",1.439
"Sept. 30, 2014",11.39
"June 30, 2014",10.73
"March 31, 2014",9.940
"Dec. 31, 2013",8.357
"Sept. 30, 2013",7.413
"June 30, 2013",6.550
"March 31, 2013",5.120
"Dec. 31, 2012",4.480
"Sept. 30, 2012",4.312
"June 30, 2012",4.027
"March 31, 2012",4.453
"Dec. 31, 2011",4.282
"Sept. 30, 2011",4.565
"June 30, 2011",4.084
"March 31, 2011",3.379
"Dec. 31, 2010",3.857
"Sept. 30, 2010",3.114
"June 30, 2010",4.080
"March 31, 2010",4.240
"Dec. 31, 2009",4.786
"Sept. 30, 2009",6.499
"June 30, 2009",11.46
"March 31, 2009",18.36
"Dec. 31, 2008",58.98
"Sept. 30, 2008",59.73
"June 30, 2008",50.51
