date,return_on_assets
"Dec. 31, 2019",15.36%
"Sept. 30, 2019",18.50%
"June 30, 2019",19.28%
"March 31, 2019",16.12%
"Dec. 31, 2018",12.64%
"Sept. 30, 2018",5.17%
"June 30, 2018",2.77%
"March 31, 2018",2.25%
"Dec. 31, 2017",1.97%
"Sept. 30, 2017",-2.82%
"June 30, 2017",-3.29%
"March 31, 2017",-4.79%
"Dec. 31, 2016",-7.67%
"Sept. 30, 2016",-4.27%
"June 30, 2016",-4.37%
"March 31, 2016",-3.74%
"Dec. 31, 2015",-2.09%
"Sept. 30, 2015",-4.05%
"June 30, 2015",-1.97%
"March 31, 2015",0.70%
"Dec. 31, 2014",1.97%
"Sept. 30, 2014",7.72%
"June 30, 2014",7.35%
"March 31, 2014",6.92%
"Dec. 31, 2013",5.75%
"Sept. 30, 2013",5.09%
"June 30, 2013",4.51%
"March 31, 2013",3.46%
"Dec. 31, 2012",2.96%
"Sept. 30, 2012",2.65%
"June 30, 2012",2.49%
"March 31, 2012",2.97%
"Dec. 31, 2011",2.90%
"Sept. 30, 2011",3.46%
"June 30, 2011",2.98%
"March 31, 2011",2.23%
"Dec. 31, 2010",2.69%
"Sept. 30, 2010",2.42%
"June 30, 2010",3.38%
"March 31, 2010",3.51%
"Dec. 31, 2009",4.04%
"Sept. 30, 2009",4.28%
"June 30, 2009",5.30%
"March 31, 2009",6.64%
"Dec. 31, 2008",7.29%
"Sept. 30, 2008",8.14%
"June 30, 2008",7.88%
"March 31, 2008",7.90%
"Dec. 31, 2007",8.43%
"Sept. 30, 2007",8.14%
"June 30, 2007",16.83%
"March 31, 2007",18.02%
"Dec. 31, 2006",19.04%
"Sept. 30, 2006",21.65%
"June 30, 2006",13.12%
"March 31, 2006",13.01%
"Dec. 31, 2005",11.15%
"Sept. 30, 2005",9.64%
"June 30, 2005",8.77%
"March 31, 2005",7.71%
"Dec. 31, 2004",7.83%
"Sept. 30, 2004",6.96%
"June 30, 2004",7.64%
"March 31, 2004",7.69%
"Dec. 31, 2003",2.04%
"Sept. 30, 2003",0.97%
"June 30, 2003",-0.63%
"March 31, 2003",-2.12%
"Dec. 31, 2002",1.51%
"Sept. 30, 2002",-0.76%
"June 30, 2002",-0.42%
"March 31, 2002",0.76%
"Dec. 31, 2001",5.33%
"Sept. 30, 2001",9.86%
"June 30, 2001",10.46%
"March 31, 2001",8.44%
"Dec. 31, 2000",3.72%
"Sept. 30, 2000",2.06%
"June 30, 2000",1.82%
"March 31, 2000",2.41%
"Dec. 31, 1999",1.25%
"Sept. 30, 1999",0.45%
"June 30, 1999",-0.48%
"March 31, 1999",-0.16%
"Dec. 31, 1998",0.88%
"Sept. 30, 1998",2.72%
"June 30, 1998",3.76%
"March 31, 1998",3.86%
"Dec. 31, 1997",5.18%
"Sept. 30, 1997",4.71%
"June 30, 1997",4.91%
"March 31, 1997",4.70%
"Dec. 31, 1996",3.87%
"Sept. 30, 1996",1.75%
"June 30, 1996",-12.21%
"March 31, 1996",-12.66%
"Dec. 31, 1995",-14.24%
"Sept. 30, 1995",-13.22%
"June 30, 1995",-2.31%
"March 31, 1995",-2.06%
"Dec. 31, 1994",-0.17%
"Sept. 30, 1994",0.39%
"June 30, 1994",0.49%
"March 31, 1994",1.20%
"Dec. 31, 1993",0.93%
"Sept. 30, 1993",1.09%
"June 30, 1993",2.03%
"March 31, 1993",1.02%
"Dec. 31, 1992",0.69%
"Sept. 30, 1992",0.09%
"June 30, 1992",-0.53%
"March 31, 1992",-0.37%
"Dec. 31, 1991",0.41%
"Sept. 30, 1991",3.18%
"June 30, 1991",3.65%
"March 31, 1991",4.82%
"Dec. 31, 1990",5.68%
"Sept. 30, 1990",4.90%
"June 30, 1990",7.25%
