date,net_income_annual_cs_rev
"Dec. 31, 2019",32.96%
"Dec. 31, 2018",25.46%
"Dec. 31, 2017",5.69%
"Dec. 31, 2016",-36.09%
"Dec. 31, 2015",-8.39%
"Dec. 31, 2014",4.81%
"Dec. 31, 2013",16.02%
"Dec. 31, 2012",10.94%
"Dec. 31, 2011",12.49%
"Dec. 31, 2010",11.98%
"Dec. 31, 2009",16.87%
"Dec. 31, 2008",22.34%
"Dec. 31, 2007",22.87%
"Dec. 31, 2006",42.15%
"Dec. 31, 2005",21.74%
"Dec. 31, 2004",16.66%
"Dec. 31, 2003",4.15%
"Dec. 31, 2002",4.55%
"Dec. 31, 2001",10.53%
"Dec. 31, 2000",6.91%
"Dec. 31, 1999",2.89%
"Dec. 31, 1998",2.11%
"Dec. 31, 1997",15.29%
"Dec. 31, 1996",12.75%
"Dec. 31, 1995",-40.49%
"Dec. 31, 1994",-0.42%
"Dec. 31, 1993",2.13%
"Dec. 31, 1992",1.49%
"Dec. 31, 1991",0.93%
"Sept. 30, 1990",11.41%
"Sept. 30, 1989",17.14%
