date,accruals
"Dec. 31, 2019",-116.04M
"Sept. 30, 2019",-180.52M
"June 30, 2019",-145.64M
"March 31, 2019",-322.52M
"Dec. 31, 2018",-41.01M
"Sept. 30, 2018",-119.86M
"June 30, 2018",-231.47M
"March 31, 2018",-155.53M
"Dec. 31, 2017",-223.55M
"Sept. 30, 2017",-171.51M
"June 30, 2017",-239.04M
"March 31, 2017",-163.66M
"Dec. 31, 2016",-432.50M
"Sept. 30, 2016",-115.68M
"June 30, 2016",-148.09M
"March 31, 2016",-118.31M
"Dec. 31, 2015",-275.77M
"Sept. 30, 2015",-161.88M
"June 30, 2015",-198.72M
"March 31, 2015",-227.13M
"Dec. 31, 2014",-514.96M
"Sept. 30, 2014",-257.51M
"June 30, 2014",-211.15M
"March 31, 2014",-148.35M
"Dec. 31, 2013",-179.90M
"Sept. 30, 2013",-206.82M
"June 30, 2013",-188.17M
"March 31, 2013",-169.86M
"Dec. 31, 2012",-156.12M
"Sept. 30, 2012",-127.36M
"June 30, 2012",-123.42M
"March 31, 2012",-113.46M
"Dec. 31, 2011",-100.11M
"Sept. 30, 2011",-126.18M
"June 30, 2011",-74.81M
"March 31, 2011",-78.33M
"Dec. 31, 2010",-68.31M
"Sept. 30, 2010",-120.42M
"June 30, 2010",-105.40M
"March 31, 2010",-87.40M
"Dec. 31, 2009",-160.56M
"Sept. 30, 2009",-77.85M
"June 30, 2009",-122.35M
"March 31, 2009",-104.95M
"Dec. 31, 2008",-166.02M
"Sept. 30, 2008",-81.33M
"June 30, 2008",-89.08M
"March 31, 2008",-86.73M
"Dec. 31, 2007",-91.53M
"Sept. 30, 2007",-51.30M
"June 30, 2007",-64.57M
"March 31, 2007",-87.31M
"Dec. 31, 2006",31.48M
"Sept. 30, 2006",102.33M
"June 30, 2006",-67.49M
"March 31, 2006",-101.84M
"Dec. 31, 2005",-58.94M
"Sept. 30, 2005",-25.28M
"June 30, 2005",-44.64M
"March 31, 2005",-87.26M
"Dec. 31, 2004",-24.87M
"Sept. 30, 2004",-54.81M
"June 30, 2004",-26.41M
"March 31, 2004",-78.56M
"Dec. 31, 2003",-16.15M
"Sept. 30, 2003",-43.23M
"June 30, 2003",-62.35M
"March 31, 2003",-98.77M
"Dec. 31, 2002",-47.25M
"Sept. 30, 2002",-19.13M
"June 30, 2002",-51.36M
"March 31, 2002",-30.35M
"Dec. 31, 2001",-51.24M
"Sept. 30, 2001",-37.67M
"June 30, 2001",-43.90M
"March 31, 2001",-70.54M
"Dec. 31, 2000",-28.10M
"Sept. 30, 2000",-16.49M
"June 30, 2000",-18.85M
"March 31, 2000",-30.09M
"Dec. 31, 1999",-27.30M
"Sept. 30, 1999",-23.30M
"June 30, 1999",-20.84M
"March 31, 1999",-12.50M
"Dec. 31, 1998",-23.30M
"Sept. 30, 1998",-19.10M
"June 30, 1998",-14.40M
"March 31, 1998",-25.20M
"Dec. 31, 1997",8.60M
"Sept. 30, 1997",-23.50M
"June 30, 1997",-15.50M
"March 31, 1997",-36.30M
"Dec. 31, 1996",-15.30M
"Sept. 30, 1996",-12.10M
"June 30, 1996",-17.90M
"March 31, 1996",-9.50M
"Dec. 31, 1995",-14.70M
"Sept. 30, 1995",-78.30M
"June 30, 1995",-16.30M
"March 31, 1995",-18.80M
"Dec. 31, 1994",-13.40M
"Sept. 30, 1994",-9.10M
"June 30, 1994",-23.80M
"March 31, 1994",-22.00M
"Dec. 31, 1993",-10.40M
"Sept. 30, 1993",-12.60M
"June 30, 1993",-16.20M
"March 31, 1993",-12.70M
"Dec. 31, 1992",0.70M
"Sept. 30, 1992",-0.60M
"June 30, 1992",-9.30M
"March 31, 1992",-16.40M
"Dec. 31, 1991",-1.60M
"Sept. 30, 1991",-9.40M
"June 30, 1991",-4.70M
"March 31, 1991",-22.60M
"Dec. 31, 1990",2.90M
