date,days_inventory_outstanding
"Dec. 31, 2019",5.277
"Sept. 30, 2019",6.217
"June 30, 2019",6.713
"March 31, 2019",5.402
"Dec. 31, 2018",3.670
"Sept. 30, 2018",4.162
"June 30, 2018",5.094
"March 31, 2018",4.256
"Dec. 31, 2017",3.284
"Sept. 30, 2017",3.746
"June 30, 2017",3.578
"March 31, 2017",4.034
"Dec. 31, 2016",4.339
"Sept. 30, 2016",4.763
"June 30, 2016",4.977
"March 31, 2016",5.016
"Dec. 31, 2015",5.509
"Sept. 30, 2015",6.212
"June 30, 2015",5.433
"March 31, 2015",3.812
"Dec. 31, 2014",3.993
"Sept. 30, 2014",4.128
"June 30, 2014",3.581
"March 31, 2014",4.658
"Dec. 31, 2013",5.821
"Sept. 30, 2013",6.644
"June 30, 2013",5.443
"March 31, 2013",4.946
"Dec. 31, 2012",7.165
"Sept. 30, 2012",7.633
"June 30, 2012",5.883
"March 31, 2012",8.290
"Dec. 31, 2011",5.533
"Sept. 30, 2011",43.21
"June 30, 2011",42.24
"March 31, 2011",37.42
"Dec. 31, 2010",
"Sept. 30, 2010",
"June 30, 2010",45.96
"March 31, 2010",36.89
"Dec. 31, 2009",296.23
"Sept. 30, 2009",66.92
"June 30, 2009",59.04
"March 31, 2009",54.20
"Dec. 31, 2008",134.84
"Sept. 30, 2008",62.71
"June 30, 2008",27.18
"March 31, 2008",34.41
"Dec. 31, 2007",46.46
"Sept. 30, 2007",62.96
"June 30, 2007",41.97
"March 31, 2007",42.90
"Dec. 31, 2006",64.80
"Sept. 30, 2006",62.79
"June 30, 2006",37.66
"March 31, 2006",29.96
"Dec. 31, 2005",41.13
"Sept. 30, 2005",57.00
"June 30, 2005",42.78
"March 31, 2005",29.58
"Dec. 31, 2004",43.26
"Sept. 30, 2004",49.46
"June 30, 2004",25.79
"March 31, 2004",23.42
"Dec. 31, 2003",37.18
"Sept. 30, 2003",34.67
"June 30, 2003",17.54
"March 31, 2003",21.61
"Dec. 31, 2002",36.74
"Sept. 30, 2002",50.57
"June 30, 2002",31.31
"March 31, 2002",38.66
"Dec. 31, 2001",33.29
"Sept. 30, 2001",35.21
"June 30, 2001",19.10
"March 31, 2001",15.54
"Dec. 31, 2000",23.42
"Sept. 30, 2000",23.26
"June 30, 2000",12.06
"March 31, 2000",14.99
"Dec. 31, 1999",8.137
"Sept. 30, 1999",78.84
"June 30, 1999",76.20
"March 31, 1999",77.38
"Dec. 31, 1998",8.350
"Sept. 30, 1998",58.35
"June 30, 1998",64.74
"March 31, 1998",57.47
"Dec. 31, 1997",58.40
"Sept. 30, 1997",62.52
"June 30, 1997",46.92
"March 31, 1997",59.70
"Dec. 31, 1996",72.02
"Sept. 30, 1996",65.42
"June 30, 1996",39.87
"March 31, 1996",48.10
"Dec. 31, 1995",-7.325
"Sept. 30, 1995",3.981
"June 30, 1995",12.89
"March 31, 1995",15.21
"Dec. 31, 1994",22.62
"Sept. 30, 1994",21.69
"June 30, 1994",13.18
"March 31, 1994",10.31
"Dec. 31, 1993",26.07
"Sept. 30, 1993",71.70
"June 30, 1993",15.77
"March 31, 1993",17.87
"Dec. 31, 1992",24.98
"Sept. 30, 1992",27.49
"June 30, 1992",17.02
"March 31, 1992",16.98
"Dec. 31, 1991",17.72
"Sept. 30, 1991",35.44
"June 30, 1991",16.74
"March 31, 1991",24.33
"Dec. 31, 1990",19.79
"Sept. 30, 1990",15.46
"June 30, 1990",17.47
