date,market_cap
"March 19, 2020",6.740B
"March 18, 2020",7.374B
"March 17, 2020",7.609B
"March 16, 2020",6.820B
"March 13, 2020",7.322B
"March 12, 2020",6.393B
"March 11, 2020",6.461B
"March 10, 2020",6.752B
"March 9, 2020",6.732B
"March 6, 2020",6.525B
"March 5, 2020",5.947B
"March 4, 2020",5.955B
"March 3, 2020",5.895B
"March 2, 2020",5.799B
"Feb. 28, 2020",5.552B
"Feb. 27, 2020",5.385B
"Feb. 26, 2020",5.843B
"Feb. 25, 2020",5.819B
"Feb. 24, 2020",5.999B
"Feb. 21, 2020",5.935B
"Feb. 20, 2020",6.118B
"Feb. 19, 2020",6.218B
"Feb. 18, 2020",6.092B
"Feb. 14, 2020",5.893B
"Feb. 13, 2020",6.000B
"Feb. 12, 2020",5.957B
"Feb. 11, 2020",5.877B
"Feb. 10, 2020",5.833B
"Feb. 7, 2020",5.829B
"Feb. 6, 2020",5.881B
"Feb. 5, 2020",5.921B
"Feb. 4, 2020",5.738B
"Feb. 3, 2020",5.638B
"Jan. 31, 2020",5.607B
"Jan. 30, 2020",5.694B
"Jan. 29, 2020",5.698B
"Jan. 28, 2020",5.853B
"Jan. 27, 2020",5.738B
"Jan. 24, 2020",5.826B
"Jan. 23, 2020",6.060B
"Jan. 22, 2020",6.140B
"Jan. 21, 2020",6.176B
"Jan. 17, 2020",6.689B
"Jan. 16, 2020",6.912B
"Jan. 15, 2020",6.900B
"Jan. 14, 2020",6.968B
"Jan. 13, 2020",6.840B
"Jan. 10, 2020",6.960B
"Jan. 9, 2020",6.868B
"Jan. 8, 2020",6.705B
"Jan. 7, 2020",6.972B
"Jan. 6, 2020",6.932B
"Jan. 3, 2020",6.876B
"Jan. 2, 2020",6.856B
"Dec. 31, 2019",6.928B
"Dec. 30, 2019",6.988B
"Dec. 27, 2019",7.024B
"Dec. 26, 2019",7.090B
"Dec. 24, 2019",7.114B
"Dec. 23, 2019",7.175B
"Dec. 20, 2019",7.102B
"Dec. 19, 2019",6.939B
"Dec. 18, 2019",6.874B
"Dec. 17, 2019",6.808B
"Dec. 16, 2019",6.890B
"Dec. 13, 2019",6.568B
"Dec. 12, 2019",6.592B
"Dec. 11, 2019",6.527B
"Dec. 10, 2019",6.604B
"Dec. 9, 2019",6.572B
"Dec. 6, 2019",6.559B
"Dec. 5, 2019",6.510B
"Dec. 4, 2019",6.568B
"Dec. 3, 2019",6.408B
"Dec. 2, 2019",6.527B
"Nov. 29, 2019",6.502B
"Nov. 27, 2019",6.629B
