date,cash_investing_ttm
"Dec. 31, 2019",-543.92M
"Sept. 30, 2019",-874.16M
"June 30, 2019",-913.60M
"March 31, 2019",-943.38M
"Dec. 31, 2018",-293.38M
"Sept. 30, 2018",-173.51M
"June 30, 2018",-103.98M
"March 31, 2018",-35.53M
"Dec. 31, 2017",-706.15M
"Sept. 30, 2017",-710.56M
"June 30, 2017",-630.96M
"March 31, 2017",-514.91M
"Dec. 31, 2016",-353.22M
"Sept. 30, 2016",-363.91M
"June 30, 2016",-452.57M
"March 31, 2016",-650.16M
"Dec. 31, 2015",-993.33M
"Sept. 30, 2015",-1.537B
"June 30, 2015",-1.721B
"March 31, 2015",-1.726B
"Dec. 31, 2014",-1.665B
"Sept. 30, 2014",-1.059B
"June 30, 2014",-1.003B
"March 31, 2014",-993.42M
"Dec. 31, 2013",-918.21M
"Sept. 30, 2013",-1.062B
"June 30, 2013",-1.012B
"March 31, 2013",-839.18M
"Dec. 31, 2012",-765.51M
"Sept. 30, 2012",-441.69M
"June 30, 2012",-418.44M
"March 31, 2012",-476.76M
"Dec. 31, 2011",-487.62M
"Sept. 30, 2011",-563.53M
"June 30, 2011",-526.22M
"March 31, 2011",-577.27M
"Dec. 31, 2010",-613.74M
"Sept. 30, 2010",-822.12M
"June 30, 2010",-738.26M
"March 31, 2010",-603.20M
"Dec. 31, 2009",-531.03M
"Sept. 30, 2009",-616.33M
"June 30, 2009",-1.299B
"March 31, 2009",-1.482B
"Dec. 31, 2008",-1.452B
"Sept. 30, 2008",-1.339B
"June 30, 2008",-695.15M
"March 31, 2008",-609.47M
"Dec. 31, 2007",-589.92M
"Sept. 30, 2007",-558.13M
"June 30, 2007",-215.64M
"March 31, 2007",-186.78M
"Dec. 31, 2006",-187.35M
"Sept. 30, 2006",-185.85M
"June 30, 2006",-516.58M
"March 31, 2006",-466.49M
"Dec. 31, 2005",-412.15M
"Sept. 30, 2005",-353.01M
"June 30, 2005",-273.11M
"March 31, 2005",-263.35M
"Dec. 31, 2004",-255.36M
"Sept. 30, 2004",-216.09M
"June 30, 2004",-201.88M
"March 31, 2004",-170.60M
"Dec. 31, 2003",-151.86M
"Sept. 30, 2003",-154.02M
"June 30, 2003",-131.14M
"March 31, 2003",-123.66M
"Dec. 31, 2002",-138.67M
"Sept. 30, 2002",-179.26M
"June 30, 2002",-376.55M
"March 31, 2002",-382.29M
"Dec. 31, 2001",-379.25M
"Sept. 30, 2001",-345.62M
"June 30, 2001",-156.72M
"March 31, 2001",-140.50M
"Dec. 31, 2000",-116.07M
"Sept. 30, 2000",-70.20M
"June 30, 2000",-48.67M
"March 31, 2000",-29.16M
"Dec. 31, 1999",-37.40M
"Sept. 30, 1999",-163.70M
"June 30, 1999",-184.70M
"March 31, 1999",-216.70M
"Dec. 31, 1998",-222.10M
"Sept. 30, 1998",-72.70M
"June 30, 1998",-74.30M
"March 31, 1998",-57.80M
"Dec. 31, 1997",-38.40M
"Sept. 30, 1997",-97.20M
"June 30, 1997",-79.90M
"March 31, 1997",-70.30M
"Dec. 31, 1996",-67.60M
"Sept. 30, 1996",-59.00M
"June 30, 1996",-36.30M
"March 31, 1996",-21.80M
"Dec. 31, 1995",-14.00M
"Sept. 30, 1995",-13.20M
"June 30, 1995",-55.30M
"March 31, 1995",-148.70M
"Dec. 31, 1994",-158.80M
"Sept. 30, 1994",-163.00M
"June 30, 1994",-187.50M
"March 31, 1994",-104.30M
"Dec. 31, 1993",-98.90M
"Sept. 30, 1993",-91.00M
"June 30, 1993",-42.20M
"March 31, 1993",-42.40M
"Dec. 31, 1992",-42.50M
"Sept. 30, 1992",-40.60M
"June 30, 1992",-43.30M
"March 31, 1992",-29.10M
"Dec. 31, 1991",-52.20M
"Sept. 30, 1991",-59.20M
