date,beneish_m_score
"Dec. 31, 2019",-3.827
"Dec. 31, 2018",-3.135
"Dec. 31, 2017",8.978
"Dec. 31, 2016",0.7226
"Dec. 31, 2015",-2.303
"Dec. 31, 2014",-3.626
"Dec. 31, 2013",-2.947
"Dec. 31, 2012",-2.882
"Dec. 31, 2011",-2.778
"Dec. 31, 2010",-2.491
"Dec. 31, 2009",-3.663
"Dec. 31, 2008",
"Dec. 31, 2007",-2.855
"Dec. 31, 2006",-2.704
"Dec. 31, 2005",-2.904
"Dec. 31, 2004",-2.779
"Dec. 31, 2003",-2.563
"Dec. 31, 2002",-2.100
"Dec. 31, 2001",-3.760
"Dec. 31, 2000",-3.815
"Dec. 31, 1999",-3.897
"Dec. 31, 1998",-3.133
"Dec. 31, 1997",-3.569
"Dec. 31, 1996",-4.443
"Dec. 31, 1995",-4.581
"Dec. 31, 1994",0.2241
"Dec. 31, 1993",-4.072
"Dec. 31, 1992",-3.738
"Dec. 31, 1991",-4.202
