date,sales_est_0q
"March 19, 2020",380.80M
"March 17, 2020",380.80M
"March 16, 2020",380.80M
"March 12, 2020",417.54M
"March 11, 2020",429.31M
"March 10, 2020",437.46M
"March 9, 2020",441.76M
"March 2, 2020",438.87M
"Feb. 24, 2020",437.25M
"Feb. 21, 2020",426.99M
"Feb. 20, 2020",468.31M
"Feb. 18, 2020",474.05M
"Feb. 5, 2020",472.70M
"Feb. 4, 2020",470.87M
"Feb. 3, 2020",474.79M
"Jan. 27, 2020",475.22M
"Jan. 24, 2020",489.32M
"Jan. 23, 2020",491.19M
"Jan. 21, 2020",505.63M
"Jan. 14, 2020",518.10M
"Jan. 13, 2020",522.77M
"Jan. 10, 2020",543.59M
"Jan. 9, 2020",540.91M
"Jan. 3, 2020",562.03M
"Dec. 31, 2019",476.04M
"Dec. 20, 2019",499.35M
"Nov. 19, 2019",496.91M
"Nov. 18, 2019",495.85M
"Nov. 15, 2019",495.85M
"Nov. 12, 2019",496.00M
"Oct. 28, 2019",494.42M
"Oct. 27, 2019",482.61M
"Oct. 25, 2019",484.90M
"Oct. 24, 2019",511.16M
"Oct. 21, 2019",515.92M
"Oct. 16, 2019",524.03M
"Oct. 15, 2019",525.31M
"Oct. 14, 2019",529.38M
"Oct. 10, 2019",532.02M
"Oct. 7, 2019",543.91M
"Sept. 30, 2019",453.73M
"Sept. 20, 2019",461.83M
"Aug. 30, 2019",464.05M
"Aug. 16, 2019",464.05M
"Aug. 15, 2019",464.05M
"Aug. 12, 2019",464.10M
"July 29, 2019",467.77M
"July 26, 2019",485.04M
"July 23, 2019",496.19M
"July 22, 2019",496.18M
"July 18, 2019",496.21M
"July 17, 2019",497.98M
"July 15, 2019",509.45M
"July 10, 2019",513.52M
"July 8, 2019",522.52M
"June 30, 2019",476.10M
"June 20, 2019",492.51M
"June 17, 2019",492.17M
"June 14, 2019",493.27M
"May 23, 2019",497.52M
"May 13, 2019",500.31M
"May 10, 2019",504.64M
"April 29, 2019",506.56M
"April 26, 2019",498.51M
"April 22, 2019",515.03M
"April 17, 2019",521.01M
"April 16, 2019",529.21M
"April 12, 2019",527.45M
"April 11, 2019",523.61M
"April 10, 2019",529.46M
"March 31, 2019",674.71M
"March 22, 2019",670.20M
"March 18, 2019",678.18M
"March 13, 2019",692.68M
"March 12, 2019",669.10M
"March 5, 2019",669.10M
"March 4, 2019",669.45M
"Feb. 25, 2019",680.16M
"Feb. 22, 2019",684.00M
"Jan. 28, 2019",732.46M
"Jan. 25, 2019",732.48M
"Jan. 17, 2019",738.31M
"Jan. 16, 2019",738.31M
"Jan. 14, 2019",762.59M
"Jan. 9, 2019",784.81M
"Jan. 7, 2019",784.81M
"Dec. 31, 2018",659.51M
"Dec. 13, 2018",655.92M
"Dec. 11, 2018",610.15M
"Dec. 10, 2018",619.62M
"Dec. 4, 2018",616.00M
"Nov. 27, 2018",590.50M
"Nov. 26, 2018",568.17M
"Nov. 13, 2018",554.20M
"Oct. 29, 2018",564.40M
"Oct. 26, 2018",557.37M
"Oct. 23, 2018",558.47M
"Oct. 22, 2018",531.83M
"Oct. 18, 2018",537.17M
"Oct. 9, 2018",545.13M
"Sept. 30, 2018",482.74M
"Sept. 25, 2018",476.34M
"Sept. 24, 2018",479.82M
"Sept. 19, 2018",480.67M
"Aug. 13, 2018",473.69M
"Aug. 5, 2018",461.66M
"July 31, 2018",461.68M
"July 30, 2018",459.12M
"July 27, 2018",459.12M
"July 24, 2018",471.06M
"July 19, 2018",463.91M
"July 17, 2018",458.46M
"July 16, 2018",457.48M
"July 13, 2018",460.90M
"July 2, 2018",459.39M
"June 30, 2018",384.57M
"June 25, 2018",382.04M
"June 19, 2018",374.70M
"May 23, 2018",375.84M
"May 22, 2018",377.04M
"May 14, 2018",379.27M
"May 11, 2018",379.27M
"May 10, 2018",379.37M
"April 30, 2018",382.33M
"April 27, 2018",383.81M
"April 20, 2018",407.10M
"April 17, 2018",414.22M
"April 11, 2018",418.76M
"April 9, 2018",421.15M
"April 2, 2018",423.45M
"March 31, 2018",471.25M
"March 23, 2018",466.61M
"March 20, 2018",461.87M
"March 12, 2018",466.61M
"March 9, 2018",467.85M
"March 7, 2018",467.85M
"March 5, 2018",452.45M
"March 2, 2018",452.09M
"March 1, 2018",451.54M
"Feb. 27, 2018",443.12M
"Feb. 26, 2018",453.88M
"Feb. 23, 2018",458.82M
"Feb. 12, 2018",460.38M
"Jan. 26, 2018",464.69M
"Jan. 11, 2018",462.19M
"Jan. 4, 2018",469.74M
"Jan. 2, 2018",476.49M
