date,ebitda_margin_ttm
"Dec. 31, 2019",62.07%
"Sept. 30, 2019",64.29%
"June 30, 2019",62.66%
"March 31, 2019",57.13%
"Dec. 31, 2018",55.05%
"Sept. 30, 2018",50.65%
"June 30, 2018",51.17%
"March 31, 2018",57.39%
"Dec. 31, 2017",57.39%
"Sept. 30, 2017",55.76%
"June 30, 2017",55.03%
"March 31, 2017",49.04%
"Dec. 31, 2016",39.98%
"Sept. 30, 2016",37.75%
"June 30, 2016",37.67%
"March 31, 2016",40.99%
"Dec. 31, 2015",47.00%
"Sept. 30, 2015",13.23%
"June 30, 2015",22.36%
"March 31, 2015",31.01%
"Dec. 31, 2014",34.01%
"Sept. 30, 2014",68.75%
"June 30, 2014",69.20%
"March 31, 2014",69.52%
"Dec. 31, 2013",68.87%
"Sept. 30, 2013",65.97%
"June 30, 2013",64.44%
"March 31, 2013",64.05%
"Dec. 31, 2012",62.89%
"Sept. 30, 2012",65.93%
"June 30, 2012",65.20%
"March 31, 2012",66.49%
"Dec. 31, 2011",66.33%
"Sept. 30, 2011",72.98%
"June 30, 2011",70.74%
"March 31, 2011",66.44%
"Dec. 31, 2010",68.26%
"Sept. 30, 2010",56.26%
"June 30, 2010",62.65%
"March 31, 2010",60.57%
"Dec. 31, 2009",60.68%
"Sept. 30, 2009",60.15%
"June 30, 2009",59.78%
"March 31, 2009",59.87%
"Dec. 31, 2008",58.31%
"Sept. 30, 2008",59.77%
"June 30, 2008",56.86%
"March 31, 2008",58.94%
"Dec. 31, 2007",60.41%
"Sept. 30, 2007",59.40%
"June 30, 2007",90.99%
"March 31, 2007",89.65%
"Dec. 31, 2006",88.31%
"Sept. 30, 2006",87.47%
"June 30, 2006",58.34%
"March 31, 2006",57.80%
"Dec. 31, 2005",54.64%
"Sept. 30, 2005",53.01%
"June 30, 2005",53.23%
"March 31, 2005",51.44%
"Dec. 31, 2004",51.34%
"Sept. 30, 2004",50.51%
"June 30, 2004",51.28%
"March 31, 2004",50.10%
"Dec. 31, 2003",33.77%
"Sept. 30, 2003",32.23%
"June 30, 2003",27.86%
"March 31, 2003",24.25%
"Dec. 31, 2002",42.95%
"Sept. 30, 2002",37.93%
"June 30, 2002",36.31%
"March 31, 2002",37.22%
"Dec. 31, 2001",43.15%
"Sept. 30, 2001",49.11%
"June 30, 2001",47.71%
"March 31, 2001",45.63%
"Dec. 31, 2000",38.82%
"Sept. 30, 2000",27.82%
"June 30, 2000",29.31%
"March 31, 2000",32.66%
"Dec. 31, 1999",34.02%
"Sept. 30, 1999",31.27%
"June 30, 1999",27.88%
"March 31, 1999",27.33%
"Dec. 31, 1998",28.58%
"Sept. 30, 1998",48.27%
"June 30, 1998",52.45%
"March 31, 1998",53.33%
"Dec. 31, 1997",57.21%
"Sept. 30, 1997",57.55%
"June 30, 1997",57.30%
"March 31, 1997",57.41%
"Dec. 31, 1996",56.04%
"Sept. 30, 1996",112.4%
"June 30, 1996",39.97%
"March 31, 1996",33.50%
"Dec. 31, 1995",26.46%
"Sept. 30, 1995",-24.67%
"June 30, 1995",27.51%
"March 31, 1995",28.47%
"Dec. 31, 1994",30.03%
"Sept. 30, 1994",29.16%
"June 30, 1994",34.44%
"March 31, 1994",35.56%
"Dec. 31, 1993",36.74%
"Sept. 30, 1993",38.08%
"June 30, 1993",32.40%
"March 31, 1993",32.72%
"Dec. 31, 1992",32.61%
"Sept. 30, 1992",31.13%
"June 30, 1992",30.10%
"March 31, 1992",26.68%
"Dec. 31, 1991",33.48%
"Sept. 30, 1991",37.99%
"June 30, 1991",36.34%
"March 31, 1991",38.77%
"Dec. 31, 1990",33.36%
"Sept. 30, 1990",48.75%
"June 30, 1990",-26.17%
"March 31, 1990",-5.43%
"Dec. 31, 1989",8.77%
"Sept. 30, 1989",9.44%
