date,max_drawdown_all
"Feb. 29, 2020",74.42%
"Jan. 31, 2020",74.42%
"Dec. 31, 2019",74.42%
"Nov. 30, 2019",74.42%
"Oct. 31, 2019",74.42%
"Sept. 30, 2019",74.42%
"Aug. 31, 2019",74.42%
"July 31, 2019",74.42%
"June 30, 2019",74.42%
"May 31, 2019",74.42%
"April 30, 2019",74.42%
"March 31, 2019",74.42%
"Feb. 28, 2019",74.42%
"Jan. 31, 2019",74.42%
"Dec. 31, 2018",74.42%
"Nov. 30, 2018",74.42%
"Oct. 31, 2018",74.42%
"Sept. 30, 2018",74.42%
"Aug. 31, 2018",74.42%
"July 31, 2018",74.42%
"June 30, 2018",74.42%
"May 31, 2018",74.42%
"April 30, 2018",74.42%
"March 31, 2018",74.42%
"Feb. 28, 2018",74.42%
"Jan. 31, 2018",74.42%
"Dec. 31, 2017",74.42%
"Nov. 30, 2017",74.42%
"Oct. 31, 2017",74.42%
"Sept. 30, 2017",74.42%
"Aug. 31, 2017",74.42%
"July 31, 2017",74.42%
"June 30, 2017",74.42%
"May 31, 2017",74.42%
"April 30, 2017",74.42%
"March 31, 2017",74.42%
"Feb. 28, 2017",74.42%
"Jan. 31, 2017",74.42%
"Dec. 31, 2016",74.42%
"Nov. 30, 2016",74.42%
"Oct. 31, 2016",74.42%
"Sept. 30, 2016",74.42%
"Aug. 31, 2016",74.42%
"July 31, 2016",74.42%
"June 30, 2016",74.42%
"May 31, 2016",74.42%
"April 30, 2016",74.42%
"March 31, 2016",74.42%
"Feb. 29, 2016",74.42%
"Jan. 31, 2016",74.42%
"Dec. 31, 2015",74.42%
"Nov. 30, 2015",74.42%
"Oct. 31, 2015",74.42%
"Sept. 30, 2015",74.42%
"Aug. 31, 2015",74.42%
"July 31, 2015",74.42%
"June 30, 2015",74.42%
"May 31, 2015",74.42%
"April 30, 2015",74.42%
"March 31, 2015",74.42%
"Feb. 28, 2015",74.42%
"Jan. 31, 2015",74.42%
"Dec. 31, 2014",74.42%
"Nov. 30, 2014",74.42%
"Oct. 31, 2014",74.42%
"Sept. 30, 2014",74.42%
"Aug. 31, 2014",74.42%
"July 31, 2014",74.42%
"June 30, 2014",74.42%
"May 31, 2014",74.42%
"April 30, 2014",74.42%
"March 31, 2014",74.42%
"Feb. 28, 2014",74.42%
"Jan. 31, 2014",74.42%
"Dec. 31, 2013",74.42%
"Nov. 30, 2013",74.42%
"Oct. 31, 2013",74.42%
"Sept. 30, 2013",74.42%
"Aug. 31, 2013",74.42%
"July 31, 2013",74.42%
"June 30, 2013",74.42%
"May 31, 2013",74.42%
"April 30, 2013",74.42%
"March 31, 2013",74.42%
"Feb. 28, 2013",74.42%
"Jan. 31, 2013",74.42%
"Dec. 31, 2012",74.42%
"Nov. 30, 2012",74.42%
"Oct. 31, 2012",74.42%
"Sept. 30, 2012",74.42%
"Aug. 31, 2012",74.42%
"July 31, 2012",74.42%
"June 30, 2012",74.42%
"May 31, 2012",74.42%
"April 30, 2012",74.42%
"March 31, 2012",74.42%
"Feb. 29, 2012",74.42%
"Jan. 31, 2012",74.42%
"Dec. 31, 2011",74.42%
"Nov. 30, 2011",74.42%
"Oct. 31, 2011",74.42%
"Sept. 30, 2011",74.42%
"Aug. 31, 2011",74.42%
"July 31, 2011",74.42%
"June 30, 2011",74.42%
"May 31, 2011",74.42%
"April 30, 2011",74.42%
"March 31, 2011",74.42%
"Feb. 28, 2011",74.42%
"Jan. 31, 2011",74.42%
"Dec. 31, 2010",74.42%
"Nov. 30, 2010",74.42%
"Oct. 31, 2010",74.42%
"Sept. 30, 2010",74.42%
"Aug. 31, 2010",74.42%
"July 31, 2010",74.42%
"June 30, 2010",74.42%
"May 31, 2010",74.42%
"April 30, 2010",74.42%
"March 31, 2010",74.42%
"Feb. 28, 2010",74.42%
"Jan. 31, 2010",74.42%
"Dec. 31, 2009",74.42%
"Nov. 30, 2009",74.42%
"Oct. 31, 2009",74.42%
"Sept. 30, 2009",74.42%
"Aug. 31, 2009",74.42%
"July 31, 2009",74.42%
"June 30, 2009",74.42%
"May 31, 2009",74.42%
"April 30, 2009",74.42%
"March 31, 2009",74.42%
"Feb. 28, 2009",71.44%
"Jan. 31, 2009",70.01%
"Dec. 31, 2008",70.01%
"Nov. 30, 2008",70.01%
