date,assets
"Dec. 31, 2019",4.487B
"Sept. 30, 2019",4.443B
"June 30, 2019",4.564B
"March 31, 2019",4.482B
"Dec. 31, 2018",4.199B
"Sept. 30, 2018",4.179B
"June 30, 2018",4.397B
"March 31, 2018",4.538B
"Dec. 31, 2017",4.727B
"Sept. 30, 2017",5.129B
"June 30, 2017",5.219B
"March 31, 2017",5.244B
"Dec. 31, 2016",5.123B
"Sept. 30, 2016",5.532B
"June 30, 2016",5.570B
"March 31, 2016",5.703B
"Dec. 31, 2015",5.253B
"Sept. 30, 2015",5.485B
"June 30, 2015",5.505B
"March 31, 2015",5.512B
"Dec. 31, 2014",5.438B
"Sept. 30, 2014",5.807B
"June 30, 2014",5.209B
"March 31, 2014",5.146B
"Dec. 31, 2013",4.981B
"Sept. 30, 2013",5.031B
"June 30, 2013",5.018B
"March 31, 2013",4.688B
"Dec. 31, 2012",4.616B
"Sept. 30, 2012",4.483B
"June 30, 2012",4.410B
"March 31, 2012",4.403B
"Dec. 31, 2011",4.331B
"Sept. 30, 2011",4.472B
"June 30, 2011",4.250B
"March 31, 2011",4.048B
"Dec. 31, 2010",4.005B
"June 30, 2010",3.870B
"March 31, 2010",3.812B
"Dec. 31, 2009",3.683B
"Sept. 30, 2009",3.589B
"June 30, 2009",3.624B
"March 31, 2009",3.749B
"Dec. 31, 2008",3.702B
"Sept. 30, 2008",3.538B
"June 30, 2008",2.718B
"March 31, 2008",2.330B
"Dec. 31, 2007",2.209B
"Sept. 30, 2007",2.077B
"June 30, 2007",1.969B
"March 31, 2007",1.843B
"Dec. 31, 2006",1.834B
"Sept. 30, 2006",1.980B
"June 30, 2006",1.628B
"March 31, 2006",1.507B
"Dec. 31, 2005",1.495B
"Sept. 30, 2005",1.416B
"June 30, 2005",1.280B
"March 31, 2005",1.252B
"Dec. 31, 2004",1.211B
"Sept. 30, 2004",1.178B
"June 30, 2004",1.137B
"March 31, 2004",1.065B
"Dec. 31, 2003",1.055B
"Sept. 30, 2003",1.020B
"June 30, 2003",1.007B
"March 31, 2003",1.014B
"Dec. 31, 2002",1.071B
"Sept. 30, 2002",1.051B
"June 30, 2002",1.065B
"March 31, 2002",1.066B
"Dec. 31, 2001",1.069B
"Sept. 30, 2001",1.093B
"June 30, 2001",772.93M
"March 31, 2001",745.09M
"Dec. 31, 2000",735.63M
"Sept. 30, 2000",697.37M
"June 30, 2000",675.23M
"March 31, 2000",652.09M
"Dec. 31, 1999",659.50M
"Sept. 30, 1999",694.70M
"June 30, 1999",682.50M
"March 31, 1999",694.70M
"Dec. 31, 1998",704.20M
"Sept. 30, 1998",596.90M
"June 30, 1998",578.30M
"March 31, 1998",548.50M
"Dec. 31, 1997",541.80M
"Sept. 30, 1997",561.20M
"June 30, 1997",533.20M
"March 31, 1997",533.80M
"Dec. 31, 1996",561.30M
"Sept. 30, 1996",527.10M
"June 30, 1996",521.60M
"March 31, 1996",539.60M
"Dec. 31, 1995",528.20M
"Sept. 30, 1995",511.60M
"June 30, 1995",647.60M
"March 31, 1995",664.50M
"Dec. 31, 1994",688.40M
"Sept. 30, 1994",681.10M
"June 30, 1994",669.60M
"March 31, 1994",445.90M
"Dec. 31, 1993",445.00M
"Sept. 30, 1993",433.00M
"June 30, 1993",375.30M
"March 31, 1993",340.90M
"Dec. 31, 1992",348.70M
"Sept. 30, 1992",332.20M
"June 30, 1992",324.10M
"March 31, 1992",322.00M
"Dec. 31, 1991",334.30M
"Sept. 30, 1991",321.40M
"June 30, 1991",313.20M
"March 31, 1991",316.30M
"Dec. 31, 1990",317.20M
"Sept. 30, 1990",302.10M
"June 30, 1990",297.70M
"March 31, 1990",302.20M
"Sept. 30, 1989",289.50M
