date,gross_profit_margin
"Dec. 31, 2019",39.80%
"Sept. 30, 2019",35.74%
"June 30, 2019",52.08%
"March 31, 2019",61.36%
"Dec. 31, 2018",59.12%
"Sept. 30, 2018",33.76%
"June 30, 2018",34.98%
"March 31, 2018",53.66%
"Dec. 31, 2017",27.15%
"Sept. 30, 2017",23.92%
"June 30, 2017",35.81%
"March 31, 2017",44.53%
"Dec. 31, 2016",10.99%
"Sept. 30, 2016",12.15%
"June 30, 2016",-14.90%
"March 31, 2016",-6.45%
"Dec. 31, 2015",-4.22%
"Sept. 30, 2015",6.88%
"June 30, 2015",5.38%
"March 31, 2015",27.60%
"Dec. 31, 2014",48.69%
"Sept. 30, 2014",44.64%
"June 30, 2014",46.70%
"March 31, 2014",46.47%
"Dec. 31, 2013",38.41%
"Sept. 30, 2013",38.37%
"June 30, 2013",44.91%
"March 31, 2013",37.11%
"Dec. 31, 2012",45.13%
"Sept. 30, 2012",40.24%
"June 30, 2012",31.75%
"March 31, 2012",33.93%
"Dec. 31, 2011",-52.51%
"Sept. 30, 2011",78.92%
"June 30, 2011",79.87%
"March 31, 2011",70.56%
"Dec. 31, 2010",-67.06%
"Sept. 30, 2010",81.40%
"June 30, 2010",79.57%
"March 31, 2010",73.90%
"Dec. 31, 2009",95.73%
"Sept. 30, 2009",78.17%
"June 30, 2009",78.44%
"March 31, 2009",73.63%
"Dec. 31, 2008",85.76%
"Sept. 30, 2008",78.65%
"June 30, 2008",78.27%
"March 31, 2008",75.94%
"Dec. 31, 2007",67.81%
"Sept. 30, 2007",74.84%
"June 30, 2007",76.18%
"March 31, 2007",73.13%
"Dec. 31, 2006",69.60%
"Sept. 30, 2006",73.62%
"June 30, 2006",74.76%
"March 31, 2006",72.77%
"Dec. 31, 2005",70.39%
"Sept. 30, 2005",70.66%
"June 30, 2005",74.08%
"March 31, 2005",60.24%
"Dec. 31, 2004",66.50%
"Sept. 30, 2004",73.29%
"June 30, 2004",69.70%
"March 31, 2004",58.32%
"Dec. 31, 2003",59.42%
"Sept. 30, 2003",66.63%
"June 30, 2003",59.74%
"March 31, 2003",61.32%
"Dec. 31, 2002",58.37%
"Sept. 30, 2002",63.50%
"June 30, 2002",55.73%
"March 31, 2002",53.43%
"Dec. 31, 2001",35.45%
"Sept. 30, 2001",57.15%
"June 30, 2001",51.68%
"March 31, 2001",64.73%
"Dec. 31, 2000",56.50%
"Sept. 30, 2000",47.88%
"June 30, 2000",39.22%
"March 31, 2000",43.39%
"Dec. 31, 1999",27.98%
"Sept. 30, 1999",74.78%
"June 30, 1999",75.89%
"March 31, 1999",70.18%
"Dec. 31, 1998",19.39%
"Sept. 30, 1998",60.70%
"June 30, 1998",74.82%
"March 31, 1998",73.26%
"Dec. 31, 1997",76.01%
"Sept. 30, 1997",73.53%
"June 30, 1997",73.10%
"March 31, 1997",79.73%
"Dec. 31, 1996",75.36%
"Sept. 30, 1996",70.14%
"June 30, 1996",72.39%
"March 31, 1996",77.67%
"Dec. 31, 1995",
"Sept. 30, 1995",-196.0%
"June 30, 1995",40.08%
"March 31, 1995",39.07%
"Dec. 31, 1994",40.85%
"Sept. 30, 1994",41.94%
"June 30, 1994",43.01%
"March 31, 1994",42.86%
"Dec. 31, 1993",49.90%
"Sept. 30, 1993",77.01%
"June 30, 1993",49.73%
"March 31, 1993",50.11%
"Dec. 31, 1992",54.34%
"Sept. 30, 1992",51.40%
"June 30, 1992",54.42%
"March 31, 1992",53.13%
"Dec. 31, 1991",39.25%
"Sept. 30, 1991",55.20%
"June 30, 1991",50.71%
"March 31, 1991",76.35%
"Dec. 31, 1990",65.77%
"Sept. 30, 1990",17.05%
"June 30, 1990",54.77%
"March 31, 1990",58.85%
