date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",5.407
"Sept. 30, 2019",5.426
"June 30, 2019",5.604
"March 31, 2019",5.482
"Dec. 31, 2018",4.940
"Sept. 30, 2018",4.825
"June 30, 2018",4.883
"March 31, 2018",5.314
"Dec. 31, 2017",5.480
"Sept. 30, 2017",5.718
"June 30, 2017",5.713
"March 31, 2017",5.815
"Dec. 31, 2016",5.520
"Sept. 30, 2016",6.156
"June 30, 2016",6.186
"March 31, 2016",6.331
"Dec. 31, 2015",4.855
"Sept. 30, 2015",5.126
"June 30, 2015",5.186
"March 31, 2015",5.260
"Dec. 31, 2014",5.188
"Sept. 30, 2014",5.726
"June 30, 2014",5.756
"March 31, 2014",5.437
"Dec. 31, 2013",5.294
"Sept. 30, 2013",5.530
"June 30, 2013",5.434
"March 31, 2013",5.037
"Dec. 31, 2012",5.074
"Sept. 30, 2012",5.004
"June 30, 2012",5.085
"March 31, 2012",5.073
"Dec. 31, 2011",5.045
"Sept. 30, 2011",4.898
"June 30, 2011",4.714
"March 31, 2011",4.523
"Dec. 31, 2010",4.501
"Sept. 30, 2010",
"June 30, 2010",4.432
"March 31, 2010",4.461
"Dec. 31, 2009",4.372
"Sept. 30, 2009",4.399
"June 30, 2009",4.430
"March 31, 2009",4.516
"Dec. 31, 2008",4.331
"Sept. 30, 2008",4.034
"June 30, 2008",3.143
"March 31, 2008",2.720
"Dec. 31, 2007",2.756
"Sept. 30, 2007",2.708
"June 30, 2007",2.626
"March 31, 2007",2.492
"Dec. 31, 2006",2.456
"Sept. 30, 2006",2.374
"June 30, 2006",1.844
"March 31, 2006",1.731
"Dec. 31, 2005",1.545
"Sept. 30, 2005",1.282
"June 30, 2005",1.318
"March 31, 2005",1.190
"Dec. 31, 2004",1.146
"Sept. 30, 2004",1.033
"June 30, 2004",1.003
"March 31, 2004",0.9549
"Dec. 31, 2003",0.9353
"Sept. 30, 2003",0.9218
"June 30, 2003",0.8179
"March 31, 2003",0.7829
"Dec. 31, 2002",0.9094
"Sept. 30, 2002",0.9202
"June 30, 2002",0.9009
"March 31, 2002",0.885
"Dec. 31, 2001",0.9052
"Sept. 30, 2001",0.9564
"June 30, 2001",0.8756
"March 31, 2001",0.7937
"Dec. 31, 2000",0.6923
"Sept. 30, 2000",0.6284
"June 30, 2000",0.6114
"March 31, 2000",0.6333
"Dec. 31, 1999",0.6198
"Sept. 30, 1999",0.6059
"June 30, 1999",0.595
"March 31, 1999",0.6037
"Dec. 31, 1998",0.6171
"Sept. 30, 1998",0.6152
"June 30, 1998",0.6389
"March 31, 1998",0.6319
"Dec. 31, 1997",0.6216
"Sept. 30, 1997",0.6323
"June 30, 1997",0.624
"March 31, 1997",0.6185
"Dec. 31, 1996",0.5854
"Sept. 30, 1996",0.5655
"June 30, 1996",0.5574
"March 31, 1996",0.5575
"Dec. 31, 1995",0.5399
"Sept. 30, 1995",0.5634
"June 30, 1995",0.8342
"March 31, 1995",0.8562
"Dec. 31, 1994",0.8899
"Sept. 30, 1994",0.9029
"June 30, 1994",0.9225
"March 31, 1994",0.6375
"Dec. 31, 1993",0.6218
"Sept. 30, 1993",0.6252
"June 30, 1993",0.6413
"March 31, 1993",0.4946
"Dec. 31, 1992",0.482
"Sept. 30, 1992",0.4783
"June 30, 1992",0.4807
"March 31, 1992",0.4942
"Dec. 31, 1991",0.4856
"Sept. 30, 1991",0.4901
"June 30, 1991",0.5007
"March 31, 1991",0.5113
"Dec. 31, 1990",0.4966
"Sept. 30, 1990",0.4681
"June 30, 1990",0.4852
"March 31, 1990",0.482
"Dec. 31, 1989",
"Sept. 30, 1989",0.7533
