date,eps_growth
"Dec. 31, 2019",-43.75%
"Sept. 30, 2019",-21.43%
"June 30, 2019",377.8%
"March 31, 2019",148.0%
"Dec. 31, 2018",
"Sept. 30, 2018",600.0%
"June 30, 2018",80.00%
"March 31, 2018",8.70%
"Dec. 31, 2017",
"Sept. 30, 2017",
"June 30, 2017",
"March 31, 2017",
"Dec. 31, 2016",
"Sept. 30, 2016",
"June 30, 2016",
"March 31, 2016",
"Dec. 31, 2015",
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",-61.54%
"Dec. 31, 2014",
"Sept. 30, 2014",41.18%
"June 30, 2014",33.33%
"March 31, 2014",160.0%
"Dec. 31, 2013",100.0%
"Sept. 30, 2013",88.89%
"June 30, 2013",147.1%
"March 31, 2013",122.2%
"Dec. 31, 2012",46.15%
"Sept. 30, 2012",28.57%
"June 30, 2012",-34.62%
"March 31, 2012",50.00%
"Dec. 31, 2011",-43.48%
"Sept. 30, 2011",600.0%
"June 30, 2011",147.6%
"March 31, 2011",-55.56%
"Dec. 31, 2010",31.43%
"Sept. 30, 2010",-89.19%
"June 30, 2010",-12.50%
"March 31, 2010",-41.30%
"Dec. 31, 2009",-16.67%
"Sept. 30, 2009",-42.19%
"June 30, 2009",-56.36%
"March 31, 2009",0.00%
"Dec. 31, 2008",-2.33%
"Sept. 30, 2008",77.78%
"June 30, 2008",30.95%
"March 31, 2008",84.00%
"Dec. 31, 2007",27.18%
"Sept. 30, 2007",-62.50%
"June 30, 2007",78.72%
"March 31, 2007",-53.70%
"Dec. 31, 2006",-42.70%
"Sept. 30, 2006",182.4%
"June 30, 2006",-33.80%
"March 31, 2006",285.7%
"Dec. 31, 2005",172.3%
"Sept. 30, 2005",183.3%
"June 30, 2005",173.1%
"March 31, 2005",-27.59%
"Dec. 31, 2004",6.56%
"Sept. 30, 2004",-48.57%
"June 30, 2004",-29.09%
"March 31, 2004",
"Dec. 31, 2003",454.5%
"Sept. 30, 2003",268.4%
"June 30, 2003",685.8%
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",-40.63%
"June 30, 2002",-84.45%
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",356.9%
"June 30, 2001",
"March 31, 2001",633.3%
"Dec. 31, 2000",215.2%
"Sept. 30, 2000",39.99%
"June 30, 2000",
"March 31, 2000",
"Dec. 31, 1999",
"Sept. 30, 1999",
"June 30, 1999",-95.04%
"March 31, 1999",
"Dec. 31, 1998",
"Sept. 30, 1998",
"June 30, 1998",0.00%
"March 31, 1998",-71.43%
"Dec. 31, 1997",41.21%
"Sept. 30, 1997",-23.08%
"June 30, 1997",124.9%
"March 31, 1997",82.62%
"Dec. 31, 1996",
"Sept. 30, 1996",
"June 30, 1996",
"March 31, 1996",
"Dec. 31, 1995",
"Sept. 30, 1995",
"June 30, 1995",
"March 31, 1995",
"Dec. 31, 1994",
"Sept. 30, 1994",
"June 30, 1994",
"March 31, 1994",21.06%
"Dec. 31, 1993",-53.21%
"Sept. 30, 1993",
"June 30, 1993",
"March 31, 1993",35.70%
"Dec. 31, 1992",
"Sept. 30, 1992",
"June 30, 1992",
"March 31, 1992",-33.33%
"Dec. 31, 1991",
"Sept. 30, 1991",
"June 30, 1991",
"March 31, 1991",-40.00%
"Dec. 31, 1990",16.66%
"Sept. 30, 1990",
"June 30, 1990",-93.55%
"March 31, 1990",12.91%
"Dec. 31, 1989",-3.22%
