date,net_income_ttm
"Dec. 31, 2019",681.07M
"Sept. 30, 2019",809.18M
"June 30, 2019",841.15M
"March 31, 2019",702.58M
"Dec. 31, 2018",557.04M
"Sept. 30, 2018",237.56M
"June 30, 2018",132.81M
"March 31, 2018",111.90M
"Dec. 31, 2017",100.39M
"Sept. 30, 2017",-147.93M
"June 30, 2017",-175.77M
"March 31, 2017",-260.21M
"Dec. 31, 2016",-417.12M
"Sept. 30, 2016",-235.49M
"June 30, 2016",-240.74M
"March 31, 2016",-205.34M
"Dec. 31, 2015",-113.89M
"Sept. 30, 2015",-224.54M
"June 30, 2015",-108.24M
"March 31, 2015",37.69M
"Dec. 31, 2014",104.47M
"Sept. 30, 2014",404.18M
"June 30, 2014",373.29M
"March 31, 2014",343.98M
"Dec. 31, 2013",279.77M
"Sept. 30, 2013",242.69M
"June 30, 2013",209.41M
"March 31, 2013",156.24M
"Dec. 31, 2012",131.73M
"Sept. 30, 2012",117.23M
"June 30, 2012",109.10M
"March 31, 2012",127.84M
"Dec. 31, 2011",122.41M
"Sept. 30, 2011",145.15M
"June 30, 2011",120.57M
"March 31, 2011",87.58M
"Dec. 31, 2010",103.38M
"Sept. 30, 2010",90.64M
"June 30, 2010",125.64M
"March 31, 2010",129.46M
"Dec. 31, 2009",148.34M
"Sept. 30, 2009",155.68M
"June 30, 2009",183.77M
"March 31, 2009",212.90M
"Dec. 31, 2008",211.29M
"Sept. 30, 2008",209.64M
"June 30, 2008",178.10M
"March 31, 2008",164.85M
"Dec. 31, 2007",167.42M
"Sept. 30, 2007",157.90M
"June 30, 2007",311.47M
"March 31, 2007",316.96M
"Dec. 31, 2006",321.58M
"Sept. 30, 2006",347.55M
"June 30, 2006",192.29M
"March 31, 2006",180.85M
"Dec. 31, 2005",148.44M
"Sept. 30, 2005",122.17M
"June 30, 2005",106.23M
"March 31, 2005",90.13M
"Dec. 31, 2004",88.38M
"Sept. 30, 2004",75.93M
"June 30, 2004",80.78M
"March 31, 2004",79.37M
"Dec. 31, 2003",21.13M
"Sept. 30, 2003",10.00M
"June 30, 2003",-6.54M
"March 31, 2003",-22.32M
"Dec. 31, 2002",16.10M
"Sept. 30, 2002",-8.153M
"June 30, 2002",-4.247M
"March 31, 2002",7.225M
"Dec. 31, 2001",47.08M
"Sept. 30, 2001",79.76M
"June 30, 2001",75.86M
"March 31, 2001",59.19M
"Dec. 31, 2000",25.47M
"Sept. 30, 2000",13.90M
"June 30, 2000",12.26M
"March 31, 2000",16.30M
"Dec. 31, 1999",8.56M
"Sept. 30, 1999",3.06M
"June 30, 1999",-3.14M
"March 31, 1999",-1.00M
"Dec. 31, 1998",5.20M
"Sept. 30, 1998",15.40M
"June 30, 1998",20.80M
"March 31, 1998",21.00M
"Dec. 31, 1997",28.30M
"Sept. 30, 1997",25.60M
"June 30, 1997",26.30M
"March 31, 1997",25.20M
"Dec. 31, 1996",20.70M
"Sept. 30, 1996",9.20M
"June 30, 1996",-67.10M
"March 31, 1996",-73.20M
"Dec. 31, 1995",-86.60M
"Sept. 30, 1995",-84.40M
"June 30, 1995",-15.50M
"March 31, 1995",-13.00M
"Dec. 31, 1994",-1.00M
"Sept. 30, 1994",2.10M
"June 30, 1994",2.30M
"March 31, 1994",4.90M
"Dec. 31, 1993",3.60M
"Sept. 30, 1993",4.00M
"June 30, 1993",7.00M
"March 31, 1993",3.40M
"Dec. 31, 1992",2.30M
"Sept. 30, 1992",0.30M
"June 30, 1992",-1.70M
"March 31, 1992",-1.20M
"Dec. 31, 1991",1.30M
"Sept. 30, 1991",10.00M
"June 30, 1991",11.30M
"March 31, 1991",14.80M
"Dec. 31, 1990",17.30M
"Sept. 30, 1990",14.60M
"June 30, 1990",21.50M
"March 31, 1990",26.30M
"Dec. 31, 1989",24.90M
"Sept. 30, 1989",25.60M
