date,total_employee_number
"Dec. 31, 2019",547
"Dec. 31, 2018",483
"Dec. 31, 2017",468
"Dec. 31, 2016",421
"Dec. 31, 2015",624
"Dec. 31, 2014",691
"Dec. 31, 2013",684
"Dec. 31, 2012",589
"Dec. 31, 2011",529
"Dec. 31, 2010",409
"Dec. 31, 2009",567
"Sept. 30, 2009",560
"Dec. 31, 2008",560
"Dec. 31, 2007",404
"Dec. 31, 2006",374
"Dec. 31, 2005",354
"Dec. 31, 2004",346
"Dec. 31, 2003",336
"Dec. 31, 2002",347
"Dec. 31, 2001",366
"Dec. 31, 2000",323
"Dec. 31, 1999",332
"Dec. 31, 1998",365
"Dec. 31, 1997",342
"Dec. 31, 1996",360
"Dec. 31, 1995",359
"Dec. 31, 1994",495
"Dec. 31, 1993",433
"Dec. 31, 1992",410
"Dec. 31, 1991",442
"Sept. 30, 1990",485
