date,f_score_ttm
"Dec. 31, 2019",4.00
"Sept. 30, 2019",5.00
"June 30, 2019",8.00
"March 31, 2019",9.00
"Dec. 31, 2018",8.00
"Sept. 30, 2018",8.00
"June 30, 2018",6.00
"March 31, 2018",7.00
"Dec. 31, 2017",7.00
"Sept. 30, 2017",7.00
"June 30, 2017",6.00
"March 31, 2017",8.00
"Dec. 31, 2016",4.00
"Sept. 30, 2016",7.00
"June 30, 2016",2.00
"March 31, 2016",3.00
"Dec. 31, 2015",4.00
"Sept. 30, 2015",2.00
"June 30, 2015",3.00
"March 31, 2015",4.00
"Dec. 31, 2014",5.00
"Sept. 30, 2014",8.00
"June 30, 2014",8.00
"March 31, 2014",7.00
"Dec. 31, 2013",7.00
"Sept. 30, 2013",5.00
"June 30, 2013",7.00
"March 31, 2013",6.00
"Dec. 31, 2012",9.00
"Sept. 30, 2012",6.00
"June 30, 2012",4.00
"March 31, 2012",7.00
"Dec. 31, 2011",3.00
"Sept. 30, 2011",7.00
"June 30, 2011",7.00
"March 31, 2011",2.00
"Dec. 31, 2010",
"Sept. 30, 2010",
"June 30, 2010",2.00
"March 31, 2010",3.00
"Dec. 31, 2009",3.00
"Sept. 30, 2009",1.00
"June 30, 2009",3.00
"March 31, 2009",4.00
"Dec. 31, 2008",4.00
"Sept. 30, 2008",6.00
"June 30, 2008",7.00
"March 31, 2008",3.00
"Dec. 31, 2007",6.00
"Sept. 30, 2007",5.00
"June 30, 2007",4.00
"March 31, 2007",3.00
"Dec. 31, 2006",3.00
"Sept. 30, 2006",7.00
"June 30, 2006",7.00
"March 31, 2006",8.00
"Dec. 31, 2005",9.00
"Sept. 30, 2005",6.00
"June 30, 2005",9.00
"March 31, 2005",5.00
"Dec. 31, 2004",8.00
"Sept. 30, 2004",5.00
"June 30, 2004",5.00
"March 31, 2004",6.00
"Dec. 31, 2003",7.00
"Sept. 30, 2003",8.00
"June 30, 2003",7.00
"March 31, 2003",6.00
"Dec. 31, 2002",7.00
"Sept. 30, 2002",3.00
"June 30, 2002",3.00
"March 31, 2002",3.00
"Dec. 31, 2001",1.00
"Sept. 30, 2001",7.00
"June 30, 2001",9.00
"March 31, 2001",7.00
"Dec. 31, 2000",7.00
"Sept. 30, 2000",6.00
"June 30, 2000",4.00
"March 31, 2000",6.00
"Dec. 31, 1999",6.00
"Sept. 30, 1999",6.00
"June 30, 1999",2.00
"March 31, 1999",2.00
"Dec. 31, 1998",4.00
"Sept. 30, 1998",1.00
"June 30, 1998",3.00
"March 31, 1998",2.00
"Dec. 31, 1997",7.00
"Sept. 30, 1997",5.00
"June 30, 1997",6.00
"March 31, 1997",7.00
"Dec. 31, 1996",
"Sept. 30, 1996",
"June 30, 1996",5.00
"March 31, 1996",6.00
"Dec. 31, 1995",3.00
"Sept. 30, 1995",4.00
"June 30, 1995",1.00
"March 31, 1995",2.00
"Dec. 31, 1994",2.00
"Sept. 30, 1994",2.00
"June 30, 1994",3.00
"March 31, 1994",6.00
"Dec. 31, 1993",2.00
"Sept. 30, 1993",4.00
"June 30, 1993",6.00
"March 31, 1993",4.00
"Dec. 31, 1992",6.00
"Sept. 30, 1992",5.00
"June 30, 1992",5.00
"March 31, 1992",1.00
"Dec. 31, 1991",2.00
