date,cash_financing_ttm
"Dec. 31, 2019",-690.38M
"Sept. 30, 2019",-858.47M
"June 30, 2019",-1.056B
"March 31, 2019",-1.124B
"Dec. 31, 2018",-1.289B
"Sept. 30, 2018",-988.63M
"June 30, 2018",-586.44M
"March 31, 2018",-438.57M
"Dec. 31, 2017",-210.50M
"Sept. 30, 2017",-139.16M
"June 30, 2017",-145.09M
"March 31, 2017",-126.63M
"Dec. 31, 2016",453.80M
"Sept. 30, 2016",433.98M
"June 30, 2016",491.53M
"March 31, 2016",666.20M
"Dec. 31, 2015",223.30M
"Sept. 30, 2015",357.71M
"June 30, 2015",600.38M
"March 31, 2015",466.01M
"Dec. 31, 2014",425.96M
"Sept. 30, 2014",139.53M
"June 30, 2014",-117.86M
"March 31, 2014",-68.82M
"Dec. 31, 2013",-113.66M
"Sept. 30, 2013",88.32M
"June 30, 2013",159.93M
"March 31, 2013",94.31M
"Dec. 31, 2012",114.25M
"Sept. 30, 2012",-165.32M
"June 30, 2012",-144.51M
"March 31, 2012",-58.21M
"Dec. 31, 2011",-40.26M
"Sept. 30, 2011",96.08M
"June 30, 2011",55.41M
"March 31, 2011",113.63M
"Dec. 31, 2010",144.62M
"Sept. 30, 2010",259.62M
"June 30, 2010",199.25M
"March 31, 2010",28.84M
"Dec. 31, 2009",-70.97M
"Sept. 30, 2009",-22.22M
"June 30, 2009",533.74M
"March 31, 2009",810.54M
"Dec. 31, 2008",827.44M
"Sept. 30, 2008",814.11M
"June 30, 2008",311.15M
"March 31, 2008",135.04M
"Dec. 31, 2007",104.43M
"Sept. 30, 2007",-79.16M
"June 30, 2007",-106.38M
"March 31, 2007",-102.24M
"Dec. 31, 2006",-138.52M
"Sept. 30, 2006",31.29M
"June 30, 2006",34.85M
"March 31, 2006",3.866M
"Dec. 31, 2005",48.19M
"Sept. 30, 2005",27.11M
"June 30, 2005",-14.17M
"March 31, 2005",-12.33M
"Dec. 31, 2004",-8.363M
"Sept. 30, 2004",-14.27M
"June 30, 2004",-24.13M
"March 31, 2004",-57.52M
"Dec. 31, 2003",-90.66M
"Sept. 30, 2003",-106.61M
"June 30, 2003",-92.97M
"March 31, 2003",-72.98M
"Dec. 31, 2002",-27.36M
"Sept. 30, 2002",26.08M
"June 30, 2002",208.52M
"March 31, 2002",211.77M
"Dec. 31, 2001",126.95M
"Sept. 30, 2001",97.56M
"June 30, 2001",-70.24M
"March 31, 2001",-48.40M
"Dec. 31, 2000",2.952M
"Sept. 30, 2000",-35.89M
"June 30, 2000",-63.68M
"March 31, 2000",-89.72M
"Dec. 31, 1999",-55.70M
"Sept. 30, 1999",80.00M
"June 30, 1999",110.00M
"March 31, 1999",146.60M
"Dec. 31, 1998",135.30M
"Sept. 30, 1998",7.50M
"June 30, 1998",2.50M
"March 31, 1998",-21.00M
"Dec. 31, 1997",-56.20M
"Sept. 30, 1997",-18.70M
"June 30, 1997",-28.40M
"March 31, 1997",-34.60M
"Dec. 31, 1996",-9.60M
"Sept. 30, 1996",-5.00M
"June 30, 1996",-16.10M
"March 31, 1996",-23.30M
"Dec. 31, 1995",-28.20M
"Sept. 30, 1995",-31.40M
"June 30, 1995",12.50M
"March 31, 1995",96.70M
"Dec. 31, 1994",92.40M
"Sept. 30, 1994",97.00M
"June 30, 1994",118.50M
"March 31, 1994",40.80M
"Dec. 31, 1993",45.30M
"Sept. 30, 1993",48.70M
"June 30, 1993",6.30M
"March 31, 1993",17.10M
"Dec. 31, 1992",13.50M
"Sept. 30, 1992",7.60M
"June 30, 1992",5.80M
"March 31, 1992",-6.20M
"Dec. 31, 1991",9.80M
"Sept. 30, 1991",15.10M
