date,cash_dividend_payout_ratio
"Dec. 31, 2019",22.13%
"Sept. 30, 2019",21.37%
"June 30, 2019",22.96%
"March 31, 2019",23.44%
"Dec. 31, 2018",52.92%
"Sept. 30, 2018",73.09%
"June 30, 2018",64.57%
"March 31, 2018",51.39%
"Dec. 31, 2017",59.01%
"Sept. 30, 2017",45.83%
"June 30, 2017",30.83%
"March 31, 2017",34.33%
"Dec. 31, 2016",162.4%
"Sept. 30, 2016",84.62%
"June 30, 2016",-516.3%
"March 31, 2016",-32.06%
"Dec. 31, 2015",-16.06%
"Sept. 30, 2015",-7.24%
"June 30, 2015",-7.96%
"March 31, 2015",-11.54%
"Dec. 31, 2014",-13.68%
"Sept. 30, 2014",-29.07%
"June 30, 2014",-19.76%
"March 31, 2014",-14.25%
"Dec. 31, 2013",-14.82%
"Sept. 30, 2013",-15.18%
"June 30, 2013",-8.85%
"March 31, 2013",-6.29%
"Dec. 31, 2012",-6.07%
"Sept. 30, 2012",-5.06%
"June 30, 2012",-4.48%
"March 31, 2012",-4.06%
"Dec. 31, 2011",-3.21%
"Sept. 30, 2011",-3.33%
"June 30, 2011",-3.62%
"March 31, 2011",-3.42%
"Dec. 31, 2010",-3.35%
"Sept. 30, 2010",-4.47%
"June 30, 2010",-6.27%
"March 31, 2010",-13.60%
"Dec. 31, 2009",437.0%
"Sept. 30, 2009",-21.48%
"June 30, 2009",-7.94%
"March 31, 2009",-5.90%
"Dec. 31, 2008",-6.60%
"Sept. 30, 2008",-0.87%
"June 30, 2008",-1.02%
"March 31, 2008",-0.89%
"Dec. 31, 2007",0.00%
"Sept. 30, 2007",-4.40%
"June 30, 2007",-4.17%
"March 31, 2007",-3.96%
"Dec. 31, 2006",-4.85%
"Sept. 30, 2006",-9.42%
"June 30, 2006",-7.64%
"March 31, 2006",-12.29%
"Dec. 31, 2005",-14.85%
"Sept. 30, 2005",-18.71%
"June 30, 2005",12.06%
"March 31, 2005",23.19%
"Dec. 31, 2004",29.67%
"Sept. 30, 2004",9.04%
"June 30, 2004",7.18%
"March 31, 2004",3.54%
"Dec. 31, 2003",4.22%
"Sept. 30, 2003",3.15%
"June 30, 2003",3.64%
"March 31, 2003",4.59%
"Dec. 31, 2002",8.33%
"Sept. 30, 2002",2.45%
"June 30, 2002",15.67%
"March 31, 2002",13.25%
"Dec. 31, 2001",3.89%
"Sept. 30, 2001",-10.56%
"June 30, 2001",4.11%
"March 31, 2001",7.52%
"Dec. 31, 2000",33.34%
"Sept. 30, 2000",52.99%
"June 30, 2000",27.40%
"March 31, 2000",17.26%
"Dec. 31, 1999",71.84%
"Sept. 30, 1999",-9.82%
"June 30, 1999",-7.09%
"March 31, 1999",-5.67%
"Dec. 31, 1998",-6.36%
"Sept. 30, 1998",-17.80%
"June 30, 1998",-24.64%
"March 31, 1998",-53.29%
"Dec. 31, 1997",43.72%
"Sept. 30, 1997",30.36%
"June 30, 1997",24.93%
"March 31, 1997",18.85%
"Dec. 31, 1996",62.16%
"Sept. 30, 1996",81.82%
"June 30, 1996",70.87%
"March 31, 1996",94.85%
"Dec. 31, 1995",54.76%
"Sept. 30, 1995",49.74%
"June 30, 1995",-245.9%
"March 31, 1995",-79.41%
"Dec. 31, 1994",-131.5%
"Sept. 30, 1994",-52.10%
"June 30, 1994",-12.71%
"March 31, 1994",-14.07%
"Dec. 31, 1993",-10.80%
"Sept. 30, 1993",-8.85%
"June 30, 1993",-253.8%
"March 31, 1993",-27.05%
"Dec. 31, 1992",-36.26%
"Sept. 30, 1992",-220.0%
"June 30, 1992",253.8%
"March 31, 1992",24.75%
"Dec. 31, 1991",-1.49K%
"Sept. 30, 1991",-600.6%
