date,total_long_term_debt
"Dec. 31, 2019",1.220B
"Sept. 30, 2019",1.220B
"June 30, 2019",1.220B
"March 31, 2019",1.219B
"Dec. 31, 2018",1.226B
"Sept. 30, 2018",1.286B
"June 30, 2018",1.523B
"March 31, 2018",1.522B
"Dec. 31, 2017",1.522B
"Sept. 30, 2017",1.522B
"June 30, 2017",1.521B
"March 31, 2017",1.521B
"Dec. 31, 2016",1.521B
"Sept. 30, 2016",1.520B
"June 30, 2016",1.540B
"March 31, 2016",1.603B
"Dec. 31, 2015",2.016B
"Sept. 30, 2015",2.037B
"June 30, 2015",1.995B
"March 31, 2015",1.877B
"Dec. 31, 2014",1.752B
"Sept. 30, 2014",1.612B
"June 30, 2014",1.193B
"March 31, 2014",1.222B
"Dec. 31, 2013",1.147B
"Sept. 30, 2013",1.162B
"June 30, 2013",1.142B
"March 31, 2013",1.127B
"Dec. 31, 2012",1.087B
"Sept. 30, 2012",1.062B
"June 30, 2012",972.00M
"March 31, 2012",1.012B
"Dec. 31, 2011",950.00M
"Sept. 30, 2011",1.205B
"June 30, 2011",1.095B
"March 31, 2011",1.055B
"Dec. 31, 2010",975.00M
"Sept. 30, 2010",0.00
"June 30, 2010",1.015B
"March 31, 2010",915.00M
"Dec. 31, 2009",805.00M
"Sept. 30, 2009",810.00M
"June 30, 2009",815.00M
"March 31, 2009",877.00M
"Dec. 31, 2008",867.00M
"Sept. 30, 2008",820.00M
"June 30, 2008",265.00M
"March 31, 2008",370.00M
"Dec. 31, 2007",350.00M
"Sept. 30, 2007",315.00M
"June 30, 2007",255.00M
"March 31, 2007",230.00M
"Dec. 31, 2006",240.00M
"Sept. 30, 2006",400.00M
"June 30, 2006",350.00M
"March 31, 2006",295.00M
"Dec. 31, 2005",340.00M
"Sept. 30, 2005",280.00M
"June 30, 2005",270.00M
"March 31, 2005",270.00M
"Dec. 31, 2004",270.00M
"Sept. 30, 2004",270.00M
"June 30, 2004",270.00M
"March 31, 2004",270.00M
"Dec. 31, 2003",270.00M
"Sept. 30, 2003",285.00M
"June 30, 2003",304.00M
"March 31, 2003",338.00M
"Dec. 31, 2002",365.00M
"Sept. 30, 2002",395.00M
"June 30, 2002",397.00M
"March 31, 2002",412.00M
"Dec. 31, 2001",393.00M
"Sept. 30, 2001",367.00M
"June 30, 2001",187.00M
"March 31, 2001",199.00M
"Dec. 31, 2000",269.00M
"Sept. 30, 2000",276.00M
"June 30, 2000",265.00M
"March 31, 2000",278.00M
"Dec. 31, 1999",293.00M
"Sept. 30, 1999",335.00M
"June 30, 1999",350.00M
"March 31, 1999",363.00M
"Dec. 31, 1998",343.00M
"Sept. 30, 1998",249.00M
"June 30, 1998",230.00M
"March 31, 1998",207.00M
"Dec. 31, 1997",199.00M
"Sept. 30, 1997",233.00M
"June 30, 1997",223.00M
"March 31, 1997",222.00M
"Dec. 31, 1996",248.00M
"Sept. 30, 1996",244.00M
"June 30, 1996",243.00M
"March 31, 1996",248.00M
"Dec. 31, 1995",249.00M
"Sept. 30, 1995",240.30M
"June 30, 1995",250.30M
"March 31, 1995",262.40M
"Dec. 31, 1994",268.40M
"Sept. 30, 1994",263.10M
"June 30, 1994",229.50M
"March 31, 1994",158.60M
"Dec. 31, 1993",169.50M
"Sept. 30, 1993",161.00M
"June 30, 1993",107.00M
"March 31, 1993",114.80M
"Dec. 31, 1992",121.80M
"Sept. 30, 1992",109.60M
"June 30, 1992",98.00M
"March 31, 1992",94.00M
"Dec. 31, 1991",105.00M
"Sept. 30, 1991",98.30M
"June 30, 1991",88.50M
"March 31, 1991",86.20M
"Dec. 31, 1990",91.50M
"Sept. 30, 1990",80.00M
"June 30, 1990",80.00M
"March 31, 1990",87.00M
"Dec. 31, 1989",0.00
"Sept. 30, 1989",0.00
"June 30, 1989",0.00
"March 31, 1989",0.00
"Dec. 31, 1988",0.00
