date,cash_operations_ttm
"Dec. 31, 2019",2.867B
"Sept. 30, 2019",3.132B
"June 30, 2019",3.503B
"March 31, 2019",3.76B
"Dec. 31, 2018",3.777B
"Sept. 30, 2018",3.402B
"June 30, 2018",2.95B
"March 31, 2018",2.588B
"Dec. 31, 2017",2.428B
"Sept. 30, 2017",2.556B
"June 30, 2017",2.653B
"March 31, 2017",2.646B
"Dec. 31, 2016",2.43B
"Sept. 30, 2016",1.808B
"June 30, 2016",1.868B
"March 31, 2016",2.256B
"Dec. 31, 2015",2.667B
"Sept. 30, 2015",3.922B
"June 30, 2015",5.107B
"March 31, 2015",6.314B
"Dec. 31, 2014",7.957B
"Sept. 30, 2014",9.005B
"June 30, 2014",9.087B
"March 31, 2014",9.507B
"Dec. 31, 2013",9.835B
"Sept. 30, 2013",9.44B
"June 30, 2013",9.085B
"March 31, 2013",9.118B
"Dec. 31, 2012",8.504B
"Sept. 30, 2012",9.204B
"June 30, 2012",10.03B
"March 31, 2012",9.981B
"Dec. 31, 2011",9.953B
"Sept. 30, 2011",9.097B
"June 30, 2011",8.365B
"March 31, 2011",7.551B
"Dec. 31, 2010",6.726B
"Sept. 30, 2010",6.345B
"June 30, 2010",5.942B
"March 31, 2010",4.835B
"Dec. 31, 2009",4.224B
"Sept. 30, 2009",3.716B
"June 30, 2009",4.694B
"March 31, 2009",5.800B
"Dec. 31, 2008",7.065B
"Sept. 30, 2008",7.829B
"June 30, 2008",6.965B
"March 31, 2008",6.422B
"Dec. 31, 2007",5.677B
"Sept. 30, 2007",4.791B
"June 30, 2007",4.538B
"March 31, 2007",4.333B
"Dec. 31, 2006",4.313B
"Sept. 30, 2006",4.571B
"June 30, 2006",4.728B
"March 31, 2006",4.539B
"Dec. 31, 2005",4.332B
"Sept. 30, 2005",4.071B
"June 30, 2005",3.762B
"March 31, 2005",3.415B
"Dec. 31, 2004",3.232B
"Sept. 30, 2004",2.947B
"June 30, 2004",2.781B
"March 31, 2004",2.820B
"Dec. 31, 2003",2.706B
"Sept. 30, 2003",2.451B
"June 30, 2003",1.981B
"March 31, 2003",1.713B
"Dec. 31, 2002",1.381B
"Sept. 30, 2002",1.395B
"June 30, 2002",1.469B
"March 31, 2002",1.497B
"Dec. 31, 2001",1.935B
"Sept. 30, 2001",2.118B
"June 30, 2001",2.072B
"March 31, 2001",1.930B
"Dec. 31, 2000",1.529B
"Sept. 30, 2000",1.210B
"June 30, 2000",1.022B
"March 31, 2000",834.84M
"Dec. 31, 1999",638.20M
"Sept. 30, 1999",479.50M
"June 30, 1999",404.43M
"March 31, 1999",411.20M
"Dec. 31, 1998",471.50M
"Sept. 30, 1998",565.50M
"June 30, 1998",672.90M
"March 31, 1998",642.90M
"Dec. 31, 1997",723.80M
"Sept. 30, 1997",686.40M
"June 30, 1997",558.30M
"March 31, 1997",609.20M
"Dec. 31, 1996",490.50M
"Sept. 30, 1996",475.60M
"June 30, 1996",405.00M
"March 31, 1996",336.50M
"Dec. 31, 1995",332.10M
"Sept. 30, 1995",319.10M
"June 30, 1995",357.80M
"March 31, 1995",342.90M
"Dec. 31, 1994",335.60M
"Sept. 30, 1994",299.50M
"June 30, 1994",264.10M
"March 31, 1994",267.90M
"Dec. 31, 1993",225.10M
"Sept. 30, 1993",217.20M
"June 30, 1993",204.70M
"March 31, 1993",194.60M
"Dec. 31, 1992",194.40M
"Sept. 30, 1992",160.60M
"June 30, 1992",173.20M
"March 31, 1992",149.60M
"Dec. 31, 1991",156.60M
"Sept. 30, 1991",192.00M
"June 30, 1991",170.50M
"March 31, 1991",171.00M
"Dec. 31, 1990",189.40M
